league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;cleanSheet;gameStarted;goalKicks;lostCorners;minsPlayed;saves;totalClearance;totalPass;formationPlace;ontargetScoringAtt;totalScoringAtt;totalTackle;totalThrows;wasFouled;wonCorners;wonTackle;fouls;goals;shotOffTarget;blockedScoringAtt;goalAssist;totalOffside;totalSubOff;cornerTaken;totalSubOn;yellowCard;goalsConceded
73;2526;2e85uzw4i0hdq9tlf0m02mo7o;ray-atm;3budh3j9xivsid3ptm8ptpy4k;9h6xf4ac4rpsjpummcdx26z9;Augusto Martín Batalla Barga;Augusto Batalla;A. Batalla;13;Goalkeeper;Centre;1;19;1;1;2;1;90;3;2;30;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2e85uzw4i0hdq9tlf0m02mo7o;ray-atm;3budh3j9xivsid3ptm8ptpy4k;2qauzcv74cd8uqfv2ibl52ymt;Luis Alfonso Espino García;Luis Alfonso Espino García;P. Espino;22;Defender;Left;3;16;1;1;0;0;90;0;2;23;3;1;1;3;5;3;1;1;0;0;0;0;0;0;0;0;0;0;0
73;2526;2e85uzw4i0hdq9tlf0m02mo7o;ray-atm;3budh3j9xivsid3ptm8ptpy4k;cdsidpd0i3ub2tvw47qt813x0;Nobel Mendy;Nobel Mendy;N. Mendy;32;Defender;Left/Centre;6;37;1;1;3;2;90;0;6;41;6;1;1;2;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0
73;2526;2e85uzw4i0hdq9tlf0m02mo7o;ray-atm;3budh3j9xivsid3ptm8ptpy4k;533095rnz0k8mxqe6gzn0mfo5;Florian Grégoire Claude Lejeune;Florian Lejeune;F. Lejeune;24;Defender;Centre/Right;5;52;1;1;0;0;90;0;9;60;5;1;2;1;1;1;0;0;2;0;1;0;0;0;0;0;0;0;0
73;2526;2e85uzw4i0hdq9tlf0m02mo7o;ray-atm;3budh3j9xivsid3ptm8ptpy4k;38dhmhce7deuqgqmc3p7nhai2;Andrei Florin Rațiu;Andrei Ratiu;A. Rațiu;2;Defender;Right;2;32;1;1;0;4;90;0;3;42;2;0;1;0;8;1;0;0;0;0;0;1;1;0;0;0;0;0;0
73;2526;2e85uzw4i0hdq9tlf0m02mo7o;ray-atm;3budh3j9xivsid3ptm8ptpy4k;8onruhr4es313aq52xsl7nxlh;Óscar Valentín Martín Luengo;Óscar Valentín;Óscar Valentín;23;Defensive Midfielder;Centre;4;33;1;1;0;0;90;0;4;36;4;1;2;2;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0
73;2526;2e85uzw4i0hdq9tlf0m02mo7o;ray-atm;3budh3j9xivsid3ptm8ptpy4k;66fshzi5f86wt1lwa4kdhiooa;Francisco Pérez Martínez;Fran Pérez;Fran Pérez;21;Midfielder;Left;11;9;0;1;0;0;64;0;1;11;11;2;2;0;1;1;0;0;1;1;0;0;0;2;1;0;0;0;0
73;2526;2e85uzw4i0hdq9tlf0m02mo7o;ray-atm;3budh3j9xivsid3ptm8ptpy4k;f0a2qk3jzxercn67bben5eled;Gerard Gumbau Garriga;Gerard Gumbau;Gerard Gumbau;15;Midfielder;Left/Centre;10;23;0;1;0;0;83;0;3;29;10;1;1;1;0;0;1;1;2;0;0;0;0;0;1;1;0;0;0
73;2526;2e85uzw4i0hdq9tlf0m02mo7o;ray-atm;3budh3j9xivsid3ptm8ptpy4k;3ca7tqrdasmeop6ud9zot0wdl;Isaac Palazón Camacho;Isi Palazón;Isi Palazón;7;Midfielder;Centre/Right;8;19;0;1;0;0;64;0;2;22;8;1;2;0;0;1;0;0;0;0;0;1;0;0;1;3;0;0;0
73;2526;2e85uzw4i0hdq9tlf0m02mo7o;ray-atm;3budh3j9xivsid3ptm8ptpy4k;73jvx4opw9wvawwpg0bnt8ay2;Ilias Akhomach Chakkour;Ilias Akhomach;I. Akhomach;12;Midfielder;Right;7;15;0;1;0;1;74;0;3;20;7;1;1;1;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0
73;2526;2e85uzw4i0hdq9tlf0m02mo7o;ray-atm;3budh3j9xivsid3ptm8ptpy4k;c157xhi78x9cykn7xz816bjd;Jorge de Frutos Sebastián;Jorge de Frutos;Jorge de Frutos;19;Striker;Centre;9;8;0;1;0;0;64;0;0;8;9;0;0;0;0;0;0;0;2;0;0;0;0;1;1;0;0;0;0
73;2526;2e85uzw4i0hdq9tlf0m02mo7o;ray-atm;3budh3j9xivsid3ptm8ptpy4k;7vb4xrwk7sbgpxzgiwwbt4s89;Pedro Díaz Fanjul;Pedro Díaz;Pedro Díaz;4;Substitute;Midfielder;0;5;0;0;0;0;26;0;0;6;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
73;2526;2e85uzw4i0hdq9tlf0m02mo7o;ray-atm;3budh3j9xivsid3ptm8ptpy4k;8eh38t4oyyt728co362f6uqqd;Álvaro García Rivera;Álvaro García;Álvaro García;18;Substitute;Midfielder;0;4;0;0;0;0;26;0;1;6;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;1;1;0
73;2526;2e85uzw4i0hdq9tlf0m02mo7o;ray-atm;3budh3j9xivsid3ptm8ptpy4k;u04ao1ldrjjesgqq52o7ghqt;Unai López Cabrera;Unai López;Unai López;17;Substitute;Midfielder;0;1;0;0;0;0;7;0;1;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
73;2526;2e85uzw4i0hdq9tlf0m02mo7o;ray-atm;3budh3j9xivsid3ptm8ptpy4k;a045sz2acqbfgyq9puwsu8sx6;Randy Nteka;Randy Nteka;Randy Nteka;11;Substitute;Midfielder;0;3;0;0;0;0;16;0;1;4;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0
