league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;minsPlayed;penaltyFaced;saves;totalClearance;totalPass;formationPlace;fouls;lostCorners;totalTackle;totalThrows;wasFouled;wonTackle;penaltyConceded;blockedScoringAtt;totalScoringAtt;wonCorners;yellowCard;ontargetScoringAtt;totalOffside;totalSubOff;cornerTaken;goals;shotOffTarget;goalAssist;totalSubOn;redCard;penaltyWon
73;2526;2elfffvt87h2apmhh2c0et3pw;gir-bar;7h7eg7q7dbwvzww78h9d5eh0h;eavhyxb9dfjh0jp5yzg8p8udx;Paulo Dino Gazzaniga Farias;Paulo Gazzaniga;P. Gazzaniga;13;Goalkeeper;Centre;1;14;1;5;1;90;1;4;4;29;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2elfffvt87h2apmhh2c0et3pw;gir-bar;7h7eg7q7dbwvzww78h9d5eh0h;2nq5nzq35tfwc7po29dtwqp78;Arnau Martínez López;Arnau Martínez;Arnau Martínez;4;Defender;Left;3;22;1;0;1;90;0;0;7;28;3;2;1;4;6;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2elfffvt87h2apmhh2c0et3pw;gir-bar;7h7eg7q7dbwvzww78h9d5eh0h;3kx4mltrob4yta5g6kr2u8ic5;Daley Blind;Daley Blind;D. Blind;17;Defender;Left/Centre;6;33;1;4;1;90;0;0;7;41;6;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2elfffvt87h2apmhh2c0et3pw;gir-bar;7h7eg7q7dbwvzww78h9d5eh0h;bh4p6egq7e7htivuu0qdjqiac;Vitor de Oliveira Nunes dos Reis;Vitor de Oliveira Nunes dos Reis;Vitor Reis;12;Defender;Centre/Right;5;22;1;0;1;90;0;0;9;23;5;0;1;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2elfffvt87h2apmhh2c0et3pw;gir-bar;7h7eg7q7dbwvzww78h9d5eh0h;eku9q64i0rwdxytris5ahfyms;Hugo Rincón Lumbreras;Hugo Rincón;Hugo Rincón;2;Defender;Right;2;23;1;0;1;90;0;0;5;31;2;0;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
73;2526;2elfffvt87h2apmhh2c0et3pw;gir-bar;7h7eg7q7dbwvzww78h9d5eh0h;59234as8h70fejyfm7492np3p;Axel Laurent Angel Lambert Witsel;Axel Witsel;A. Witsel;20;Defensive Midfielder;Left/Centre;4;27;1;0;1;90;0;0;4;32;4;2;1;2;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
73;2526;2elfffvt87h2apmhh2c0et3pw;gir-bar;7h7eg7q7dbwvzww78h9d5eh0h;9um7x9zd0e000zt57l3yearqh;Iván Martín Núñez;Iván Martín;Iván Martín;23;Defensive Midfielder;Centre/Right;8;25;1;0;1;89;0;0;1;31;8;1;0;1;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0
73;2526;2elfffvt87h2apmhh2c0et3pw;gir-bar;7h7eg7q7dbwvzww78h9d5eh0h;cjd62gwj9ptwrrtu6y6xnpeui;Bryan Gil Salvatierra;Bryan Gil;Bryan Gil;21;Attacking Midfielder;Left;11;16;1;0;1;68;0;0;0;18;11;0;0;4;1;0;2;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0
73;2526;2elfffvt87h2apmhh2c0et3pw;gir-bar;7h7eg7q7dbwvzww78h9d5eh0h;ejcyvgclry4g5pc2rtptifphx;Thomas Benoît Lemar;Thomas Lemar;T. Lemar;11;Attacking Midfielder;Centre;10;14;1;0;1;68;0;0;0;19;10;2;0;1;0;0;1;0;0;1;0;0;1;0;1;1;1;0;0;0;0;0
73;2526;2elfffvt87h2apmhh2c0et3pw;gir-bar;7h7eg7q7dbwvzww78h9d5eh0h;3auwtiburdxrp2i5me2d97f11;Viktor Tsygankov;Viktor Tsygankov;V. Tsygankov;15;Attacking Midfielder;Right;7;19;1;0;1;90;0;0;3;24;7;0;0;0;0;1;0;0;0;2;0;0;1;0;0;0;0;1;0;0;0;0
73;2526;2elfffvt87h2apmhh2c0et3pw;gir-bar;7h7eg7q7dbwvzww78h9d5eh0h;32ofi0z0euiqvxt5jk8o1uzxm;Vladyslav Vanat;Vladyslav Vanat;V. Vanat;19;Striker;Centre;9;5;1;0;1;73;0;0;1;8;9;0;0;0;0;0;0;0;0;3;0;0;2;2;1;0;0;1;1;0;0;0
73;2526;2elfffvt87h2apmhh2c0et3pw;gir-bar;7h7eg7q7dbwvzww78h9d5eh0h;e3czx0nsuw10acnftbr8ud0bt;Francisco José Beltrán Peinado;Fran Beltrán;Fran Beltrán;8;Substitute;Midfielder;0;4;0;0;0;22;0;0;2;5;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0
73;2526;2elfffvt87h2apmhh2c0et3pw;gir-bar;7h7eg7q7dbwvzww78h9d5eh0h;b3sexumsdp9m96rkp5da0r47o;Claudio Candelmo Jeremías Echeverri;Claudio Echeverri;C. Echeverri;14;Substitute;Midfielder;0;7;0;0;0;17;0;0;0;8;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0
73;2526;2elfffvt87h2apmhh2c0et3pw;gir-bar;7h7eg7q7dbwvzww78h9d5eh0h;8nxr373i7g1m2ch2lk6k03ckq;Alejandro Francés Torrijo;Alejandro Francés;Alejandro Francés;16;Substitute;Defender;0;1;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
73;2526;2elfffvt87h2apmhh2c0et3pw;gir-bar;7h7eg7q7dbwvzww78h9d5eh0h;25h51j4zz5m180na6sy5ybbpw;Joel Roca Casals;Joel Roca;Joel Roca;3;Substitute;Midfielder;0;6;0;0;0;22;0;0;1;9;0;1;2;3;0;0;2;0;0;3;2;0;2;0;0;0;0;1;1;1;1;0
73;2526;2elfffvt87h2apmhh2c0et3pw;gir-bar;agh9ifb2mw3ivjusgedj7c3fe;5f8kjgsaabn2li5r7bvpebbsa;Joan García Pons;Joan García;Joan García;13;Goalkeeper;Centre;1;27;1;5;2;90;0;7;3;29;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2elfffvt87h2apmhh2c0et3pw;gir-bar;agh9ifb2mw3ivjusgedj7c3fe;6l1y87tlepsvr83d8y2qifeqy;Gerard Martín Langreo;Gerard Martín;Gerard Martín;18;Defender;Left;3;32;1;0;1;63;0;0;2;34;3;0;0;2;2;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
73;2526;2elfffvt87h2apmhh2c0et3pw;gir-bar;agh9ifb2mw3ivjusgedj7c3fe;4ggz7e009bq3yltc9o6mifbah;Eric García Martret;Eric García;Eric García;24;Defender;Left/Centre;6;71;1;0;1;73;0;0;1;75;6;1;0;1;0;0;1;0;1;2;0;1;1;0;1;0;0;0;0;0;0;0
73;2526;2elfffvt87h2apmhh2c0et3pw;gir-bar;agh9ifb2mw3ivjusgedj7c3fe;bkwxem45cf48k14euwqe7rs44;Pau Cubarsí Paredes;Pau Cubarsí;Pau Cubarsí;5;Defender;Centre/Right;5;122;1;0;2;90;0;0;6;129;5;0;0;3;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0
73;2526;2elfffvt87h2apmhh2c0et3pw;gir-bar;agh9ifb2mw3ivjusgedj7c3fe;cscn06kwqfzo09h0dc5ybt1pl;Jules Olivier Koundé;Jules Koundé;J. Koundé;23;Defender;Right;2;91;1;0;2;90;0;0;2;99;2;1;1;4;6;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
73;2526;2elfffvt87h2apmhh2c0et3pw;gir-bar;agh9ifb2mw3ivjusgedj7c3fe;4gq1u1mqg0qzekh1u5djleeax;Daniel Olmo Carvajal;Dani Olmo;Dani Olmo;20;Midfielder;Left/Centre;8;51;1;0;1;80;0;0;0;56;8;0;0;1;0;4;1;0;0;1;0;0;0;0;1;2;0;1;0;0;0;1
73;2526;2elfffvt87h2apmhh2c0et3pw;gir-bar;agh9ifb2mw3ivjusgedj7c3fe;ezviixcyaaj162saxs2yl27s9;Frenkie de Jong;Frenkie de Jong;F. de Jong;21;Midfielder;Centre;4;96;1;0;2;90;0;0;0;101;4;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2elfffvt87h2apmhh2c0et3pw;gir-bar;agh9ifb2mw3ivjusgedj7c3fe;cjll1xrw3xulnl23c9tlf6rys;Fermín López Marín;Fermín López;Fermín López;16;Midfielder;Centre/Right;7;39;1;0;2;90;0;0;1;46;7;0;1;1;3;0;0;0;3;5;1;0;0;0;0;0;0;2;0;0;0;0
73;2526;2elfffvt87h2apmhh2c0et3pw;gir-bar;agh9ifb2mw3ivjusgedj7c3fe;2wl6h1rlrfnn2mr65vuo3t815;Raphael Dias Belloli;Raphael Dias Belloli;Raphinha;11;Striker;Left/Centre;11;18;1;0;1;63;0;0;0;23;11;0;0;1;0;0;0;0;2;4;3;0;0;0;1;2;0;2;0;0;0;0
73;2526;2elfffvt87h2apmhh2c0et3pw;gir-bar;agh9ifb2mw3ivjusgedj7c3fe;2szgrzcosfeifh664tgt3mfvt;Ferran Torres García;Ferran Torres;Ferran Torres;7;Striker;Centre;9;7;1;0;1;73;0;0;0;12;9;1;0;0;0;0;0;0;1;2;0;0;0;0;1;0;0;1;0;0;0;0
73;2526;2elfffvt87h2apmhh2c0et3pw;gir-bar;agh9ifb2mw3ivjusgedj7c3fe;abr79wsl0folgkyvl821ggs2c;Lamine Yamal Nasraoui Ebana;Lamine Yamal Nasraoui Ebana;Lamine Yamal;10;Striker;Centre/Right;10;51;1;0;2;90;0;0;0;64;10;2;0;4;1;4;2;0;3;7;2;0;1;0;0;0;0;3;0;0;0;0
73;2526;2elfffvt87h2apmhh2c0et3pw;gir-bar;agh9ifb2mw3ivjusgedj7c3fe;awsod0zmnrukk21d4882ji7e1;Ronald Federico Araujo da Silva;Ronald Araujo;R. Araujo;4;Substitute;Defender;0;10;0;0;1;17;0;0;0;12;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0
73;2526;2elfffvt87h2apmhh2c0et3pw;gir-bar;agh9ifb2mw3ivjusgedj7c3fe;bzgh5psb1janz9y3btpswngbu;Alejandro Balde Martínez;Alejandro Balde;Alejandro Balde;3;Substitute;Defender;0;19;0;0;1;27;0;0;0;22;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
73;2526;2elfffvt87h2apmhh2c0et3pw;gir-bar;agh9ifb2mw3ivjusgedj7c3fe;66psa7xh8odnlp39ue5vzpes4;Roony Bardghji;Roony Bardghji;R. Bardghji;19;Substitute;Attacker;0;22;0;0;1;27;0;0;0;25;0;1;0;0;0;0;0;0;1;3;1;0;1;0;0;3;0;1;0;1;0;0
