league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;lostCorners;minsPlayed;saves;totalPass;formationPlace;totalClearance;totalSubOff;totalThrows;fouls;totalTackle;wonTackle;shotOffTarget;totalScoringAtt;wonCorners;yellowCard;wasFouled;blockedScoringAtt;cornerTaken;goalAssist;ontargetScoringAtt;goals;totalSubOn;totalOffside
73;2526;2eyrfe9uog3f5s72qy88imxp0;mll-bet;50x1m4u58lffhq6v6ga1hbxmy;5qh2kdatvb03o8oiqvkaaxje2;Leonardo Román Riquelme;Leo Román;Leo Román;1;Goalkeeper;Centre;1;18;1;5;2;1;90;5;21;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2eyrfe9uog3f5s72qy88imxp0;mll-bet;50x1m4u58lffhq6v6ga1hbxmy;dfjph36vcwfj5cevut4x3vf11;Johan Andrés Mojica Palacio;Johan Mojica;J. Mojica;22;Defender;Left;3;57;1;0;2;0;82;0;64;3;1;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2eyrfe9uog3f5s72qy88imxp0;mll-bet;50x1m4u58lffhq6v6ga1hbxmy;9t88fceutc2x108ga0qkzkafp;Martin Valjent;Martin Valjent;M. Valjent;24;Defender;Left/Centre;6;98;1;0;2;0;90;0;104;6;2;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2eyrfe9uog3f5s72qy88imxp0;mll-bet;50x1m4u58lffhq6v6ga1hbxmy;3v254jhofauiadp9vzb7rb21g;David López Guijarro;David López;David López;27;Defender;Centre/Right;5;75;1;0;2;0;90;0;84;5;3;0;0;1;1;1;3;3;0;0;0;0;0;0;0;0;0;0
73;2526;2eyrfe9uog3f5s72qy88imxp0;mll-bet;50x1m4u58lffhq6v6ga1hbxmy;22dchchxwrsty67ultrs61qz9;Pablo Carmine Maffeo Becerra;Pablo Maffeo;Pablo Maffeo;23;Defender;Right;2;33;1;0;2;0;90;0;40;2;4;0;8;2;1;0;1;1;1;1;0;0;0;0;0;0;0;0
73;2526;2eyrfe9uog3f5s72qy88imxp0;mll-bet;50x1m4u58lffhq6v6ga1hbxmy;1km9nvqz03yoj9cxpv127id7u;Samuel de Almeida Costa;Samuel de Almeida Costa;Samú Costa;12;Defensive Midfielder;Left/Centre;4;43;1;0;2;0;78;0;53;4;1;1;0;6;1;1;0;0;0;1;3;0;0;0;0;0;0;0
73;2526;2eyrfe9uog3f5s72qy88imxp0;mll-bet;50x1m4u58lffhq6v6ga1hbxmy;bkvvapojagxvj17nzk3oy8ct1;Omar Mascarell González;Omar Mascarell;Omar Mascarell;5;Defensive Midfielder;Centre/Right;8;37;1;0;2;1;45;0;42;8;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2eyrfe9uog3f5s72qy88imxp0;mll-bet;50x1m4u58lffhq6v6ga1hbxmy;4cuha2o4qsp1tb8yhqu3ntij8;Jan Virgili Tenas;Jan Virgili;Jan Virgili;17;Attacking Midfielder;Left;11;22;1;0;2;0;90;0;29;11;0;0;2;0;1;1;1;3;2;0;1;2;0;0;0;0;0;0
73;2526;2eyrfe9uog3f5s72qy88imxp0;mll-bet;50x1m4u58lffhq6v6ga1hbxmy;7xmaybxu4zd5k338bi3drkxcl;Sergi Darder Moll;Sergi Darder;Sergi Darder;10;Attacking Midfielder;Centre;10;36;1;0;2;1;78;0;39;10;0;1;3;1;0;0;1;3;2;0;1;1;6;1;1;0;0;0
73;2526;2eyrfe9uog3f5s72qy88imxp0;mll-bet;50x1m4u58lffhq6v6ga1hbxmy;9d4cokmqyy9vabji5g0ascavo;Mateo Joseph Fernández-Regatillo;Mateo Joseph;Mateo Joseph;18;Attacking Midfielder;Right;7;5;1;0;2;0;45;0;9;7;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
73;2526;2eyrfe9uog3f5s72qy88imxp0;mll-bet;50x1m4u58lffhq6v6ga1hbxmy;3pwr7lqvo4o08c4nvzqpuue39;Vedat Muriqi;Vedat Muriqi;V. Muriqi;7;Striker;Centre;9;11;1;0;2;0;90;0;15;9;0;0;0;2;1;1;2;4;0;1;0;0;0;0;2;1;0;0
73;2526;2eyrfe9uog3f5s72qy88imxp0;mll-bet;50x1m4u58lffhq6v6ga1hbxmy;f1e3gi3dx3er2vz7loriw6e39;Antonio Latorre Grueso;Antonio Latorre Grueso;Toni Lato;3;Substitute;Defender;0;10;0;0;0;0;8;0;10;0;0;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
73;2526;2eyrfe9uog3f5s72qy88imxp0;mll-bet;50x1m4u58lffhq6v6ga1hbxmy;12qc3dkodeb8ykg6pc0kqf2l1;Manuel Morlanes Ariño;Manu Morlanes;Manu Morlanes;8;Substitute;Midfielder;0;68;0;0;0;0;45;0;72;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0
73;2526;2eyrfe9uog3f5s72qy88imxp0;mll-bet;50x1m4u58lffhq6v6ga1hbxmy;e0gv5rugqtsipy89z4rk7hsoa;Zito André Sebastião Luvumbo;Zito André Sebastião Luvumbo;Zito Luvumbo;15;Substitute;Attacker;0;4;0;0;0;0;45;0;8;0;0;0;1;0;0;0;0;0;1;0;2;0;0;0;0;0;1;1
73;2526;2eyrfe9uog3f5s72qy88imxp0;mll-bet;50x1m4u58lffhq6v6ga1hbxmy;2td3iejdken4orcduqrdutrhm;Antonio Sánchez Navarro;Antonio Sánchez;Antonio Sánchez;6;Substitute;Midfielder;0;12;0;0;0;0;12;0;15;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0
73;2526;2eyrfe9uog3f5s72qy88imxp0;mll-bet;50x1m4u58lffhq6v6ga1hbxmy;5kodjbsarkql4vhs126p2vhwq;Pablo Torre Carral;Pablo Torre;Pablo Torre;20;Substitute;Midfielder;0;9;0;0;0;0;12;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
73;2526;2eyrfe9uog3f5s72qy88imxp0;mll-bet;ah8dala7suqqkj04n2l8xz4zd;routhh0ialijcg3egagouig9;Álvaro Valles Rosa;Álvaro Valles;Álvaro Valles;1;Goalkeeper;Centre;1;20;1;11;1;0;90;2;35;1;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
73;2526;2eyrfe9uog3f5s72qy88imxp0;mll-bet;ah8dala7suqqkj04n2l8xz4zd;9ak3zczupeken1itsmkherbh1;Ricardo Iván Rodríguez Araya;Ricardo Rodríguez;R. Rodríguez;12;Defender;Left;3;17;1;0;1;2;90;0;22;3;3;0;7;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2eyrfe9uog3f5s72qy88imxp0;mll-bet;ah8dala7suqqkj04n2l8xz4zd;2r4450bqkmpcf1ogmcfhvczmy;Natan Bernardo de Souza;Natan Bernardo de Souza;Natan;4;Defender;Left/Centre;6;28;1;4;1;0;90;0;30;6;11;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2eyrfe9uog3f5s72qy88imxp0;mll-bet;ah8dala7suqqkj04n2l8xz4zd;9ao7l82r1xd2rjnvv5u6plcr9;Diego Javier Llorente Ríos;Diego Llorente;Diego Llorente;3;Defender;Centre/Right;5;18;1;0;0;1;45;0;20;5;5;1;0;1;1;0;0;0;0;1;2;0;0;0;0;0;0;0
73;2526;2eyrfe9uog3f5s72qy88imxp0;mll-bet;ah8dala7suqqkj04n2l8xz4zd;9226xt1t1m3fy4ob9l2r16609;Aitor Ruibal García;Aitor Ruibal;Aitor Ruibal;24;Defender;Right;2;19;1;0;1;0;67;0;23;2;5;1;1;1;2;2;0;1;0;1;0;1;0;0;0;0;0;0
73;2526;2eyrfe9uog3f5s72qy88imxp0;mll-bet;ah8dala7suqqkj04n2l8xz4zd;733ho2s9aqwwxzbqfiia3b7bp;Álvaro Fidalgo Fernández;Álvaro Fidalgo;Álvaro Fidalgo;15;Midfielder;Left/Centre;8;25;1;0;1;0;67;0;31;8;3;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
73;2526;2eyrfe9uog3f5s72qy88imxp0;mll-bet;ah8dala7suqqkj04n2l8xz4zd;4r6jcuotjs6rz8iwu20996z85;Marc Roca Junqué;Marc Roca;Marc Roca;21;Midfielder;Centre;4;19;1;0;1;1;90;0;23;4;9;0;0;3;1;0;1;1;0;0;2;0;0;0;0;0;0;0
73;2526;2eyrfe9uog3f5s72qy88imxp0;mll-bet;ah8dala7suqqkj04n2l8xz4zd;6aix9yu384pv1caanqiol231l;Pablo Fornals Malla;Pablo Fornals;Pablo Fornals;8;Midfielder;Centre/Right;7;38;1;0;1;0;90;0;41;7;2;0;0;1;1;1;0;3;2;0;0;1;3;0;2;0;0;0
