league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;minsPlayed;saves;totalClearance;totalPass;formationPlace;blockedScoringAtt;totalScoringAtt;totalTackle;totalThrows;wonTackle;fouls;shotOffTarget;yellowCard;wasFouled;cornerTaken;ontargetScoringAtt;totalSubOff;wonCorners;lostCorners;totalSubOn;goals;totalOffside;goalAssist
73;2526;2fc1kvignx7oybca1wqs2gsgk;esp-cel;c8llrezkm3b3op4afrou6b487;bahph7009sc73jl6s2bramn6d;Marko Dmitrović;Marko Dmitrovic;M. Dmitrović;13;Goalkeeper;Centre;1;17;1;8;2;90;2;1;31;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2fc1kvignx7oybca1wqs2gsgk;esp-cel;c8llrezkm3b3op4afrou6b487;5djkwcoflvxcv5oida6txfyp6;Carlos Romero Serrano;Carlos Romero;Carlos Romero;22;Defender;Left;3;21;1;0;2;90;0;4;25;3;1;1;2;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2fc1kvignx7oybca1wqs2gsgk;esp-cel;c8llrezkm3b3op4afrou6b487;6810qbng9pfg1bztczv11grmd;Leandro Daniel Cabrera Sasía;Leandro Cabrera;L. Cabrera;6;Defender;Left/Centre;6;38;1;0;2;90;0;3;49;6;0;1;2;0;2;1;1;1;0;0;0;0;0;0;0;0;0;0
73;2526;2fc1kvignx7oybca1wqs2gsgk;esp-cel;c8llrezkm3b3op4afrou6b487;53bjqee7oomr7czgfmm1mcy96;Clemens Riedel;Clemens Riedel;C. Riedel;38;Defender;Centre/Right;5;57;1;0;2;90;0;7;61;5;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
73;2526;2fc1kvignx7oybca1wqs2gsgk;esp-cel;c8llrezkm3b3op4afrou6b487;7h0b81yjiiu356rycsakgd0yc;Omar El Hilali Khayat;Omar El Hilali;O. El Hilali;23;Defender;Right;2;44;1;0;2;90;0;0;51;2;0;0;2;5;2;0;0;0;2;0;0;0;0;0;0;0;0;0
73;2526;2fc1kvignx7oybca1wqs2gsgk;esp-cel;c8llrezkm3b3op4afrou6b487;8qvqdjw1d58mw7420lpmk7bah;Eduardo Expósito Jaén;Edu Expósito;Edu Expósito;8;Defensive Midfielder;Left/Centre;4;23;1;0;1;56;0;0;30;4;0;1;2;0;0;1;0;0;1;1;1;1;1;0;0;0;0;0
73;2526;2fc1kvignx7oybca1wqs2gsgk;esp-cel;c8llrezkm3b3op4afrou6b487;74wjzeja92l4q8fpy1bkmcsfd;Pol Lozano Vizuete;Pol Lozano;Pol Lozano;10;Defensive Midfielder;Centre/Right;8;47;1;0;2;90;0;0;53;8;0;0;1;0;1;0;0;0;2;1;0;0;0;0;0;0;0;0
73;2526;2fc1kvignx7oybca1wqs2gsgk;esp-cel;c8llrezkm3b3op4afrou6b487;1ore4ght7ls393tcpbmah9dcl;Pere Milla Peña;Pere Milla;Pere Milla;11;Attacking Midfielder;Left;11;15;1;0;1;72;0;1;19;11;0;0;1;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0
73;2526;2fc1kvignx7oybca1wqs2gsgk;esp-cel;c8llrezkm3b3op4afrou6b487;a8ez7qv4n62b8s45pdo8u07o5;Charles Monginda Pickel;Charles Pickel;C. Pickel;18;Attacking Midfielder;Centre;10;12;1;0;1;56;0;0;16;10;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0
73;2526;2fc1kvignx7oybca1wqs2gsgk;esp-cel;c8llrezkm3b3op4afrou6b487;a9z0jsjwfteq974bxwucvc4ix;Cyril Ngonge;Cyril Ngonge;C. Ngonge;16;Attacking Midfielder;Right;7;17;1;0;1;56;0;0;17;7;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
73;2526;2fc1kvignx7oybca1wqs2gsgk;esp-cel;c8llrezkm3b3op4afrou6b487;5fqvl0m1rkzhj9tmafrcxur6c;Roberto Fernández Jaén;Roberto Fernández;Roberto Fernández;9;Striker;Centre;9;4;1;0;1;83;0;0;7;9;0;1;0;0;0;2;1;0;0;0;0;1;0;0;0;0;0;0
73;2526;2fc1kvignx7oybca1wqs2gsgk;esp-cel;c8llrezkm3b3op4afrou6b487;59u1gn30f6bg5lr06zsglykq2;Jofre Carreras Pagès;Jofre Carreras;Jofre Carreras;17;Substitute;Attacker;0;6;0;0;1;18;0;1;7;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
73;2526;2fc1kvignx7oybca1wqs2gsgk;esp-cel;c8llrezkm3b3op4afrou6b487;bce703taa20nxg814t2giuei;Tyrhys Dolan;Tyrhys Dolan;T. Dolan;24;Substitute;Attacker;0;4;0;0;1;34;0;0;6;0;1;2;1;0;0;0;0;0;0;0;1;0;1;1;1;1;0;0
73;2526;2fc1kvignx7oybca1wqs2gsgk;esp-cel;c8llrezkm3b3op4afrou6b487;4l2rgx65vzgrrxorbc1edq8yd;Enrique García Martínez;Kike García;Kike García;19;Substitute;Attacker;0;6;0;0;1;34;0;0;7;0;0;2;1;0;1;2;1;0;0;0;1;0;0;0;1;1;1;0
73;2526;2fc1kvignx7oybca1wqs2gsgk;esp-cel;c8llrezkm3b3op4afrou6b487;7y8ns61qioqu7kfsqzkvkwhuy;Urko González de Zárate Quirós;Urko González de Zárate Quirós;Urko González de Zárate;4;Substitute;Midfielder;0;10;0;0;1;34;0;0;11;0;1;1;3;0;3;0;0;0;1;0;0;0;0;0;1;0;0;0
73;2526;2fc1kvignx7oybca1wqs2gsgk;esp-cel;c8llrezkm3b3op4afrou6b487;20ebw399jhbq0i5x2eacrrs6i;Ramon Terrats Espacio;Ramon Terrats;Ramon Terrats;14;Substitute;Midfielder;0;2;0;0;1;7;0;0;3;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;1
73;2526;2fc1kvignx7oybca1wqs2gsgk;esp-cel;6f27yvbqcngegwsg2ozxxdj4;6wplm29z7qxxmujyc2ml19gix;Ionuț Andrei Radu;Ionut Radu;I. Radu;13;Goalkeeper;Centre;1;17;1;6;2;90;1;0;23;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
73;2526;2fc1kvignx7oybca1wqs2gsgk;esp-cel;6f27yvbqcngegwsg2ozxxdj4;9i7lb16qty1t21bnc5h7skclx;Marcos Alonso Mendoza;Marcos Alonso;Marcos Alonso;20;Defender;Left/Centre;4;77;1;2;2;90;0;12;85;4;0;1;2;1;2;2;1;0;0;0;0;0;1;1;0;0;0;0
73;2526;2fc1kvignx7oybca1wqs2gsgk;esp-cel;6f27yvbqcngegwsg2ozxxdj4;cksi669gcnskpytzh70a43it;Carl Anders Theodor Starfelt;Carl Starfelt;C. Starfelt;2;Defender;Centre;5;77;1;0;2;90;0;11;77;5;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
73;2526;2fc1kvignx7oybca1wqs2gsgk;esp-cel;6f27yvbqcngegwsg2ozxxdj4;79n0dyjagmleor1fpwl25qql0;Javier Rodríguez Galiano;Javi Rodríguez;Javi Rodríguez;32;Defender;Centre/Right;6;59;1;0;2;87;0;3;61;6;0;1;2;0;2;0;1;0;1;0;0;1;0;0;0;0;0;0
73;2526;2fc1kvignx7oybca1wqs2gsgk;esp-cel;6f27yvbqcngegwsg2ozxxdj4;5tc1y5n3h4ties7gbc3zd9j6y;Sergio Carreira Vilariño;Sergio Carreira;Sergio Carreira;5;Midfielder;Left;3;49;1;0;2;90;0;3;55;3;0;1;2;6;1;1;0;0;1;0;1;0;0;0;0;0;0;0
73;2526;2fc1kvignx7oybca1wqs2gsgk;esp-cel;6f27yvbqcngegwsg2ozxxdj4;a39ntr1ek9aavke18yucd0r2s;Miguel Román González;Miguel Román;Miguel Román;16;Midfielder;Left/Centre;8;41;1;0;2;88;0;3;45;8;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0
73;2526;2fc1kvignx7oybca1wqs2gsgk;esp-cel;6f27yvbqcngegwsg2ozxxdj4;9g4ojrys88awchyj6zgmd6oes;Fernando López González;Fer López;Fer López;8;Midfielder;Centre/Right;7;41;1;0;2;90;0;2;49;7;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0
73;2526;2fc1kvignx7oybca1wqs2gsgk;esp-cel;6f27yvbqcngegwsg2ozxxdj4;75xbiozismh96vufhrhkng4mi;Javier Rueda García;Javi Rueda;Javi Rueda;17;Midfielder;Right;2;16;1;0;1;70;0;2;21;2;0;0;1;5;1;0;0;0;0;0;0;1;1;0;0;0;0;1
73;2526;2fc1kvignx7oybca1wqs2gsgk;esp-cel;6f27yvbqcngegwsg2ozxxdj4;e91yegwfliqhfy9yyk19otafo;Williot Theo Swedberg;Williot Swedberg;W. Swedberg;19;Striker;Left/Centre;11;19;1;0;1;70;0;1;20;11;1;1;1;0;1;5;0;0;0;0;0;1;0;0;0;0;1;0
73;2526;2fc1kvignx7oybca1wqs2gsgk;esp-cel;6f27yvbqcngegwsg2ozxxdj4;d12m2oz1lomkc1qxmpht38lat;Borja Iglesias Quintás;Borja Iglesias;Borja Iglesias;7;Striker;Centre;9;20;1;0;2;90;0;2;26;9;0;3;0;0;0;1;1;0;0;0;2;0;0;0;0;1;1;0
73;2526;2fc1kvignx7oybca1wqs2gsgk;esp-cel;6f27yvbqcngegwsg2ozxxdj4;9mlj7fxon5zy1qmktvvcwjrl6;Ferran Jutglà Blanch;Ferran Jutglà;Ferran Jutglà;9;Striker;Centre/Right;10;12;1;0;1;70;0;1;22;10;1;3;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0
73;2526;2fc1kvignx7oybca1wqs2gsgk;esp-cel;6f27yvbqcngegwsg2ozxxdj4;cs2yx3hiqjsb4i5ul2r5kmdat;Iago Aspas Juncal;Iago Aspas;Iago Aspas;10;Substitute;Attacker;0;7;0;0;0;3;0;0;7;0;0;2;0;0;0;0;2;0;1;0;0;0;0;0;1;0;0;0
73;2526;2fc1kvignx7oybca1wqs2gsgk;esp-cel;6f27yvbqcngegwsg2ozxxdj4;9ksvo095xi2t4q4pvgxa836z8;Pablo Durán Fernández;Pablo Durán;Pablo Durán;18;Substitute;Attacker;0;5;0;0;1;20;0;0;7;0;1;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1
73;2526;2fc1kvignx7oybca1wqs2gsgk;esp-cel;6f27yvbqcngegwsg2ozxxdj4;64ctdbd0w5ikj0fkcuu9jdbhm;Moriba Kourouma Kourouma;Moriba Kourouma Kourouma;I. Moriba;6;Substitute;Midfielder;0;19;0;0;1;20;0;0;20;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
73;2526;2fc1kvignx7oybca1wqs2gsgk;esp-cel;6f27yvbqcngegwsg2ozxxdj4;c3sl9ajm4q424r4u37iath3hl;Óscar Mingueza García;Óscar Mingueza;Óscar Mingueza;3;Substitute;Defender;0;10;0;0;1;20;0;0;12;0;0;0;0;3;0;0;0;0;1;1;0;0;0;0;1;0;0;0
73;2526;2fc1kvignx7oybca1wqs2gsgk;esp-cel;6f27yvbqcngegwsg2ozxxdj4;9462218yklkts6mod3cbfryz9;Matías Vecino Falero;Matías Vecino;M. Vecino;15;Substitute;Midfielder;0;12;0;0;0;2;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
