league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;minsPlayed;saves;totalClearance;totalPass;formationPlace;fouls;wasFouled;yellowCard;totalTackle;wonTackle;totalOffside;goalAssist;totalThrows;lostCorners;totalSubOff;goals;ontargetScoringAtt;totalScoringAtt;blockedScoringAtt;cornerTaken;shotOffTarget;wonCorners;penaltyWon;totalSubOn;penGoalsConceded;penaltyFaced;penaltyConceded
73;2526;2g2ynxffaiw8no1j61y45vvh0;get-vil;1n1j0wsl763lq7ee1k0c11c02;vota9gwygxp3wc998tl7ldxx;David Soria Solís;David Soria;David Soria;13;Goalkeeper;Centre;1;12;1;9;1;90;1;1;26;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2g2ynxffaiw8no1j61y45vvh0;get-vil;1n1j0wsl763lq7ee1k0c11c02;buglwgk2hthoyqt1ocghya92i;Zaid Abner Romero;Zaid Romero;Z. Romero;24;Defender;Left/Centre;4;13;1;0;1;90;0;11;23;4;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2g2ynxffaiw8no1j61y45vvh0;get-vil;1n1j0wsl763lq7ee1k0c11c02;br4wylyaeqyxoss5of7r51boq;Abdelkabir Abqar;Abdel Abqar;A. Abqar;3;Defender;Centre;5;15;1;0;1;90;0;1;19;5;2;5;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2g2ynxffaiw8no1j61y45vvh0;get-vil;1n1j0wsl763lq7ee1k0c11c02;cue88fm1v1ysfuwhql68czydx;Domingos de Sousa Coutinho Meneses Duarte;Domingos de Sousa Coutinho Meneses Duarte;Domingos Duarte;22;Defender;Centre/Right;6;25;1;0;1;90;0;5;30;6;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2g2ynxffaiw8no1j61y45vvh0;get-vil;1n1j0wsl763lq7ee1k0c11c02;5lzbyj5i0cotpry4gneap8c89;Juan Antonio Iglesias Sánchez;Juan Iglesias;Juan Iglesias;21;Wing Back;Left;3;7;1;0;1;90;0;6;14;3;6;2;0;8;3;0;1;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2g2ynxffaiw8no1j61y45vvh0;get-vil;1n1j0wsl763lq7ee1k0c11c02;6wpnjdlg2p8f19y3gjpz1su6t;Francisco Femenía Far;Kiko Femenía;Kiko Femenía;17;Wing Back;Right;2;28;1;0;1;86;0;2;32;2;0;0;0;2;2;0;0;9;1;1;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2g2ynxffaiw8no1j61y45vvh0;get-vil;1n1j0wsl763lq7ee1k0c11c02;5gorfhj7uwpomrhlso1krxrkl;Mauro Wilney Arambarri Rosa;Mauro Arambarri;M. Arambarri;8;Midfielder;Left/Centre;11;18;1;0;1;90;0;0;19;11;1;2;0;3;2;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0
73;2526;2g2ynxffaiw8no1j61y45vvh0;get-vil;1n1j0wsl763lq7ee1k0c11c02;9see13i1f0n1ju4uhs8sijutx;Djené Dakonam Ortega;Djené Dakonam;D. Dakonam;2;Midfielder;Centre;8;19;1;0;1;80;0;0;22;8;1;0;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2g2ynxffaiw8no1j61y45vvh0;get-vil;1n1j0wsl763lq7ee1k0c11c02;ch1lxxbn01at4jmkafy4uevh1;Luis Milla Manzanares;Luis Milla;Luis Milla;5;Midfielder;Centre/Right;7;25;1;0;1;90;0;1;33;7;1;1;0;8;4;0;0;0;2;0;0;0;3;1;3;2;0;0;0;0;0;0
73;2526;2g2ynxffaiw8no1j61y45vvh0;get-vil;1n1j0wsl763lq7ee1k0c11c02;c68syh6axbkqmcmvrpumqb8mi;Martín Adrián Satriano Costa;Martín Satriano;M. Satriano;10;Striker;Left/Centre;9;15;1;0;1;89;0;0;31;9;5;0;0;3;2;0;0;0;0;1;1;1;1;0;0;0;3;0;0;0;0;0
73;2526;2g2ynxffaiw8no1j61y45vvh0;get-vil;1n1j0wsl763lq7ee1k0c11c02;cei4ujo2jqzc9f0tmi8xgll62;Luis Ismael Vázquez;Luis Vázquez;L. Vázquez;19;Striker;Centre/Right;10;4;1;0;1;81;0;2;9;10;2;4;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
73;2526;2g2ynxffaiw8no1j61y45vvh0;get-vil;1n1j0wsl763lq7ee1k0c11c02;4wkn0nrhl9gmaflvw2wdoup04;Juan Sebastián Boselli Graf;Sebastián Boselli;S. Boselli;15;Substitute;Defender;0;2;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
73;2526;2g2ynxffaiw8no1j61y45vvh0;get-vil;1n1j0wsl763lq7ee1k0c11c02;alz5rwbxued4hgkts0panocus;Adrián Liso Lahoz;Adrián Liso;Adrián Liso;23;Substitute;Attacker;0;3;0;0;0;9;0;1;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
73;2526;2g2ynxffaiw8no1j61y45vvh0;get-vil;1n1j0wsl763lq7ee1k0c11c02;aohmwqhdb8hlp5lvqboh0t5g5;Javier Muñoz Jiménez;Javi Muñoz;Javi Muñoz;14;Substitute;Midfielder;0;1;0;0;0;10;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
73;2526;2g2ynxffaiw8no1j61y45vvh0;get-vil;1n1j0wsl763lq7ee1k0c11c02;6lz4bncnjfcm7wrtuiovguv2t;Allan-Roméo Nyom;Allan Nyom;A. Nyom;12;Substitute;Defender;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
73;2526;2g2ynxffaiw8no1j61y45vvh0;get-vil;74mcjsm72vr3l9pw2i4qfjchj;6ddxujeb3873j5evwiz8n4wt0;Luíz Lúcio Reis Júnior;Luiz Lúcio Reis Júnior;Luíz Júnior;1;Goalkeeper;Centre;1;16;1;4;2;90;0;4;22;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
73;2526;2g2ynxffaiw8no1j61y45vvh0;get-vil;74mcjsm72vr3l9pw2i4qfjchj;eh70fwampgdyfv3hu25o2qx;Alfonso Pedraza Sag;Alfonso Pedraza;Alfonso Pedraza;24;Defender;Left;3;26;1;0;2;90;0;5;34;3;1;3;0;5;2;0;0;15;2;0;0;0;1;0;0;1;1;0;0;1;0;0
73;2526;2g2ynxffaiw8no1j61y45vvh0;get-vil;74mcjsm72vr3l9pw2i4qfjchj;bfdtduknquzhr2br7ahlgvvo4;Renato Palma Veiga;Renato Palma Veiga;Renato Veiga;12;Defender;Left/Centre;6;49;1;0;2;90;0;4;58;6;2;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1
73;2526;2g2ynxffaiw8no1j61y45vvh0;get-vil;74mcjsm72vr3l9pw2i4qfjchj;9rtfwu0z7qtk1kglenp2vm13o;Pau Navarro Badenes;Pau Navarro;Pau Navarro;6;Defender;Centre/Right;5;39;1;0;2;90;0;2;47;5;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
73;2526;2g2ynxffaiw8no1j61y45vvh0;get-vil;74mcjsm72vr3l9pw2i4qfjchj;albt55j4oir1veynmos532psk;Álvaro Santiago Mouriño González;Santiago Mouriño;S. Mouriño;15;Defender;Right;2;33;1;0;2;78;0;8;50;2;3;4;1;2;1;0;0;14;0;1;0;0;0;0;0;0;0;0;0;1;0;0
73;2526;2g2ynxffaiw8no1j61y45vvh0;get-vil;74mcjsm72vr3l9pw2i4qfjchj;63i6o2zienvxlanzwc6pf8cus;Hugo López Cortés;Hugo Lopez;Hugo López;32;Midfielder;Left;11;4;1;0;1;45;0;0;4;11;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0
73;2526;2g2ynxffaiw8no1j61y45vvh0;get-vil;74mcjsm72vr3l9pw2i4qfjchj;c29mprqv2ulztd22b6uckczx1;Daniel Parejo Muñoz;Dani Parejo;Dani Parejo;10;Midfielder;Left/Centre;8;23;1;0;2;65;0;1;34;8;0;1;0;1;1;0;0;0;0;1;0;0;0;0;2;0;0;0;0;1;0;0
73;2526;2g2ynxffaiw8no1j61y45vvh0;get-vil;74mcjsm72vr3l9pw2i4qfjchj;ekm47qd8w1x0456lm1tmf5re1;Pape Alassane Gueye;Pape Gueye;P. Gueye;18;Midfielder;Centre/Right;4;24;1;0;2;90;0;2;33;4;1;4;0;2;0;0;0;0;0;0;0;0;2;1;0;1;1;0;0;1;0;0
73;2526;2g2ynxffaiw8no1j61y45vvh0;get-vil;74mcjsm72vr3l9pw2i4qfjchj;acx78ftnm61hm01wpmme77hbe;Tajon Trevor Buchanan;Tajon Buchanan;T. Buchanan;17;Midfielder;Right;7;6;1;0;2;65;0;0;9;7;0;2;0;0;0;1;0;3;0;1;0;0;0;0;0;0;0;0;0;1;0;0
73;2526;2g2ynxffaiw8no1j61y45vvh0;get-vil;74mcjsm72vr3l9pw2i4qfjchj;2mhvgtcem9qn2yzobtkqiegpg;Tanitoluwa Oluwatimikhin Oluwaseyi;Tani Oluwaseyi;T. Oluwaseyi;21;Striker;Left/Centre;9;4;1;0;2;90;0;0;7;9;4;1;1;0;0;1;0;0;0;0;0;0;2;0;0;2;0;0;0;1;0;0
73;2526;2g2ynxffaiw8no1j61y45vvh0;get-vil;74mcjsm72vr3l9pw2i4qfjchj;3n9jnuteyjx6w6dxviuead0b9;Nicolas Pépé;Nicolas Pépé;N. Pépé;19;Striker;Centre/Right;10;18;1;0;2;90;0;1;21;10;3;2;0;1;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;1;0;0
73;2526;2g2ynxffaiw8no1j61y45vvh0;get-vil;74mcjsm72vr3l9pw2i4qfjchj;b5rea5r4h8bclpenau2au142x;Santiago Comesaña Veiga;Santi Comesaña;Santi Comesaña;14;Substitute;Midfielder;0;11;0;0;0;25;0;0;18;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
73;2526;2g2ynxffaiw8no1j61y45vvh0;get-vil;74mcjsm72vr3l9pw2i4qfjchj;6g7i7z6m8vts105dny1g6z3hm;Alexander Michael Freeman;Alexander Freeman;A. Freeman;3;Substitute;Defender;0;9;0;0;0;12;0;0;10;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
73;2526;2g2ynxffaiw8no1j61y45vvh0;get-vil;74mcjsm72vr3l9pw2i4qfjchj;8bvn7mn5tjfj3l2bnpvm75gmi;Georges Mikautadze;Georges Mikautadze;G. Mikautadze;9;Substitute;Attacker;0;4;0;0;0;25;0;0;7;0;0;0;0;0;0;0;0;0;0;0;1;2;2;0;0;0;0;0;1;0;0;0
73;2526;2g2ynxffaiw8no1j61y45vvh0;get-vil;74mcjsm72vr3l9pw2i4qfjchj;drwacyyicuhy3heg4j0ipqj85;Ayoze Pérez Gutiérrez;Ayoze Pérez;Ayoze Pérez;22;Substitute;Attacker;0;3;0;0;1;45;0;0;4;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
