league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;minsPlayed;totalPass;formationPlace;lostCorners;totalClearance;totalTackle;totalThrows;wonTackle;shotOffTarget;totalScoringAtt;yellowCard;blockedScoringAtt;fouls;wasFouled;totalSubOff;cornerTaken;wonCorners;redCard;secondYellow;ontargetScoringAtt;totalSubOn;cleanSheet;saves;goals;totalOffside;goalAssist
73;2526;2ggfagcn46v6b5rbqpgdj7das;lev-val;4grc9qgcvusllap8h5j6gc5h5;7udphhcokm6vralyz5gkovxsl;Mathew David Ryan;Mathew Ryan;M. Ryan;13;Goalkeeper;Centre;1;27;1;5;2;90;33;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2ggfagcn46v6b5rbqpgdj7das;lev-val;4grc9qgcvusllap8h5j6gc5h5;d34tmogp5h4rwuo3pcxtwp0fe;Manuel Sánchez de la Peña;Manu Sánchez;Manu Sánchez;23;Defender;Left;3;34;1;0;2;90;44;3;1;1;2;10;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2ggfagcn46v6b5rbqpgdj7das;lev-val;4grc9qgcvusllap8h5j6gc5h5;4v3mcgy4w1n4g3vkq0fe7iwwk;Matías Agustín Moreno;Matías Moreno;M. Moreno;2;Defender;Left/Centre;6;47;1;0;2;90;52;6;0;2;2;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2ggfagcn46v6b5rbqpgdj7das;lev-val;4grc9qgcvusllap8h5j6gc5h5;49230s4p4daocrftccqqbeqjt;Adrián de la Fuente Barquilla;Adrián de la Fuente;Adrián de la Fuente;4;Defender;Centre/Right;5;53;1;1;2;90;63;5;0;5;4;4;2;2;3;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2ggfagcn46v6b5rbqpgdj7das;lev-val;4grc9qgcvusllap8h5j6gc5h5;a0810cmxke3zmwaqj31bo15hw;Nacho Pérez Gómez;Nacho Pérez;Nacho Pérez;29;Defender;Right;2;31;1;0;1;78;36;2;0;1;3;6;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
73;2526;2ggfagcn46v6b5rbqpgdj7das;lev-val;4grc9qgcvusllap8h5j6gc5h5;e98i1kwb733b830mk2wqdlene;Pablo Martínez Andrés;Pablo Martínez;Pablo Martínez;10;Defensive Midfielder;Left/Centre;4;14;1;0;1;78;19;4;0;0;0;1;0;0;0;0;0;2;3;1;2;2;0;0;0;0;0;0;0;0;0
73;2526;2ggfagcn46v6b5rbqpgdj7das;lev-val;4grc9qgcvusllap8h5j6gc5h5;kdf39fz73dd5n2nzlsuwbq3t;Kervin Fabián Arriaga Villanueva;Kervin Arriaga;K. Arriaga;16;Defensive Midfielder;Centre/Right;8;39;1;0;2;90;41;8;1;2;1;2;0;0;0;0;0;2;1;0;0;0;1;1;0;0;0;0;0;0;0
73;2526;2ggfagcn46v6b5rbqpgdj7das;lev-val;4grc9qgcvusllap8h5j6gc5h5;38igxi5sn8v00xtciwhqb44fe;Iker Losada Aragunde;Iker Losada;Iker Losada;18;Attacking Midfielder;Left;11;7;1;0;1;69;10;11;0;0;1;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
73;2526;2ggfagcn46v6b5rbqpgdj7das;lev-val;4grc9qgcvusllap8h5j6gc5h5;6gtfe9aysdrcht4v2rluu0ley;Carlos Álvarez Rivera;Carlos Álvarez;Carlos Álvarez;24;Attacking Midfielder;Centre;10;14;1;0;1;69;21;10;0;1;0;0;0;0;0;0;0;1;3;1;1;0;0;0;0;0;0;0;0;0;0
73;2526;2ggfagcn46v6b5rbqpgdj7das;lev-val;4grc9qgcvusllap8h5j6gc5h5;20s72mrpp0gl3hd333zaows2c;Kareem Tunde Ruiz;Kareem Tunde;Kareem Tunde;26;Attacking Midfielder;Right;7;13;1;0;2;90;17;7;0;0;2;0;1;2;2;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0
