league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;minsPlayed;penGoalsConceded;penaltyFaced;saves;totalPass;formationPlace;goalAssist;lostCorners;totalClearance;totalTackle;totalThrows;wonCorners;wonTackle;fouls;penaltyConceded;yellowCard;shotOffTarget;totalScoringAtt;totalSubOff;cornerTaken;wasFouled;blockedScoringAtt;totalOffside;goals;ontargetScoringAtt;penaltyWon;totalSubOn
73;2526;2gtyyqnsw87ojqc60b9b50dn8;rma-rso;3kq9cckrnlogidldtdie2fkbl;6crmq7vzqts58wg196q48sc7p;Thibaut Nicolas Marc Courtois;Thibaut Courtois;T. Courtois;1;Goalkeeper;Centre;1;35;1;3;1;90;1;1;2;42;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2gtyyqnsw87ojqc60b9b50dn8;rma-rso;3kq9cckrnlogidldtdie2fkbl;a4kw8u4dqsslfwe1ux08lbmc;Álvaro Fernández Carreras;Álvaro Carreras;Álvaro Carreras;18;Defender;Left;3;52;1;0;1;90;1;0;0;55;3;1;1;1;2;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2gtyyqnsw87ojqc60b9b50dn8;rma-rso;3kq9cckrnlogidldtdie2fkbl;d2hnxi1yi5rgqj1tvxh1813x0;Dean Donny Huijsen Wijsmuller;Dean Huijsen;Dean Huijsen;24;Defender;Left/Centre;6;70;1;2;1;90;1;0;0;74;6;0;2;2;2;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
73;2526;2gtyyqnsw87ojqc60b9b50dn8;rma-rso;3kq9cckrnlogidldtdie2fkbl;6fzbp94hf19ysotdassrqdc5x;Antonio Rüdiger;Antonio Rüdiger;A. Rüdiger;22;Defender;Centre/Right;5;49;1;5;1;60;1;0;0;54;5;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0
73;2526;2gtyyqnsw87ojqc60b9b50dn8;rma-rso;3kq9cckrnlogidldtdie2fkbl;19z8jmren3eytg7fbuzqv73kl;Trent John Alexander-Arnold;Trent Alexander-Arnold;T. Alexander-Arnold;12;Defender;Right;2;41;1;0;1;60;1;0;0;48;2;1;0;0;0;3;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
73;2526;2gtyyqnsw87ojqc60b9b50dn8;rma-rso;3kq9cckrnlogidldtdie2fkbl;en2c7z1raqmcwee78297pbnu2;Eduardo Celmi Camavinga;Eduardo Camavinga;E. Camavinga;6;Midfielder;Left;11;49;1;0;1;73;1;0;0;54;11;0;1;0;2;0;0;1;3;0;0;0;0;1;0;2;0;0;0;0;0;0
73;2526;2gtyyqnsw87ojqc60b9b50dn8;rma-rso;3kq9cckrnlogidldtdie2fkbl;aipyotc87m5bdvmvizd5n69k9;Aurélien Djani Tchouaméni;Aurélien Tchouaméni;A. Tchouaméni;14;Midfielder;Left/Centre;8;51;1;0;1;79;1;0;0;53;8;0;0;1;4;0;0;3;1;0;0;0;0;1;0;0;0;0;0;0;0;0
73;2526;2gtyyqnsw87ojqc60b9b50dn8;rma-rso;3kq9cckrnlogidldtdie2fkbl;39gif4xfy8xddarasbsad56ok;Arda Güler;Arda Güler;A. Güler;15;Midfielder;Centre/Right;4;36;1;0;1;90;1;0;0;41;4;0;1;0;0;1;0;0;0;0;0;1;2;0;3;1;1;2;0;0;0;0
73;2526;2gtyyqnsw87ojqc60b9b50dn8;rma-rso;3kq9cckrnlogidldtdie2fkbl;1i9wi65k2foqwudeqiyih87hl;Federico Santiago Valverde Dipetta;Federico Valverde;F. Valverde;8;Midfielder;Right;7;39;1;0;1;73;1;0;0;42;7;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;1;1;0;0
73;2526;2gtyyqnsw87ojqc60b9b50dn8;rma-rso;3kq9cckrnlogidldtdie2fkbl;b4witgokm49tidm1a83qcvbop;Vinícius José Paixão de Oliveira Júnior;Vinícius José Paixão de Oliveira Júnior;Vinícius Júnior;7;Striker;Left/Centre;9;33;1;0;1;90;1;0;0;39;9;0;0;0;0;0;2;0;2;0;0;0;3;0;0;2;1;2;2;2;2;0
73;2526;2gtyyqnsw87ojqc60b9b50dn8;rma-rso;3kq9cckrnlogidldtdie2fkbl;4o9d3hpjlicgce9gtbewyzhn8;Gonzalo García Torres;Gonzalo García;Gonzalo García;16;Striker;Centre/Right;10;19;1;0;1;90;1;0;0;21;10;0;0;0;1;0;0;0;0;0;0;1;4;0;0;1;1;0;1;2;0;0
73;2526;2gtyyqnsw87ojqc60b9b50dn8;rma-rso;3kq9cckrnlogidldtdie2fkbl;3jln1gzc0859ymphvq83i0mp5;Brahim Abdelkader Díaz;Brahim Díaz;Brahim Díaz;21;Substitute;Midfielder;0;11;0;0;0;17;0;0;0;12;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;1
