league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;minsPlayed;totalClearance;totalPass;formationPlace;fouls;lostCorners;totalTackle;wasFouled;wonTackle;yellowCard;totalSubOff;totalOffside;totalThrows;goals;ontargetScoringAtt;totalScoringAtt;redCard;secondYellow;blockedScoringAtt;shotOffTarget;totalSubOn;saves;wonCorners;cornerTaken;goalAssist
73;2526;2h7d8ukaxlbxzfalz2jej5us4;sev-ala;10eyb18v5puw4ez03ocaug09m;7jtc6yk5xu4cm1an97wrgozbp;Odysseas Vlachodimos;Odysseas Vlachodimos;O. Vlachodimos;1;Goalkeeper;Centre;1;8;1;12;1;90;3;28;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2h7d8ukaxlbxzfalz2jej5us4;sev-ala;10eyb18v5puw4ez03ocaug09m;9nwkxgbl8t933pzu60ye4xxxw;Enrique Jesús Salas Valiente;Kike Salas;Kike Salas;4;Defender;Left/Centre;4;16;1;0;1;90;12;22;4;3;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2h7d8ukaxlbxzfalz2jej5us4;sev-ala;10eyb18v5puw4ez03ocaug09m;6vvwhgic29fekmmj2cg62ytp1;Nemanja Gudelj;Nemanja Gudelj;N. Gudelj;6;Defender;Centre;5;13;1;0;1;90;4;19;5;4;0;2;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2h7d8ukaxlbxzfalz2jej5us4;sev-ala;10eyb18v5puw4ez03ocaug09m;2lwjtphx3bkjty9sds520l1ey;Tanguy-Austin Nianzou Kouassi;Tanguy Nianzou;T. Nianzou;5;Defender;Centre/Right;6;7;1;0;1;70;8;11;6;0;0;1;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2h7d8ukaxlbxzfalz2jej5us4;sev-ala;10eyb18v5puw4ez03ocaug09m;8yak0o9o7z5j5ribga3ui2cb9;Gabriel Alonso Suazo Urbina;Gabriel Suazo;G. Suazo;12;Midfielder;Left;3;11;1;0;1;90;4;22;3;1;0;3;1;3;0;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2h7d8ukaxlbxzfalz2jej5us4;sev-ala;10eyb18v5puw4ez03ocaug09m;7cdiijsvnfc7tafy0zkf4uz9;Mohameth Djibril Ibrahima Sow;Djibril Sow;D. Sow;20;Midfielder;Left/Centre;8;9;1;0;1;61;0;12;8;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0
73;2526;2h7d8ukaxlbxzfalz2jej5us4;sev-ala;10eyb18v5puw4ez03ocaug09m;c8mp2wwwyvy930vfjnivg2hre;Lucien Jefferson Agoumé;Lucien Agoumé;L. Agoumé;18;Midfielder;Centre;11;17;1;0;1;81;2;23;11;2;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2h7d8ukaxlbxzfalz2jej5us4;sev-ala;10eyb18v5puw4ez03ocaug09m;7j2h7bq14b9n6xephp8vchfu2;Juan Luis Sánchez Velasco;Juanlu Sánchez;Juanlu Sánchez;16;Midfielder;Centre/Right;7;4;1;0;0;16;0;5;7;2;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
73;2526;2h7d8ukaxlbxzfalz2jej5us4;sev-ala;10eyb18v5puw4ez03ocaug09m;bvw1jgmhfyc896gfi6uj0skwl;César Azpilicueta Tanco;César Azpilicueta;César Azpilicueta;3;Midfielder;Right;2;9;1;0;0;55;2;11;2;0;0;2;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2h7d8ukaxlbxzfalz2jej5us4;sev-ala;10eyb18v5puw4ez03ocaug09m;6mf11pv0pfvyl9vom1i1pi0yy;Akor Jerome Adams;Akor Adams;A. Adams;9;Striker;Left/Centre;9;9;1;0;1;81;0;13;9;0;0;1;0;0;0;1;1;0;0;1;3;0;0;1;1;0;0;0;0;0
73;2526;2h7d8ukaxlbxzfalz2jej5us4;sev-ala;10eyb18v5puw4ez03ocaug09m;xu7mykgl15kaib3olilmsez9;Neal Maupay;Neal Maupay;N. Maupay;17;Striker;Centre/Right;10;4;1;0;1;70;0;8;10;1;0;1;3;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2h7d8ukaxlbxzfalz2jej5us4;sev-ala;10eyb18v5puw4ez03ocaug09m;6jq376l673aizjxxhhos2j52i;José Ángel Carmona Navarro;José Ángel Carmona;José Ángel Carmona;2;Substitute;Defender;0;2;0;0;1;35;1;5;0;1;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0
