league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;minsPlayed;totalPass;formationPlace;fouls;totalClearance;totalTackle;totalThrows;wasFouled;wonTackle;lostCorners;totalSubOff;totalOffside;yellowCard;shotOffTarget;totalScoringAtt;redCard;cornerTaken;wonCorners;blockedScoringAtt;ontargetScoringAtt;totalSubOn;cleanSheet;saves;goals;goalAssist
73;2526;2hktnqo0d8lx8h65s2ac67ac4;get-sev;1n1j0wsl763lq7ee1k0c11c02;vota9gwygxp3wc998tl7ldxx;David Soria Solís;David Soria;David Soria;13;Goalkeeper;Centre;1;10;1;7;1;90;40;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2hktnqo0d8lx8h65s2ac67ac4;get-sev;1n1j0wsl763lq7ee1k0c11c02;buglwgk2hthoyqt1ocghya92i;Zaid Abner Romero;Zaid Romero;Z. Romero;24;Defender;Left/Centre;4;19;1;0;1;90;25;4;1;3;3;5;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2hktnqo0d8lx8h65s2ac67ac4;get-sev;1n1j0wsl763lq7ee1k0c11c02;br4wylyaeqyxoss5of7r51boq;Abdelkabir Abqar;Abdel Abqar;A. Abqar;3;Defender;Centre;5;12;1;0;1;67;17;5;1;5;0;0;4;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2hktnqo0d8lx8h65s2ac67ac4;get-sev;1n1j0wsl763lq7ee1k0c11c02;cue88fm1v1ysfuwhql68czydx;Domingos de Sousa Coutinho Meneses Duarte;Domingos de Sousa Coutinho Meneses Duarte;Domingos Duarte;22;Defender;Centre/Right;6;22;1;0;1;90;33;6;0;4;2;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2hktnqo0d8lx8h65s2ac67ac4;get-sev;1n1j0wsl763lq7ee1k0c11c02;5lzbyj5i0cotpry4gneap8c89;Juan Antonio Iglesias Sánchez;Juan Iglesias;Juan Iglesias;21;Wing Back;Left;3;7;1;0;1;67;9;3;0;2;2;3;1;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2hktnqo0d8lx8h65s2ac67ac4;get-sev;1n1j0wsl763lq7ee1k0c11c02;6wpnjdlg2p8f19y3gjpz1su6t;Francisco Femenía Far;Kiko Femenía;Kiko Femenía;17;Wing Back;Right;2;11;1;0;1;90;15;2;0;3;0;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2hktnqo0d8lx8h65s2ac67ac4;get-sev;1n1j0wsl763lq7ee1k0c11c02;5gorfhj7uwpomrhlso1krxrkl;Mauro Wilney Arambarri Rosa;Mauro Arambarri;M. Arambarri;8;Midfielder;Left/Centre;11;7;1;0;1;76;13;11;0;0;1;0;0;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0
73;2526;2hktnqo0d8lx8h65s2ac67ac4;get-sev;1n1j0wsl763lq7ee1k0c11c02;9see13i1f0n1ju4uhs8sijutx;Djené Dakonam Ortega;Djené Dakonam;D. Dakonam;2;Midfielder;Centre;8;4;1;0;0;26;5;8;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
73;2526;2hktnqo0d8lx8h65s2ac67ac4;get-sev;1n1j0wsl763lq7ee1k0c11c02;ch1lxxbn01at4jmkafy4uevh1;Luis Milla Manzanares;Luis Milla;Luis Milla;5;Midfielder;Centre/Right;7;13;1;0;1;90;23;7;1;1;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0
73;2526;2hktnqo0d8lx8h65s2ac67ac4;get-sev;1n1j0wsl763lq7ee1k0c11c02;c68syh6axbkqmcmvrpumqb8mi;Martín Adrián Satriano Costa;Martín Satriano;M. Satriano;10;Striker;Left/Centre;9;8;1;0;1;90;13;9;0;0;3;0;1;3;0;0;1;0;0;3;0;0;1;1;2;0;0;0;0;0
