league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;lostCorners;minsPlayed;saves;totalPass;formationPlace;fouls;totalClearance;totalTackle;totalThrows;wonTackle;wasFouled;shotOffTarget;totalScoringAtt;blockedScoringAtt;totalSubOff;wonCorners;yellowCard;cornerTaken;goals;ontargetScoringAtt;penaltyWon;totalSubOn;totalOffside;goalAssist;penGoalsConceded;penaltyConceded;penaltyFaced
73;2526;2i1fz7uysfcivnrqrbpsybfo4;osa-rma;2l0ldgiwsgb8d6y3z0sfgjzyj;amjegysk3et638l4od103c7o5;Sergio Herrera Pirón;Sergio Herrera;Sergio Herrera;1;Goalkeeper;Centre;1;11;1;8;1;2;90;4;17;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2i1fz7uysfcivnrqrbpsybfo4;osa-rma;2l0ldgiwsgb8d6y3z0sfgjzyj;40gxfsz7bgrkdudqewlpxzyzt;Javier Galán Gil;Javi Galán;Javi Galán;20;Defender;Left;3;38;1;0;1;2;90;0;47;3;3;7;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2i1fz7uysfcivnrqrbpsybfo4;osa-rma;2l0ldgiwsgb8d6y3z0sfgjzyj;5b9awsil5bgqrsc13xsoj35nu;Jorge Herrando Oroz;Jorge Herrando;Jorge Herrando;5;Defender;Left/Centre;6;28;1;0;1;1;90;0;29;6;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2i1fz7uysfcivnrqrbpsybfo4;osa-rma;2l0ldgiwsgb8d6y3z0sfgjzyj;bi8nrmyaxsgbhixw921fzvm5l;Alejandro Catena Marugán;Alejandro Catena;Alejandro Catena;24;Defender;Centre/Right;5;28;1;0;1;1;90;0;34;5;1;5;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2i1fz7uysfcivnrqrbpsybfo4;osa-rma;2l0ldgiwsgb8d6y3z0sfgjzyj;3ex56ma2xf94ex429ay35gusp;Valentin André Henri Rosier;Valentin Rosier;V. Rosier;19;Defender;Right;2;28;1;0;1;1;83;0;33;2;2;3;2;6;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
73;2526;2i1fz7uysfcivnrqrbpsybfo4;osa-rma;2l0ldgiwsgb8d6y3z0sfgjzyj;d3pdr28q2n295ldry2lc1uklx;Lucas Torró Marset;Lucas Torró;Lucas Torró;6;Defensive Midfielder;Left/Centre;4;38;1;0;1;0;90;0;43;4;2;3;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2i1fz7uysfcivnrqrbpsybfo4;osa-rma;2l0ldgiwsgb8d6y3z0sfgjzyj;f4gpe0pxov8sea9e0fs24h8q2;Jon Moncayola Tollar;Jon Moncayola;Jon Moncayola;7;Defensive Midfielder;Centre/Right;8;28;1;0;1;0;83;0;34;8;1;0;1;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0
73;2526;2i1fz7uysfcivnrqrbpsybfo4;osa-rma;2l0ldgiwsgb8d6y3z0sfgjzyj;d358ce00vstqg3ilinhcc10r8;Víctor Muñoz Villanueva;Víctor Muñoz;Víctor Muñoz;21;Attacking Midfielder;Left;11;15;1;0;1;0;90;0;19;11;3;0;0;0;0;3;0;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0
73;2526;2i1fz7uysfcivnrqrbpsybfo4;osa-rma;2l0ldgiwsgb8d6y3z0sfgjzyj;bpf2fcb73l96fwspo72shmkiy;Aimar Oroz Huarte;Aimar Oroz;Aimar Oroz;10;Attacking Midfielder;Centre;10;27;1;0;0;0;71;0;34;10;3;0;0;0;0;2;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0
73;2526;2i1fz7uysfcivnrqrbpsybfo4;osa-rma;2l0ldgiwsgb8d6y3z0sfgjzyj;9xbo6c8uq29ueuyinngjjiaj9;Rubén García Santos;Rubén García;Rubén García;14;Attacking Midfielder;Right;7;23;1;0;0;0;66;0;27;7;0;0;1;0;1;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0
73;2526;2i1fz7uysfcivnrqrbpsybfo4;osa-rma;2l0ldgiwsgb8d6y3z0sfgjzyj;946z96r5q70ryslp3hlhafnx1;Ante Budimir;Ante Budimir;A. Budimir;17;Striker;Centre;9;9;1;0;0;0;67;0;10;9;0;2;0;0;0;1;3;5;1;1;0;0;0;1;1;1;0;0;0;0;0;0
73;2526;2i1fz7uysfcivnrqrbpsybfo4;osa-rma;2l0ldgiwsgb8d6y3z0sfgjzyj;609aarpl34780k5mkkwluvjf8;Íñigo Arguibide Goñi;Iñigo Arguibide;Íñigo Arguibide;41;Substitute;Defender;0;0;0;0;0;0;7;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
73;2526;2i1fz7uysfcivnrqrbpsybfo4;osa-rma;2l0ldgiwsgb8d6y3z0sfgjzyj;bvs3rixmobb9gje6kfvhgb52i;Abel Bretones Cruz;Abel Bretones;Abel Bretones;23;Substitute;Defender;0;4;0;0;1;0;24;0;5;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
73;2526;2i1fz7uysfcivnrqrbpsybfo4;osa-rma;2l0ldgiwsgb8d6y3z0sfgjzyj;cy3c0cj6yy1mokaj0mlk4k9re;Raúl García de Haro;Raúl García;Raúl García;9;Substitute;Attacker;0;7;0;0;1;0;23;0;7;0;0;0;1;0;1;1;0;2;1;0;0;0;0;1;1;0;1;1;0;0;0;0
73;2526;2i1fz7uysfcivnrqrbpsybfo4;osa-rma;2l0ldgiwsgb8d6y3z0sfgjzyj;6km3r9cspyz7g6343o9mri63u;Raúl Moro Prescoli;Raúl Moro;Raúl Moro;18;Substitute;Attacker;0;4;0;0;0;0;7;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0
73;2526;2i1fz7uysfcivnrqrbpsybfo4;osa-rma;2l0ldgiwsgb8d6y3z0sfgjzyj;1wezo3pjdktc0iqaxze3uh2sq;Iker Muñoz Cameros;Iker Muñoz;Iker Muñoz;8;Substitute;Midfielder;0;5;0;0;1;0;19;0;7;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
73;2526;2i1fz7uysfcivnrqrbpsybfo4;osa-rma;3kq9cckrnlogidldtdie2fkbl;6crmq7vzqts58wg196q48sc7p;Thibaut Nicolas Marc Courtois;Thibaut Courtois;T. Courtois;1;Goalkeeper;Centre;1;20;1;3;2;0;90;1;26;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1
73;2526;2i1fz7uysfcivnrqrbpsybfo4;osa-rma;3kq9cckrnlogidldtdie2fkbl;a4kw8u4dqsslfwe1ux08lbmc;Álvaro Fernández Carreras;Álvaro Carreras;Álvaro Carreras;18;Defender;Left;3;54;1;0;2;1;90;0;60;3;0;2;2;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0
73;2526;2i1fz7uysfcivnrqrbpsybfo4;osa-rma;3kq9cckrnlogidldtdie2fkbl;6w5wyari2p4bh2zzy2x2f6hg5;David Olatukunbo Alaba;David Alaba;D. Alaba;4;Defender;Left/Centre;6;63;1;0;2;1;90;0;68;6;1;3;3;0;2;0;1;2;1;0;2;1;0;0;0;0;0;0;0;1;0;0
73;2526;2i1fz7uysfcivnrqrbpsybfo4;osa-rma;3kq9cckrnlogidldtdie2fkbl;atj6u4qul0o2ca57etbmes07o;Raúl Asencio del Rosario;Raúl Asencio;Raúl Asencio;17;Defender;Centre/Right;5;60;1;1;2;1;90;0;65;5;2;4;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0
73;2526;2i1fz7uysfcivnrqrbpsybfo4;osa-rma;3kq9cckrnlogidldtdie2fkbl;7oykphzczagr975xsqt70s89h;Daniel Carvajal Ramos;Dani Carvajal;Dani Carvajal;2;Defender;Right;2;40;1;0;1;0;64;0;40;2;0;1;1;6;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
73;2526;2i1fz7uysfcivnrqrbpsybfo4;osa-rma;3kq9cckrnlogidldtdie2fkbl;en2c7z1raqmcwee78297pbnu2;Eduardo Celmi Camavinga;Eduardo Camavinga;E. Camavinga;6;Midfielder;Left;11;44;1;0;1;0;64;0;48;11;2;3;3;1;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
