league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;fouls;gameStarted;goalKicks;goalsConceded;lostCorners;minsPlayed;penGoalsConceded;penaltyConceded;penaltyFaced;saves;totalClearance;totalPass;wasFouled;formationPlace;shotOffTarget;totalScoringAtt;totalThrows;totalTackle;wonTackle;ontargetScoringAtt;yellowCard;cornerTaken;totalSubOff;wonCorners;goals;blockedScoringAtt;totalSubOn;totalOffside;penaltyWon
73;2526;2ieudkqygyu0aa32xvmgllc7o;vil-val;74mcjsm72vr3l9pw2i4qfjchj;6ddxujeb3873j5evwiz8n4wt0;Luíz Lúcio Reis Júnior;Luiz Lúcio Reis Júnior;Luíz Júnior;1;Goalkeeper;Centre;1;9;1;1;4;1;1;90;1;1;1;2;2;23;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2ieudkqygyu0aa32xvmgllc7o;vil-val;74mcjsm72vr3l9pw2i4qfjchj;4x854vpovag131b2kdutv4qju;Sergi Cardona Bermúdez;Sergi Cardona;Sergi Cardona;23;Defender;Left;3;20;0;1;0;1;0;90;1;0;0;0;4;27;1;3;1;1;7;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2ieudkqygyu0aa32xvmgllc7o;vil-val;74mcjsm72vr3l9pw2i4qfjchj;bfdtduknquzhr2br7ahlgvvo4;Renato Palma Veiga;Renato Palma Veiga;Renato Veiga;12;Defender;Left/Centre;6;37;0;1;0;1;1;90;1;0;0;0;3;40;0;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2ieudkqygyu0aa32xvmgllc7o;vil-val;74mcjsm72vr3l9pw2i4qfjchj;9rtfwu0z7qtk1kglenp2vm13o;Pau Navarro Badenes;Pau Navarro;Pau Navarro;6;Defender;Centre/Right;5;43;0;1;2;1;1;90;1;0;0;0;5;46;1;5;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
73;2526;2ieudkqygyu0aa32xvmgllc7o;vil-val;74mcjsm72vr3l9pw2i4qfjchj;albt55j4oir1veynmos532psk;Álvaro Santiago Mouriño González;Santiago Mouriño;S. Mouriño;15;Defender;Right;2;44;1;1;0;1;1;90;1;0;0;0;8;56;2;2;1;2;12;4;1;1;1;0;0;0;0;0;0;0;0
73;2526;2ieudkqygyu0aa32xvmgllc7o;vil-val;74mcjsm72vr3l9pw2i4qfjchj;1qkneebzln8byl9td2aswznmy;Alberto Moleiro González;Alberto Moleiro;Alberto Moleiro;20;Midfielder;Left;11;21;0;1;0;1;0;70;1;0;0;0;0;26;2;11;2;2;0;0;0;0;0;1;1;2;0;0;0;0;0
73;2526;2ieudkqygyu0aa32xvmgllc7o;vil-val;74mcjsm72vr3l9pw2i4qfjchj;ekm47qd8w1x0456lm1tmf5re1;Pape Alassane Gueye;Pape Gueye;P. Gueye;18;Midfielder;Left/Centre;8;26;0;1;0;1;0;58;1;0;0;0;0;30;1;8;0;2;0;1;1;2;0;0;1;0;1;0;0;0;0
73;2526;2ieudkqygyu0aa32xvmgllc7o;vil-val;74mcjsm72vr3l9pw2i4qfjchj;b5rea5r4h8bclpenau2au142x;Santiago Comesaña Veiga;Santi Comesaña;Santi Comesaña;14;Midfielder;Centre/Right;4;28;0;1;0;1;0;83;1;0;0;0;4;38;0;4;0;1;0;1;1;1;0;0;1;0;1;0;0;0;0
73;2526;2ieudkqygyu0aa32xvmgllc7o;vil-val;74mcjsm72vr3l9pw2i4qfjchj;3n9jnuteyjx6w6dxviuead0b9;Nicolas Pépé;Nicolas Pépé;N. Pépé;19;Midfielder;Right;7;20;0;1;0;1;0;83;1;0;0;0;0;26;2;7;0;1;1;0;0;1;0;2;1;3;0;0;0;0;0
73;2526;2ieudkqygyu0aa32xvmgllc7o;vil-val;74mcjsm72vr3l9pw2i4qfjchj;8bvn7mn5tjfj3l2bnpvm75gmi;Georges Mikautadze;Georges Mikautadze;G. Mikautadze;9;Striker;Left/Centre;9;8;0;1;0;1;0;90;1;0;0;0;0;13;1;9;2;2;0;0;0;0;1;2;0;0;0;0;0;0;0
