league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;lostCorners;minsPlayed;saves;totalClearance;totalPass;wasFouled;formationPlace;cornerTaken;fouls;goalAssist;totalTackle;totalThrows;wonCorners;wonTackle;yellowCard;blockedScoringAtt;goals;ontargetScoringAtt;shotOffTarget;totalScoringAtt;totalSubOff;totalSubOn
73;2526;2is2f0giwb65xpuanzsstcs2c;rso-ovi;63f5h8t5e9qm1fqmvfkb23ghh;w503zyr8ipyobglth281uklx;Alejandro Remiro Gargallo;Álex Remiro;Álex Remiro;1;Goalkeeper;Centre;1;32;1;6;3;1;90;3;1;39;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2is2f0giwb65xpuanzsstcs2c;rso-ovi;63f5h8t5e9qm1fqmvfkb23ghh;d4tdx2ctadv6kc3tbq4as8bmx;Sergio Gómez Martín;Sergio Gómez;Sergio Gómez;17;Defender;Left;3;44;1;0;3;1;90;0;4;53;0;3;1;2;1;2;14;2;1;1;0;0;0;0;0;0;0
73;2526;2is2f0giwb65xpuanzsstcs2c;rso-ovi;63f5h8t5e9qm1fqmvfkb23ghh;6gymgqxnu2zavuxgp6amm3zkl;Duje Ćaleta-Car;Duje Caleta-Car;D. Ćaleta-Car;16;Defender;Left/Centre;6;58;1;0;3;0;90;0;7;65;0;6;0;0;0;0;0;0;0;0;1;1;1;1;3;0;0
73;2526;2is2f0giwb65xpuanzsstcs2c;rso-ovi;63f5h8t5e9qm1fqmvfkb23ghh;8krgbfnydbtyongkwnsaj43kk;Jon Martín Vicente;Jon Martín;Jon Martín;31;Defender;Centre/Right;5;49;1;1;3;0;90;0;6;56;0;5;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0
73;2526;2is2f0giwb65xpuanzsstcs2c;rso-ovi;63f5h8t5e9qm1fqmvfkb23ghh;ezbplvktzcvzh5kwur32110mi;Jon Mikel Aramburu Mejías;Jon Aramburu;J. Aramburu;2;Defender;Right;2;23;1;0;2;1;53;0;1;27;0;2;0;1;0;2;5;1;2;0;0;0;0;0;0;1;0
73;2526;2is2f0giwb65xpuanzsstcs2c;rso-ovi;63f5h8t5e9qm1fqmvfkb23ghh;et849xmcdgsy5itb8i4w7qkq2;Beñat Turrientes Imaz;Beñat Turrientes;Beñat Turrientes;8;Defensive Midfielder;Left/Centre;4;21;1;0;0;0;45;0;1;24;1;4;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0
73;2526;2is2f0giwb65xpuanzsstcs2c;rso-ovi;63f5h8t5e9qm1fqmvfkb23ghh;706la37b8u3v3n6mqtbjs73mc;Jon Gorrotxategi Etxaniz;Jon Gorrotxategi;Jon Gorrotxategi;4;Defensive Midfielder;Centre/Right;8;46;1;0;2;1;77;0;2;49;1;8;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0
73;2526;2is2f0giwb65xpuanzsstcs2c;rso-ovi;63f5h8t5e9qm1fqmvfkb23ghh;7pmigpf4yfi6dfih8e1ogdwb9;Gonçalo Manuel Ganchinho Guedes;Gonçalo Manuel Ganchinho Guedes;Gonçalo Guedes;11;Attacking Midfielder;Left;11;24;1;0;3;0;90;0;0;30;2;11;0;0;1;1;0;1;1;0;1;0;0;1;2;0;0
73;2526;2is2f0giwb65xpuanzsstcs2c;rso-ovi;63f5h8t5e9qm1fqmvfkb23ghh;dvrk8qmt9ta4c3kvjgsad7t91;Brais Méndez Portela;Brais Méndez;Brais Méndez;23;Attacking Midfielder;Centre;10;37;1;0;3;0;90;0;1;47;3;10;4;4;0;4;0;1;1;1;0;0;1;0;1;0;0
73;2526;2is2f0giwb65xpuanzsstcs2c;rso-ovi;63f5h8t5e9qm1fqmvfkb23ghh;aka2yqxmqpioxc1qzkl62ejv8;Pablo Marín Tejada;Pablo Marín;Pablo Marín;15;Attacking Midfielder;Right;7;9;1;0;2;0;53;0;0;11;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
73;2526;2is2f0giwb65xpuanzsstcs2c;rso-ovi;63f5h8t5e9qm1fqmvfkb23ghh;b45ryclny991bm7qosieyg1cl;Mikel Oyarzabal Ugarte;Mikel Oyarzabal;Mikel Oyarzabal;10;Striker;Centre;9;32;1;0;3;1;90;0;0;43;2;9;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0
