league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;lostCorners;minsPlayed;saves;totalPass;formationPlace;fouls;goalAssist;shotOffTarget;totalClearance;totalScoringAtt;totalTackle;totalThrows;wonTackle;yellowCard;wonCorners;ontargetScoringAtt;wasFouled;blockedScoringAtt;cornerTaken;totalSubOff;goals;totalOffside;totalSubOn
73;2526;2j5gbrfdr52r652taci2oin84;ala-gir;4dtdjgnpdq9uw4sdutti0vaar;c7i0lduij4vsnluxisdnaxsk5;Antonio Sivera Salvá;Antonio Sivera;Antonio Sivera;1;Goalkeeper;Centre;1;12;1;4;2;1;90;3;22;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2j5gbrfdr52r652taci2oin84;ala-gir;4dtdjgnpdq9uw4sdutti0vaar;2ww626a9v31b072prdx0xf1g4;Youssef Enríquez Lekhedim;Youssef Enríquez;Y. Enríquez;3;Defender;Left;3;33;1;0;2;0;90;0;39;3;2;1;1;4;1;2;5;2;1;0;0;0;0;0;0;0;0;0
73;2526;2j5gbrfdr52r652taci2oin84;ala-gir;4dtdjgnpdq9uw4sdutti0vaar;6azcxbumsgd8es7mcd9b3t94a;Víctor Parada González;Victor Parada;Víctor Parada;24;Defender;Left/Centre;6;41;1;0;2;0;90;0;43;6;2;1;0;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0
73;2526;2j5gbrfdr52r652taci2oin84;ala-gir;4dtdjgnpdq9uw4sdutti0vaar;9tw6rz3lfmn06fzsabtx9ei95;Facundo Nahuel Tenaglia;Nahuel Tenaglia;N. Tenaglia;14;Defender;Centre/Right;5;43;1;0;2;3;90;0;47;5;0;0;0;7;2;1;0;0;0;0;2;0;0;0;0;0;0;0
73;2526;2j5gbrfdr52r652taci2oin84;ala-gir;4dtdjgnpdq9uw4sdutti0vaar;7wzwqegxhekjwq361dd2nidp1;Jonathan Castro Otto;Jonathan Castro Otto;Jonny;17;Defender;Right;2;45;1;0;2;0;90;0;53;2;3;0;0;0;0;4;12;2;0;0;0;2;0;0;0;0;0;0
73;2526;2j5gbrfdr52r652taci2oin84;ala-gir;4dtdjgnpdq9uw4sdutti0vaar;eiqt71z69beq7akuhot0foset;Carles Aleña Castillo;Carles Aleñá;Carles Aleñá;10;Midfielder;Left;11;23;1;0;2;1;88;0;30;11;0;0;1;0;2;2;0;0;0;2;0;0;1;7;1;0;0;0
73;2526;2j5gbrfdr52r652taci2oin84;ala-gir;4dtdjgnpdq9uw4sdutti0vaar;4zve4017u2i3zvxlnjruv25t5;Antonio Blanco Conde;Antonio Blanco;Antonio Blanco;8;Midfielder;Left/Centre;8;37;1;0;2;0;88;0;43;8;3;0;0;0;1;3;0;2;0;0;1;1;0;0;1;0;0;0
73;2526;2j5gbrfdr52r652taci2oin84;ala-gir;4dtdjgnpdq9uw4sdutti0vaar;eqw6fu3no9qxejk17tqgeey5m;Pablo Ibáñez Lumbreras;Pablo Ibáñez;Pablo Ibáñez;19;Midfielder;Centre/Right;4;33;1;0;2;0;76;0;40;4;0;0;1;1;3;2;0;1;0;1;1;0;1;0;1;0;0;0
73;2526;2j5gbrfdr52r652taci2oin84;ala-gir;4dtdjgnpdq9uw4sdutti0vaar;350ehsdbvwysbfxgeian91rf8;Ángel Pérez Hidalgo;Ángel Pérez;Ángel Pérez;7;Midfielder;Right;7;24;1;0;2;0;76;0;32;7;0;0;1;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0
73;2526;2j5gbrfdr52r652taci2oin84;ala-gir;4dtdjgnpdq9uw4sdutti0vaar;9ivrglgy0tibv881e1a93psr9;Lucas Ariel Boyé;Lucas Boyé;L. Boyé;15;Striker;Left/Centre;9;8;1;0;2;1;90;0;13;9;2;0;1;0;4;1;0;1;0;1;2;1;1;0;0;2;0;0
73;2526;2j5gbrfdr52r652taci2oin84;ala-gir;4dtdjgnpdq9uw4sdutti0vaar;1nd8l0ofw9x779c0ufwbbo4ph;Antonio Martínez López;Toni Martínez;Toni Martínez;11;Striker;Centre/Right;10;9;1;0;2;0;90;0;20;10;3;0;3;0;3;1;0;1;1;2;0;1;0;0;0;0;1;0
73;2526;2j5gbrfdr52r652taci2oin84;ala-gir;4dtdjgnpdq9uw4sdutti0vaar;evyeubmelkx90xby5p9i38woa;Calebe Gonçalves Ferreira da Silva;Calebe Gonçalves Ferreira da Silva;Calebe;20;Substitute;Midfielder;0;7;0;0;0;0;14;0;8;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
73;2526;2j5gbrfdr52r652taci2oin84;ala-gir;4dtdjgnpdq9uw4sdutti0vaar;cme92rbmqszu51sjm99ho8a21;Ander Guevara Lajo;Ander Guevara;Ander Guevara;6;Substitute;Midfielder;0;8;0;0;0;0;2;0;8;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
73;2526;2j5gbrfdr52r652taci2oin84;ala-gir;4dtdjgnpdq9uw4sdutti0vaar;9nqvf6si8k5u91rjslfvgc650;Aitor Mañas Buenadicha;Aitor Mañas;Aitor Mañas;34;Substitute;Attacker;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;1
73;2526;2j5gbrfdr52r652taci2oin84;ala-gir;4dtdjgnpdq9uw4sdutti0vaar;28psc296gj3umo59qqha8jil1;Denis Suárez Fernández;Denis Suárez;Denis Suárez;4;Substitute;Midfielder;0;12;0;0;0;0;14;0;14;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1
73;2526;2j5gbrfdr52r652taci2oin84;ala-gir;7h7eg7q7dbwvzww78h9d5eh0h;eavhyxb9dfjh0jp5yzg8p8udx;Paulo Dino Gazzaniga Farias;Paulo Gazzaniga;P. Gazzaniga;13;Goalkeeper;Centre;1;22;1;9;2;0;90;4;34;1;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0
73;2526;2j5gbrfdr52r652taci2oin84;ala-gir;7h7eg7q7dbwvzww78h9d5eh0h;2nq5nzq35tfwc7po29dtwqp78;Arnau Martínez López;Arnau Martínez;Arnau Martínez;4;Defender;Left;3;34;1;0;2;0;90;0;42;3;0;0;0;2;0;1;5;1;0;0;0;0;0;0;0;0;0;0
73;2526;2j5gbrfdr52r652taci2oin84;ala-gir;7h7eg7q7dbwvzww78h9d5eh0h;3kx4mltrob4yta5g6kr2u8ic5;Daley Blind;Daley Blind;D. Blind;17;Defender;Left/Centre;6;77;1;2;2;4;90;0;90;6;0;0;0;5;0;2;0;2;0;0;0;2;0;0;0;0;0;0
73;2526;2j5gbrfdr52r652taci2oin84;ala-gir;7h7eg7q7dbwvzww78h9d5eh0h;bh4p6egq7e7htivuu0qdjqiac;Vitor de Oliveira Nunes dos Reis;Vitor de Oliveira Nunes dos Reis;Vitor Reis;12;Defender;Centre/Right;5;38;1;0;2;1;90;0;45;5;1;0;0;7;1;3;0;3;0;1;0;0;1;0;0;0;0;0
73;2526;2j5gbrfdr52r652taci2oin84;ala-gir;7h7eg7q7dbwvzww78h9d5eh0h;eku9q64i0rwdxytris5ahfyms;Hugo Rincón Lumbreras;Hugo Rincón;Hugo Rincón;2;Defender;Right;2;41;1;0;2;0;90;0;50;2;0;0;0;2;0;2;11;1;0;1;0;2;0;0;0;0;0;0
73;2526;2j5gbrfdr52r652taci2oin84;ala-gir;7h7eg7q7dbwvzww78h9d5eh0h;cjd62gwj9ptwrrtu6y6xnpeui;Bryan Gil Salvatierra;Bryan Gil;Bryan Gil;21;Midfielder;Left;11;35;1;0;1;0;84;0;39;11;1;0;0;2;0;1;2;1;0;2;0;2;0;0;1;0;0;0
73;2526;2j5gbrfdr52r652taci2oin84;ala-gir;7h7eg7q7dbwvzww78h9d5eh0h;9um7x9zd0e000zt57l3yearqh;Iván Martín Núñez;Iván Martín;Iván Martín;23;Midfielder;Left/Centre;8;36;1;0;1;1;61;0;41;8;0;0;0;0;1;1;0;1;0;0;1;1;0;0;1;0;0;0
73;2526;2j5gbrfdr52r652taci2oin84;ala-gir;7h7eg7q7dbwvzww78h9d5eh0h;59234as8h70fejyfm7492np3p;Axel Laurent Angel Lambert Witsel;Axel Witsel;A. Witsel;20;Midfielder;Centre;10;60;1;0;2;0;90;0;66;10;2;1;1;1;2;1;0;0;0;0;1;2;0;0;0;0;0;0
73;2526;2j5gbrfdr52r652taci2oin84;ala-gir;7h7eg7q7dbwvzww78h9d5eh0h;ejcyvgclry4g5pc2rtptifphx;Thomas Benoît Lemar;Thomas Lemar;T. Lemar;11;Midfielder;Centre/Right;4;22;1;0;1;0;61;0;26;4;0;0;0;0;1;2;0;2;0;1;0;2;1;1;1;0;0;0
73;2526;2j5gbrfdr52r652taci2oin84;ala-gir;7h7eg7q7dbwvzww78h9d5eh0h;3auwtiburdxrp2i5me2d97f11;Viktor Tsygankov;Viktor Tsygankov;V. Tsygankov;15;Midfielder;Right;7;26;1;0;1;0;84;0;31;7;0;0;0;1;2;0;1;0;0;0;1;3;1;5;1;1;0;0
73;2526;2j5gbrfdr52r652taci2oin84;ala-gir;7h7eg7q7dbwvzww78h9d5eh0h;32ofi0z0euiqvxt5jk8o1uzxm;Vladyslav Vanat;Vladyslav Vanat;V. Vanat;19;Striker;Centre;9;10;1;0;1;0;68;0;11;9;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0
73;2526;2j5gbrfdr52r652taci2oin84;ala-gir;7h7eg7q7dbwvzww78h9d5eh0h;e3czx0nsuw10acnftbr8ud0bt;Francisco José Beltrán Peinado;Fran Beltrán;Fran Beltrán;8;Substitute;Midfielder;0;25;0;0;1;1;29;0;27;0;0;0;0;2;0;1;0;1;1;0;0;1;0;0;0;0;0;1
73;2526;2j5gbrfdr52r652taci2oin84;ala-gir;7h7eg7q7dbwvzww78h9d5eh0h;b3sexumsdp9m96rkp5da0r47o;Claudio Candelmo Jeremías Echeverri;Claudio Echeverri;C. Echeverri;14;Substitute;Midfielder;0;11;0;0;1;0;29;0;13;0;1;0;0;0;0;2;0;2;1;0;0;0;0;0;0;0;0;1
73;2526;2j5gbrfdr52r652taci2oin84;ala-gir;7h7eg7q7dbwvzww78h9d5eh0h;8nxr373i7g1m2ch2lk6k03ckq;Alejandro Francés Torrijo;Alejandro Francés;Alejandro Francés;16;Substitute;Defender;0;3;0;0;1;0;6;0;5;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1
73;2526;2j5gbrfdr52r652taci2oin84;ala-gir;7h7eg7q7dbwvzww78h9d5eh0h;41jb0ts5688xz8ell62rybm22;Azzedine Ounahi;Azzedine Ounahi;A. Ounahi;18;Substitute;Midfielder;0;18;0;0;1;0;22;0;19;0;0;1;0;0;2;1;0;1;0;1;1;1;1;0;0;0;0;1
73;2526;2j5gbrfdr52r652taci2oin84;ala-gir;7h7eg7q7dbwvzww78h9d5eh0h;6navc0x6p4yqy76zyo3zocwr9;Cristhian Ricardo Stuani Curbelo;Cristhian Stuani;C. Stuani;7;Substitute;Attacker;0;1;0;0;1;0;6;0;3;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
