league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;minsPlayed;penGoalsConceded;penaltyFaced;saves;totalPass;formationPlace;goalAssist;lostCorners;totalClearance;totalTackle;totalThrows;wasFouled;wonCorners;blockedScoringAtt;fouls;penaltyWon;totalScoringAtt;wonTackle;penaltyConceded;totalSubOff;yellowCard;ontargetScoringAtt;cornerTaken;shotOffTarget;totalOffside;goals;totalSubOn;redCard
73;2526;2jiyipev8f7wvnf4rp16n8n4k;ath-elc;3czravw89omgc9o4s0w3l1bg5;4vlurpsi44g09g159t61u83bp;Unai Simón Mendibil;Unai Simón;Unai Simón;1;Goalkeeper;Centre;1;18;1;1;1;90;1;1;1;29;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2jiyipev8f7wvnf4rp16n8n4k;ath-elc;3czravw89omgc9o4s0w3l1bg5;8hm6d6395johhjsoe8jz6dcyd;Yuri Berchiche Izeta;Yuri Berchiche;Yuri;17;Defender;Left;3;42;1;0;1;90;1;0;0;46;3;1;1;3;2;9;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2jiyipev8f7wvnf4rp16n8n4k;ath-elc;3czravw89omgc9o4s0w3l1bg5;7fmpgkx58o9pivo2bbnxxkt05;Aymeric Jean Louis Gérard Alphonse Laporte;Aymeric Laporte;Aymeric Laporte;14;Defender;Left/Centre;6;30;1;0;1;90;1;0;0;38;6;0;0;9;3;0;1;0;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0
73;2526;2jiyipev8f7wvnf4rp16n8n4k;ath-elc;3czravw89omgc9o4s0w3l1bg5;9d5h5wxf44qu4fw3jk2pgis16;Daniel Vivian Moreno;Dani Vivian;Dani Vivian;3;Defender;Centre/Right;5;28;1;0;1;90;1;0;0;33;5;0;0;3;4;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0
73;2526;2jiyipev8f7wvnf4rp16n8n4k;ath-elc;3czravw89omgc9o4s0w3l1bg5;v7isqpxiursyjhj5rmhyhjv9;Íñigo Lekue Martínez;Íñigo Lekue;Íñigo Lekue;15;Defender;Right;2;24;1;0;1;80;1;0;0;31;2;0;0;0;1;6;0;0;0;4;0;0;0;1;1;1;0;0;0;0;0;0;0
73;2526;2jiyipev8f7wvnf4rp16n8n4k;ath-elc;3czravw89omgc9o4s0w3l1bg5;1xsrdgt40nb6p9qvt6mf272fo;Alejandro Rego Mora;Alejandro Rego;Alejandro Rego;30;Defensive Midfielder;Left/Centre;4;14;1;0;1;70;1;0;0;17;4;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0
73;2526;2jiyipev8f7wvnf4rp16n8n4k;ath-elc;3czravw89omgc9o4s0w3l1bg5;7ubtan6a51o79w469zawrqqqd;Íñigo Ruíz de Galarreta Etxeberria;Íñigo Ruíz de Galarreta;Íñigo Ruíz de Galarreta;16;Defensive Midfielder;Centre/Right;8;30;1;0;1;90;1;0;0;43;8;0;0;1;2;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
73;2526;2jiyipev8f7wvnf4rp16n8n4k;ath-elc;3czravw89omgc9o4s0w3l1bg5;ddvvwqxpsqqboupi3gx1ijhed;Iñaki Williams Arthuer;Iñaki Williams;I. Williams;9;Attacking Midfielder;Left;11;8;1;0;1;80;1;0;0;12;11;0;0;0;1;0;1;1;1;0;0;3;1;0;1;0;1;0;1;0;0;0;0
73;2526;2jiyipev8f7wvnf4rp16n8n4k;ath-elc;3czravw89omgc9o4s0w3l1bg5;dfcbvsb7o18lavmonbp5ucwoa;Oihan Sancet Tirapu;Oihan Sancet;Oihan Sancet;8;Attacking Midfielder;Centre;10;15;1;0;1;75;1;0;0;20;10;0;0;1;1;0;2;1;2;2;0;5;0;0;1;0;2;0;1;0;0;0;0
73;2526;2jiyipev8f7wvnf4rp16n8n4k;ath-elc;3czravw89omgc9o4s0w3l1bg5;b2rqgjegzeyq6wy6qu63zz2fo;Unai Gómez Etxebarria;Unai Gómez;Unai Gómez;20;Attacking Midfielder;Right;7;10;1;0;1;70;1;0;0;15;7;0;0;0;1;0;0;0;0;4;0;1;0;0;1;1;0;2;1;2;0;0;0
