league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;minsPlayed;totalPass;formationPlace;goalAssist;shotOffTarget;totalScoringAtt;totalTackle;totalThrows;wonTackle;blockedScoringAtt;fouls;lostCorners;ontargetScoringAtt;totalClearance;wasFouled;totalSubOff;goals;wonCorners;cornerTaken;totalSubOn;saves;totalOffside;yellowCard
73;2526;2jwf7cpzm72lrajndbtk03das;atm-esp;4ku8o6uf87yd8iecdalipo6wd;2yt9oajv9dkbju8tgy1g2nmqd;Jan Oblak;Jan Oblak;J. Oblak;13;Goalkeeper;Centre;1;17;1;4;2;90;24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2jwf7cpzm72lrajndbtk03das;atm-esp;4ku8o6uf87yd8iecdalipo6wd;7mvqysbmyf6uj3jny3qpqw2ga;Matteo Ruggeri;Matteo Ruggeri;M. Ruggeri;3;Defender;Left;3;54;1;0;2;90;61;3;2;1;1;1;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2jwf7cpzm72lrajndbtk03das;atm-esp;4ku8o6uf87yd8iecdalipo6wd;1vyh50nfaq2kq5pmivpkc1psl;Dávid Hancko;Dávid Hancko;D. Hancko;17;Defender;Left/Centre;6;85;1;0;2;90;88;6;0;0;2;0;0;0;1;1;1;1;6;0;0;0;0;0;0;0;0;0
73;2526;2jwf7cpzm72lrajndbtk03das;atm-esp;4ku8o6uf87yd8iecdalipo6wd;d0kzduhj90areaill2gvvw6xg;Marc Pubill Pagès;Marc Pubill;Marc Pubill;18;Defender;Centre/Right;5;86;1;0;2;90;98;5;0;0;0;0;2;0;0;0;0;0;13;1;0;0;0;0;0;0;0;0
73;2526;2jwf7cpzm72lrajndbtk03das;atm-esp;4ku8o6uf87yd8iecdalipo6wd;amxunh6enoc99r07cp7qt621h;Marcos Llorente Moreno;Marcos Llorente;Marcos Llorente;14;Defender;Right;2;56;1;0;1;74;64;2;1;0;0;0;5;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0
73;2526;2jwf7cpzm72lrajndbtk03das;atm-esp;4ku8o6uf87yd8iecdalipo6wd;8d04q3yp2kouwog0lj0s7ew2x;Ademola Olajade Alade Aylola Lookman;Ademola Lookman;A. Lookman;22;Midfielder;Left;11;11;1;0;1;61;13;11;0;1;3;0;0;0;1;1;0;1;0;0;1;1;1;0;0;0;0;0
73;2526;2jwf7cpzm72lrajndbtk03das;atm-esp;4ku8o6uf87yd8iecdalipo6wd;5zoz3mjooujpv0wdcphyrztd6;Alejandro Baena Rodríguez;Álex Baena;Álex Baena;10;Midfielder;Left/Centre;8;26;1;0;1;61;32;8;1;2;2;0;0;0;0;0;0;0;0;2;1;0;0;2;0;0;0;0
73;2526;2jwf7cpzm72lrajndbtk03das;atm-esp;4ku8o6uf87yd8iecdalipo6wd;3ub05nnpt9o7s387z6oj8vf56;João Lucas de Souza Cardoso;Johnny Cardoso;J. Cardoso;5;Midfielder;Centre/Right;4;56;1;0;2;90;65;4;0;0;0;5;0;5;0;2;0;0;2;2;0;0;0;0;0;0;0;0
73;2526;2jwf7cpzm72lrajndbtk03das;atm-esp;4ku8o6uf87yd8iecdalipo6wd;5es43b4a7fv0lkmp63dj439ey;Giuliano Simeone Baldini;Giuliano Simeone;G. Simeone;20;Midfielder;Right;7;47;1;0;2;84;60;7;0;0;1;1;1;0;0;1;0;1;1;1;1;1;1;0;0;0;0;0
73;2526;2jwf7cpzm72lrajndbtk03das;atm-esp;4ku8o6uf87yd8iecdalipo6wd;6akzpi6rd6qq0ke07ojnhpoet;Alexander Sørloth;Alexander Sørloth;A. Sørloth;9;Striker;Left/Centre;9;26;1;0;2;90;31;9;0;1;4;0;0;0;1;0;0;2;2;1;0;2;1;0;0;0;0;0
73;2526;2jwf7cpzm72lrajndbtk03das;atm-esp;4ku8o6uf87yd8iecdalipo6wd;716n1970vi9rvw5b4w9qmjfth;Antoine Griezmann;Antoine Griezmann;A. Griezmann;7;Striker;Centre/Right;10;43;1;0;1;74;52;10;0;1;4;1;1;0;0;1;0;3;0;0;1;0;1;2;0;0;0;0
