league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;cleanSheet;gameStarted;goalKicks;lostCorners;minsPlayed;saves;totalClearance;totalPass;formationPlace;blockedScoringAtt;fouls;goalAssist;shotOffTarget;totalScoringAtt;totalTackle;totalThrows;wasFouled;wonCorners;wonTackle;totalSubOff;yellowCard;goals;ontargetScoringAtt;cornerTaken;totalOffside;totalSubOn;goalsConceded
73;2526;2k9uw8chd5ol6b9rrw5ftnc44;bar-lev;agh9ifb2mw3ivjusgedj7c3fe;5f8kjgsaabn2li5r7bvpebbsa;Joan García Pons;Joan García;Joan García;13;Goalkeeper;Centre;1;19;1;1;2;1;90;2;1;19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2k9uw8chd5ol6b9rrw5ftnc44;bar-lev;agh9ifb2mw3ivjusgedj7c3fe;29pq64smaxdwlraopnxoleqxh;João Pedro Cavaco Cancelo;João Pedro Cavaco Cancelo;João Cancelo;2;Defender;Left;3;63;1;1;0;1;90;0;2;69;3;1;2;1;1;2;1;7;1;1;1;0;0;0;0;0;0;0;0
73;2526;2k9uw8chd5ol6b9rrw5ftnc44;bar-lev;agh9ifb2mw3ivjusgedj7c3fe;6l1y87tlepsvr83d8y2qifeqy;Gerard Martín Langreo;Gerard Martín;Gerard Martín;18;Defender;Left/Centre;6;62;0;1;0;0;88;0;5;67;6;0;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
73;2526;2k9uw8chd5ol6b9rrw5ftnc44;bar-lev;agh9ifb2mw3ivjusgedj7c3fe;4ggz7e009bq3yltc9o6mifbah;Eric García Martret;Eric García;Eric García;24;Defender;Centre/Right;5;118;1;1;0;1;90;0;4;120;5;1;0;1;1;2;0;1;1;1;0;0;0;0;0;0;0;0;0
73;2526;2k9uw8chd5ol6b9rrw5ftnc44;bar-lev;agh9ifb2mw3ivjusgedj7c3fe;cscn06kwqfzo09h0dc5ybt1pl;Jules Olivier Koundé;Jules Koundé;J. Koundé;23;Defender;Right;2;99;1;1;0;2;90;0;2;103;2;0;1;0;1;1;2;5;0;2;1;0;0;0;0;0;0;0;0
73;2526;2k9uw8chd5ol6b9rrw5ftnc44;bar-lev;agh9ifb2mw3ivjusgedj7c3fe;ezviixcyaaj162saxs2yl27s9;Frenkie de Jong;Frenkie de Jong;F. de Jong;21;Defensive Midfielder;Left/Centre;4;114;1;1;0;0;90;0;0;117;4;0;0;0;0;1;3;0;1;0;0;0;0;1;1;0;0;0;0
73;2526;2k9uw8chd5ol6b9rrw5ftnc44;bar-lev;agh9ifb2mw3ivjusgedj7c3fe;4et6r42e7q2ojgaumwnua2kgk;Marc Bernal Casas;Marc Bernal;Marc Bernal;22;Defensive Midfielder;Centre/Right;8;46;0;1;0;1;66;0;2;46;8;0;3;0;0;1;3;0;2;0;2;1;1;1;1;0;0;0;0
73;2526;2k9uw8chd5ol6b9rrw5ftnc44;bar-lev;agh9ifb2mw3ivjusgedj7c3fe;2wl6h1rlrfnn2mr65vuo3t815;Raphael Dias Belloli;Raphael Dias Belloli;Raphinha;11;Attacking Midfielder;Left;11;41;1;1;0;0;90;0;1;45;11;2;0;0;1;5;0;0;1;5;0;0;0;0;2;5;1;0;0
73;2526;2k9uw8chd5ol6b9rrw5ftnc44;bar-lev;agh9ifb2mw3ivjusgedj7c3fe;4gq1u1mqg0qzekh1u5djleeax;Daniel Olmo Carvajal;Dani Olmo;Dani Olmo;20;Attacking Midfielder;Centre;10;30;0;1;0;0;66;0;0;36;10;0;1;0;0;1;0;0;1;0;0;1;0;0;1;4;0;0;0
73;2526;2k9uw8chd5ol6b9rrw5ftnc44;bar-lev;agh9ifb2mw3ivjusgedj7c3fe;abr79wsl0folgkyvl821ggs2c;Lamine Yamal Nasraoui Ebana;Lamine Yamal Nasraoui Ebana;Lamine Yamal;10;Attacking Midfielder;Right;7;60;0;1;0;0;88;0;0;65;7;0;2;1;3;3;1;2;2;3;1;1;0;0;0;3;1;0;0
