league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;minsPlayed;saves;totalClearance;totalPass;formationPlace;fouls;lostCorners;totalSubOff;totalTackle;totalThrows;wonTackle;wasFouled;yellowCard;blockedScoringAtt;totalScoringAtt;wonCorners;cornerTaken;ontargetScoringAtt;shotOffTarget;goals;totalSubOn;totalOffside;goalAssist
73;2526;2kn874mea28rs8m0s333xmp78;bet-ray;ah8dala7suqqkj04n2l8xz4zd;routhh0ialijcg3egagouig9;Álvaro Valles Rosa;Álvaro Valles;Álvaro Valles;1;Goalkeeper;Centre;1;27;1;6;1;90;2;2;35;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2kn874mea28rs8m0s333xmp78;bet-ray;ah8dala7suqqkj04n2l8xz4zd;9ak3zczupeken1itsmkherbh1;Ricardo Iván Rodríguez Araya;Ricardo Rodríguez;R. Rodríguez;12;Defender;Left;3;19;1;0;1;70;0;0;27;3;2;1;1;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2kn874mea28rs8m0s333xmp78;bet-ray;ah8dala7suqqkj04n2l8xz4zd;2r4450bqkmpcf1ogmcfhvczmy;Natan Bernardo de Souza;Natan Bernardo de Souza;Natan;4;Defender;Left/Centre;6;41;1;2;1;90;0;6;47;6;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2kn874mea28rs8m0s333xmp78;bet-ray;ah8dala7suqqkj04n2l8xz4zd;9ao7l82r1xd2rjnvv5u6plcr9;Diego Javier Llorente Ríos;Diego Llorente;Diego Llorente;3;Defender;Centre/Right;5;21;1;1;1;90;0;3;23;5;2;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0
73;2526;2kn874mea28rs8m0s333xmp78;bet-ray;ah8dala7suqqkj04n2l8xz4zd;9226xt1t1m3fy4ob9l2r16609;Aitor Ruibal García;Aitor Ruibal;Aitor Ruibal;24;Defender;Right;2;18;1;0;1;69;0;2;20;2;0;1;1;3;7;3;1;0;0;0;0;0;0;0;0;0;0;0
73;2526;2kn874mea28rs8m0s333xmp78;bet-ray;ah8dala7suqqkj04n2l8xz4zd;733ho2s9aqwwxzbqfiia3b7bp;Álvaro Fidalgo Fernández;Álvaro Fidalgo;Álvaro Fidalgo;15;Midfielder;Left/Centre;8;36;1;0;1;75;0;1;37;8;1;0;1;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0
73;2526;2kn874mea28rs8m0s333xmp78;bet-ray;ah8dala7suqqkj04n2l8xz4zd;4r6jcuotjs6rz8iwu20996z85;Marc Roca Junqué;Marc Roca;Marc Roca;21;Midfielder;Centre;4;40;1;0;1;90;0;1;44;4;2;0;0;0;0;0;2;0;1;1;1;0;0;0;0;0;0;0
73;2526;2kn874mea28rs8m0s333xmp78;bet-ray;ah8dala7suqqkj04n2l8xz4zd;6aix9yu384pv1caanqiol231l;Pablo Fornals Malla;Pablo Fornals;Pablo Fornals;8;Midfielder;Centre/Right;7;24;1;0;1;61;0;0;27;7;2;0;1;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0
73;2526;2kn874mea28rs8m0s333xmp78;bet-ray;ah8dala7suqqkj04n2l8xz4zd;96cbv23es0gucmd2v0qvk3iwa;Abdessamad Ezzalzouli;Abde Ezzalzouli;A. Ezzalzouli;10;Striker;Left/Centre;11;26;1;0;1;90;0;0;30;11;0;0;0;1;0;1;2;0;0;3;0;0;1;2;0;0;0;0
73;2526;2kn874mea28rs8m0s333xmp78;bet-ray;ah8dala7suqqkj04n2l8xz4zd;a68fosxpgtyxj64ex9f6nget;Cédric Bakambu;Cédric Bakambu;C. Bakambu;11;Striker;Centre;9;13;1;0;1;45;0;1;14;9;2;0;1;0;0;0;1;0;0;2;0;0;1;1;1;0;0;0
73;2526;2kn874mea28rs8m0s333xmp78;bet-ray;ah8dala7suqqkj04n2l8xz4zd;v22q59d00b5v78rgx7v8z3vu;Antony Matheus dos Santos;Antony Matheus dos Santos;Antony;7;Striker;Centre/Right;10;28;1;0;1;90;0;1;35;10;0;0;0;0;0;0;2;0;4;6;1;0;1;1;0;0;0;0
73;2526;2kn874mea28rs8m0s333xmp78;bet-ray;ah8dala7suqqkj04n2l8xz4zd;72pvwj4z6j8xwsgs6zlhr5e6s;Nelson Alexander Deossa Suárez;Nelson Deossa;N. Deossa;18;Substitute;Midfielder;0;14;0;0;0;15;0;0;15;0;1;0;0;2;1;2;1;1;0;0;0;0;0;0;0;1;0;0
73;2526;2kn874mea28rs8m0s333xmp78;bet-ray;ah8dala7suqqkj04n2l8xz4zd;79u84y1eb01yyp8mhpej75q1g;Diego Valentín Gómez;Valentín Gómez;V. Gómez;16;Substitute;Defender;0;13;0;0;0;20;0;1;15;0;1;2;0;1;2;1;0;1;0;0;0;0;0;0;0;1;0;0
