league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;cleanSheet;gameStarted;goalKicks;minsPlayed;totalClearance;totalPass;formationPlace;fouls;ontargetScoringAtt;shotOffTarget;totalScoringAtt;wasFouled;lostCorners;totalTackle;wonTackle;totalThrows;blockedScoringAtt;wonCorners;totalSubOff;cornerTaken;goals;totalSubOn;penaltyWon;yellowCard;goalAssist;goalsConceded;penGoalsConceded;penaltyFaced;saves;penaltyConceded
73;2526;2l0hlraqbbo3sgfhtv0iaa49g;cel-mll;6f27yvbqcngegwsg2ozxxdj4;6wplm29z7qxxmujyc2ml19gix;Ionuț Andrei Radu;Ionut Radu;I. Radu;13;Goalkeeper;Centre;1;12;1;1;4;90;1;16;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2l0hlraqbbo3sgfhtv0iaa49g;cel-mll;6f27yvbqcngegwsg2ozxxdj4;9i7lb16qty1t21bnc5h7skclx;Marcos Alonso Mendoza;Marcos Alonso;Marcos Alonso;20;Defender;Left/Centre;4;80;1;1;0;90;1;85;4;1;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2l0hlraqbbo3sgfhtv0iaa49g;cel-mll;6f27yvbqcngegwsg2ozxxdj4;3qrk8nw6nc8o96n7jr1az21ux;Joseph Aidoo;Joseph Aidoo;J. Aidoo;4;Defender;Centre;5;63;1;1;0;90;6;65;5;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2l0hlraqbbo3sgfhtv0iaa49g;cel-mll;6f27yvbqcngegwsg2ozxxdj4;79n0dyjagmleor1fpwl25qql0;Javier Rodríguez Galiano;Javi Rodríguez;Javi Rodríguez;32;Defender;Centre/Right;6;65;1;1;0;90;6;71;6;0;0;0;0;3;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2l0hlraqbbo3sgfhtv0iaa49g;cel-mll;6f27yvbqcngegwsg2ozxxdj4;daid84a2zbh8rasleahdp8nis;Hugo Álvarez Antúnez;Hugo Álvarez;Hugo Álvarez;23;Midfielder;Left;3;48;1;1;0;90;0;50;3;2;0;0;1;1;0;0;0;9;1;1;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2l0hlraqbbo3sgfhtv0iaa49g;cel-mll;6f27yvbqcngegwsg2ozxxdj4;9462218yklkts6mod3cbfryz9;Matías Vecino Falero;Matías Vecino;M. Vecino;15;Midfielder;Left/Centre;8;30;0;1;0;69;0;40;8;2;0;1;2;0;0;3;3;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
73;2526;2l0hlraqbbo3sgfhtv0iaa49g;cel-mll;6f27yvbqcngegwsg2ozxxdj4;a39ntr1ek9aavke18yucd0r2s;Miguel Román González;Miguel Román;Miguel Román;16;Midfielder;Centre/Right;7;49;1;1;0;90;0;55;7;0;0;0;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0
73;2526;2l0hlraqbbo3sgfhtv0iaa49g;cel-mll;6f27yvbqcngegwsg2ozxxdj4;75xbiozismh96vufhrhkng4mi;Javier Rueda García;Javi Rueda;Javi Rueda;17;Midfielder;Right;2;22;0;1;0;79;3;27;2;1;0;1;2;1;0;1;0;6;1;0;1;0;0;0;0;0;0;0;0;0;0;0
73;2526;2l0hlraqbbo3sgfhtv0iaa49g;cel-mll;6f27yvbqcngegwsg2ozxxdj4;9ksvo095xi2t4q4pvgxa836z8;Pablo Durán Fernández;Pablo Durán;Pablo Durán;18;Striker;Left/Centre;11;9;0;1;0;44;0;16;11;0;1;0;2;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
73;2526;2l0hlraqbbo3sgfhtv0iaa49g;cel-mll;6f27yvbqcngegwsg2ozxxdj4;9mlj7fxon5zy1qmktvvcwjrl6;Ferran Jutglà Blanch;Ferran Jutglà;Ferran Jutglà;9;Striker;Centre;9;10;0;1;0;68;1;15;9;2;0;1;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
73;2526;2l0hlraqbbo3sgfhtv0iaa49g;cel-mll;6f27yvbqcngegwsg2ozxxdj4;9g4ojrys88awchyj6zgmd6oes;Fernando López González;Fer López;Fer López;8;Striker;Centre/Right;10;25;0;1;0;69;0;31;10;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
73;2526;2l0hlraqbbo3sgfhtv0iaa49g;cel-mll;6f27yvbqcngegwsg2ozxxdj4;cs2yx3hiqjsb4i5ul2r5kmdat;Iago Aspas Juncal;Iago Aspas;Iago Aspas;10;Substitute;Attacker;0;9;0;0;0;21;1;14;0;0;2;0;3;0;0;0;0;1;1;0;0;3;2;1;0;0;0;0;0;0;0;0
73;2526;2l0hlraqbbo3sgfhtv0iaa49g;cel-mll;6f27yvbqcngegwsg2ozxxdj4;530jf9kq6s7dqggz6how0lt04;Jones El Abdellaoui;Jones El Abdellaoui;J. El Abdellaoui;39;Substitute;Attacker;0;3;0;0;0;11;0;4;0;0;1;2;3;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
73;2526;2l0hlraqbbo3sgfhtv0iaa49g;cel-mll;6f27yvbqcngegwsg2ozxxdj4;d12m2oz1lomkc1qxmpht38lat;Borja Iglesias Quintás;Borja Iglesias;Borja Iglesias;7;Substitute;Attacker;0;2;0;0;0;22;0;5;0;1;2;0;2;1;0;1;1;0;0;2;0;0;0;1;1;1;0;0;0;0;0;0
73;2526;2l0hlraqbbo3sgfhtv0iaa49g;cel-mll;6f27yvbqcngegwsg2ozxxdj4;64ctdbd0w5ikj0fkcuu9jdbhm;Moriba Kourouma Kourouma;Moriba Kourouma Kourouma;I. Moriba;6;Substitute;Midfielder;0;14;0;0;0;21;0;15;0;0;0;0;0;1;0;2;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
73;2526;2l0hlraqbbo3sgfhtv0iaa49g;cel-mll;6f27yvbqcngegwsg2ozxxdj4;e91yegwfliqhfy9yyk19otafo;Williot Theo Swedberg;Williot Swedberg;W. Swedberg;19;Substitute;Midfielder;0;9;0;0;0;46;1;13;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0
73;2526;2l0hlraqbbo3sgfhtv0iaa49g;cel-mll;50x1m4u58lffhq6v6ga1hbxmy;5qh2kdatvb03o8oiqvkaaxje2;Leonardo Román Riquelme;Leo Román;Leo Román;1;Goalkeeper;Centre;1;28;0;1;7;90;3;46;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;4;0
73;2526;2l0hlraqbbo3sgfhtv0iaa49g;cel-mll;50x1m4u58lffhq6v6ga1hbxmy;f1e3gi3dx3er2vz7loriw6e39;Antonio Latorre Grueso;Antonio Latorre Grueso;Toni Lato;3;Defender;Left;3;18;0;1;0;68;1;22;3;1;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;1;0;0;0;0;0;0
73;2526;2l0hlraqbbo3sgfhtv0iaa49g;cel-mll;50x1m4u58lffhq6v6ga1hbxmy;9t88fceutc2x108ga0qkzkafp;Martin Valjent;Martin Valjent;M. Valjent;24;Defender;Left/Centre;6;43;0;1;3;90;3;48;6;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0
73;2526;2l0hlraqbbo3sgfhtv0iaa49g;cel-mll;50x1m4u58lffhq6v6ga1hbxmy;9dewnn65ylruq567thg7ebqhh;Antonio José Raíllo Arenas;Antonio Raíllo;Antonio Raíllo;21;Defender;Centre/Right;5;54;0;1;0;90;3;59;5;1;0;1;1;2;1;1;1;0;0;0;0;0;0;0;0;1;0;2;1;0;0;1
73;2526;2l0hlraqbbo3sgfhtv0iaa49g;cel-mll;50x1m4u58lffhq6v6ga1hbxmy;22dchchxwrsty67ultrs61qz9;Pablo Carmine Maffeo Becerra;Pablo Maffeo;Pablo Maffeo;23;Defender;Right;2;36;0;1;0;90;4;45;2;1;0;0;0;1;1;2;1;11;0;0;0;0;0;0;0;0;0;2;1;0;0;0
73;2526;2l0hlraqbbo3sgfhtv0iaa49g;cel-mll;50x1m4u58lffhq6v6ga1hbxmy;bkvvapojagxvj17nzk3oy8ct1;Omar Mascarell González;Omar Mascarell;Omar Mascarell;5;Defensive Midfielder;Left/Centre;4;30;0;1;0;68;2;33;4;1;0;0;0;0;0;3;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0
