league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;minsPlayed;totalClearance;totalPass;formationPlace;blockedScoringAtt;totalScoringAtt;totalTackle;totalThrows;wasFouled;wonCorners;wonTackle;yellowCard;fouls;totalSubOff;lostCorners;shotOffTarget;ontargetScoringAtt;cornerTaken;totalSubOn;cleanSheet;saves;totalOffside;goals
73;2526;2ldv2nafpzvwhdympdp0rff9w;ovi-atm;clo928vcczjp0mczavs5o7p5k;1j75xt37w8q04ixbyjwhtfh05;Aarón Escandell Banacloche;Aarón Escandell;Aarón Escandell;13;Goalkeeper;Centre;1;26;1;2;1;90;1;35;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2ldv2nafpzvwhdympdp0rff9w;ovi-atm;clo928vcczjp0mczavs5o7p5k;6p8xl2smgf1ta7txpcj7cabu2;Javier López Carballo;Javi López;Javi López;25;Defender;Left;3;19;1;0;1;90;1;25;3;1;1;3;13;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0
73;2526;2ldv2nafpzvwhdympdp0rff9w;ovi-atm;clo928vcczjp0mczavs5o7p5k;9iqmeo87l56hr3gymmxgkxysq;David Mota Veiga Teixeira do Carmo;David Mota Veiga Teixeira do Carmo;David Carmo;16;Defender;Left/Centre;6;31;1;1;1;90;6;42;6;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2ldv2nafpzvwhdympdp0rff9w;ovi-atm;clo928vcczjp0mczavs5o7p5k;ej7ydno7l3dv6xiqpaxrxbmqd;Daniel Pedro Calvo San Román;Dani Calvo;Dani Calvo;12;Defender;Centre/Right;5;35;1;6;1;90;6;42;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2ldv2nafpzvwhdympdp0rff9w;ovi-atm;clo928vcczjp0mczavs5o7p5k;akjusy9dt1qd2fjhttviek6ol;Ignacio Vidal Miralles;Nacho Vidal;Nacho Vidal;22;Defender;Right;2;21;1;0;0;80;3;28;2;0;0;1;5;1;0;1;1;2;1;0;0;0;0;0;0;0;0;0
73;2526;2ldv2nafpzvwhdympdp0rff9w;ovi-atm;clo928vcczjp0mczavs5o7p5k;kswz5xg9b8d2zzslpfxpn7fu;Nicolás Fonseca;Nicolás Fonseca;N. Fonseca;23;Defensive Midfielder;Left/Centre;4;23;1;0;0;65;0;27;4;1;1;5;0;0;0;2;0;2;1;1;0;0;0;0;0;0;0;0
73;2526;2ldv2nafpzvwhdympdp0rff9w;ovi-atm;clo928vcczjp0mczavs5o7p5k;7qoshvypodx2yovs65d29kgoa;Kwasi Sibo;Kwasi Sibo;K. Sibo;6;Defensive Midfielder;Centre/Right;8;25;1;0;1;90;0;32;8;0;1;5;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0
73;2526;2ldv2nafpzvwhdympdp0rff9w;ovi-atm;clo928vcczjp0mczavs5o7p5k;60b3ef904dyvuh61cgkajcley;Ilyas Chaira Oihi;Ilyas Chaira;I. Chaira;7;Attacking Midfielder;Left;11;16;1;0;0;72;0;19;11;0;2;3;0;0;1;2;0;2;1;1;1;1;0;0;0;0;0;0
73;2526;2ldv2nafpzvwhdympdp0rff9w;ovi-atm;clo928vcczjp0mczavs5o7p5k;a4r44oe89pwoinogij6t0go6i;Alberto Reina Campos;Alberto Reina;Alberto Reina;5;Attacking Midfielder;Centre;10;28;1;0;0;80;0;34;10;0;1;0;1;1;0;0;0;1;1;0;0;1;7;0;0;0;0;0
73;2526;2ldv2nafpzvwhdympdp0rff9w;ovi-atm;clo928vcczjp0mczavs5o7p5k;7kyxr0ntcthtbohvozw93v52i;Haissem Hassan;Haissem Hassan;H. Hassan;10;Attacking Midfielder;Right;7;8;1;0;0;72;1;11;7;0;0;2;0;0;2;2;0;3;1;0;0;0;0;0;0;0;0;0
73;2526;2ldv2nafpzvwhdympdp0rff9w;ovi-atm;clo928vcczjp0mczavs5o7p5k;6nr7ekkfr3n9tr44z6fowj5gq;Federico Sebastián Viñas Barboza;Federico Viñas;F. Viñas;9;Striker;Centre;9;5;1;0;1;90;2;17;9;0;8;1;0;3;3;1;0;2;0;0;5;3;0;0;0;0;0;0
73;2526;2ldv2nafpzvwhdympdp0rff9w;ovi-atm;clo928vcczjp0mczavs5o7p5k;8n42fc5g0qewvh9pdh4ef1e51;Lucas Ahijado Quintana;Lucas Ahijado;Lucas Ahijado;24;Substitute;Defender;0;7;0;0;1;10;0;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
73;2526;2ldv2nafpzvwhdympdp0rff9w;ovi-atm;clo928vcczjp0mczavs5o7p5k;bw58qgyapbrlir4h629cr5uj9;Santiago Cazorla González;Santi Cazorla;Santi Cazorla;8;Substitute;Midfielder;0;6;0;0;1;10;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
73;2526;2ldv2nafpzvwhdympdp0rff9w;ovi-atm;clo928vcczjp0mczavs5o7p5k;1u9sn1cu0pq16mina2q6d6dwp;Santiago Colombatto;Santiago Colombatto;S. Colombatto;11;Substitute;Midfielder;0;16;0;0;1;25;0;16;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
73;2526;2ldv2nafpzvwhdympdp0rff9w;ovi-atm;clo928vcczjp0mczavs5o7p5k;9xyhn7xadm9zl908lonnj0x04;Thiago Cruz Fernández;Thiago Fernández;T. Fernández;15;Substitute;Attacker;0;4;0;0;1;18;1;5;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
73;2526;2ldv2nafpzvwhdympdp0rff9w;ovi-atm;clo928vcczjp0mczavs5o7p5k;65je30iyno0ea0yylc355o3jd;Luka Ilić;Luka Ilic;L. Ilić;21;Substitute;Midfielder;0;8;0;0;1;18;1;10;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
73;2526;2ldv2nafpzvwhdympdp0rff9w;ovi-atm;4ku8o6uf87yd8iecdalipo6wd;2yt9oajv9dkbju8tgy1g2nmqd;Jan Oblak;Jan Oblak;J. Oblak;13;Goalkeeper;Centre;1;30;1;11;0;90;1;39;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;6;0;0
