league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;lostCorners;minsPlayed;saves;totalClearance;totalPass;wasFouled;formationPlace;blockedScoringAtt;fouls;totalOffside;totalScoringAtt;totalTackle;totalThrows;wonCorners;wonTackle;yellowCard;ontargetScoringAtt;ownGoals;shotOffTarget;totalSubOff;goalAssist;cornerTaken;goals;totalSubOn
73;2526;2lrcyrg6x6b1wz9q1xeyggkyc;gir-cel;7h7eg7q7dbwvzww78h9d5eh0h;eavhyxb9dfjh0jp5yzg8p8udx;Paulo Dino Gazzaniga Farias;Paulo Gazzaniga;P. Gazzaniga;13;Goalkeeper;Centre;1;30;1;1;2;2;90;4;1;41;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2lrcyrg6x6b1wz9q1xeyggkyc;gir-cel;7h7eg7q7dbwvzww78h9d5eh0h;2nq5nzq35tfwc7po29dtwqp78;Arnau Martínez López;Arnau Martínez;Arnau Martínez;4;Defender;Left;3;52;1;0;2;0;90;0;1;58;0;3;1;1;2;1;1;5;1;1;1;0;0;0;0;0;0;0;0
73;2526;2lrcyrg6x6b1wz9q1xeyggkyc;gir-cel;7h7eg7q7dbwvzww78h9d5eh0h;3kx4mltrob4yta5g6kr2u8ic5;Daley Blind;Daley Blind;D. Blind;17;Defender;Left/Centre;6;94;1;1;2;0;90;0;2;105;0;6;0;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0
73;2526;2lrcyrg6x6b1wz9q1xeyggkyc;gir-cel;7h7eg7q7dbwvzww78h9d5eh0h;bh4p6egq7e7htivuu0qdjqiac;Vitor de Oliveira Nunes dos Reis;Vitor de Oliveira Nunes dos Reis;Vitor Reis;12;Defender;Centre/Right;5;61;1;0;2;2;90;0;6;65;1;5;0;0;0;1;2;0;0;2;0;0;1;1;0;0;0;0;0
73;2526;2lrcyrg6x6b1wz9q1xeyggkyc;gir-cel;7h7eg7q7dbwvzww78h9d5eh0h;eku9q64i0rwdxytris5ahfyms;Hugo Rincón Lumbreras;Hugo Rincón;Hugo Rincón;2;Defender;Right;2;39;1;0;2;0;81;0;1;43;3;2;0;2;0;1;2;5;1;1;0;1;0;0;1;0;0;0;0
73;2526;2lrcyrg6x6b1wz9q1xeyggkyc;gir-cel;7h7eg7q7dbwvzww78h9d5eh0h;59234as8h70fejyfm7492np3p;Axel Laurent Angel Lambert Witsel;Axel Witsel;A. Witsel;20;Defensive Midfielder;Left/Centre;4;37;1;0;2;1;73;0;0;39;1;4;0;1;0;1;3;0;0;2;0;0;0;1;1;1;0;0;0
73;2526;2lrcyrg6x6b1wz9q1xeyggkyc;gir-cel;7h7eg7q7dbwvzww78h9d5eh0h;e3czx0nsuw10acnftbr8ud0bt;Francisco José Beltrán Peinado;Fran Beltrán;Fran Beltrán;8;Defensive Midfielder;Centre/Right;8;67;1;0;2;0;90;0;0;71;0;8;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
73;2526;2lrcyrg6x6b1wz9q1xeyggkyc;gir-cel;7h7eg7q7dbwvzww78h9d5eh0h;cjd62gwj9ptwrrtu6y6xnpeui;Bryan Gil Salvatierra;Bryan Gil;Bryan Gil;21;Attacking Midfielder;Left;11;33;1;0;1;0;65;0;0;37;0;11;0;2;0;0;1;0;3;1;0;0;0;0;1;0;0;0;0
73;2526;2lrcyrg6x6b1wz9q1xeyggkyc;gir-cel;7h7eg7q7dbwvzww78h9d5eh0h;ejcyvgclry4g5pc2rtptifphx;Thomas Benoît Lemar;Thomas Lemar;T. Lemar;11;Attacking Midfielder;Centre;10;28;1;0;1;0;64;0;0;30;1;10;0;0;0;0;1;1;1;0;0;0;0;0;1;0;4;0;0
73;2526;2lrcyrg6x6b1wz9q1xeyggkyc;gir-cel;7h7eg7q7dbwvzww78h9d5eh0h;3auwtiburdxrp2i5me2d97f11;Viktor Tsygankov;Viktor Tsygankov;V. Tsygankov;15;Attacking Midfielder;Right;7;38;1;0;2;1;90;0;1;41;0;7;0;0;0;2;0;3;1;0;0;1;0;1;0;0;4;0;0
