league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;lostCorners;minsPlayed;saves;totalClearance;totalPass;formationPlace;fouls;totalTackle;totalThrows;wasFouled;wonCorners;yellowCard;totalSubOff;wonTackle;shotOffTarget;totalScoringAtt;cornerTaken;ontargetScoringAtt;blockedScoringAtt;totalSubOn;redCard;cleanSheet;goals;goalAssist;secondYellow;totalOffside
73;2526;2m4sef2l4im49rda90k3p41lg;rma-get;3kq9cckrnlogidldtdie2fkbl;6crmq7vzqts58wg196q48sc7p;Thibaut Nicolas Marc Courtois;Thibaut Courtois;T. Courtois;1;Goalkeeper;Centre;1;20;1;5;1;1;90;2;2;25;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2m4sef2l4im49rda90k3p41lg;rma-get;3kq9cckrnlogidldtdie2fkbl;a4kw8u4dqsslfwe1ux08lbmc;Álvaro Fernández Carreras;Álvaro Carreras;Álvaro Carreras;18;Defender;Left;3;61;1;0;1;0;90;0;3;66;3;1;2;12;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2m4sef2l4im49rda90k3p41lg;rma-get;3kq9cckrnlogidldtdie2fkbl;6w5wyari2p4bh2zzy2x2f6hg5;David Olatukunbo Alaba;David Alaba;D. Alaba;4;Defender;Left/Centre;6;53;1;0;1;0;55;0;5;57;6;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2m4sef2l4im49rda90k3p41lg;rma-get;3kq9cckrnlogidldtdie2fkbl;6fzbp94hf19ysotdassrqdc5x;Antonio Rüdiger;Antonio Rüdiger;A. Rüdiger;22;Defender;Centre/Right;5;91;1;2;1;0;90;0;8;97;5;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
73;2526;2m4sef2l4im49rda90k3p41lg;rma-get;3kq9cckrnlogidldtdie2fkbl;19z8jmren3eytg7fbuzqv73kl;Trent John Alexander-Arnold;Trent Alexander-Arnold;T. Alexander-Arnold;12;Defender;Right;2;31;1;0;1;0;55;0;0;39;2;0;0;3;0;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0
73;2526;2m4sef2l4im49rda90k3p41lg;rma-get;3kq9cckrnlogidldtdie2fkbl;9ksawmk9ligul6vfjihf50r8;Thiago Pitarch Pinar;Thiago Pitarch;Thiago Pitarch;45;Defensive Midfielder;Left/Centre;4;42;1;0;1;0;55;0;1;47;4;2;1;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0
73;2526;2m4sef2l4im49rda90k3p41lg;rma-get;3kq9cckrnlogidldtdie2fkbl;aipyotc87m5bdvmvizd5n69k9;Aurélien Djani Tchouaméni;Aurélien Tchouaméni;A. Tchouaméni;14;Defensive Midfielder;Centre/Right;8;76;1;0;1;0;87;0;1;83;8;2;2;0;1;0;1;1;1;2;3;0;1;0;0;0;0;0;0;0;0
73;2526;2m4sef2l4im49rda90k3p41lg;rma-get;3kq9cckrnlogidldtdie2fkbl;b4witgokm49tidm1a83qcvbop;Vinícius José Paixão de Oliveira Júnior;Vinícius José Paixão de Oliveira Júnior;Vinícius Júnior;7;Attacking Midfielder;Left;11;28;1;0;1;0;90;0;0;32;11;1;0;0;5;4;1;0;0;1;3;0;1;1;0;0;0;0;0;0;0
73;2526;2m4sef2l4im49rda90k3p41lg;rma-get;3kq9cckrnlogidldtdie2fkbl;39gif4xfy8xddarasbsad56ok;Arda Güler;Arda Güler;A. Güler;15;Attacking Midfielder;Centre;10;50;1;0;1;0;69;0;0;54;10;0;2;0;4;1;0;1;1;0;2;5;1;1;0;0;0;0;0;0;0
73;2526;2m4sef2l4im49rda90k3p41lg;rma-get;3kq9cckrnlogidldtdie2fkbl;1i9wi65k2foqwudeqiyih87hl;Federico Santiago Valverde Dipetta;Federico Valverde;F. Valverde;8;Attacking Midfielder;Right;7;63;1;0;1;0;90;0;0;69;7;0;0;0;3;1;0;0;0;1;2;0;0;1;0;0;0;0;0;0;0
73;2526;2m4sef2l4im49rda90k3p41lg;rma-get;3kq9cckrnlogidldtdie2fkbl;4o9d3hpjlicgce9gtbewyzhn8;Gonzalo García Torres;Gonzalo García;Gonzalo García;16;Striker;Centre;9;22;1;0;1;0;90;0;0;30;9;0;2;0;0;0;0;0;2;0;1;0;1;0;0;0;0;0;0;0;0
73;2526;2m4sef2l4im49rda90k3p41lg;rma-get;3kq9cckrnlogidldtdie2fkbl;3jln1gzc0859ymphvq83i0mp5;Brahim Abdelkader Díaz;Brahim Díaz;Brahim Díaz;21;Substitute;Midfielder;0;3;0;0;0;0;3;0;0;3;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
73;2526;2m4sef2l4im49rda90k3p41lg;rma-get;3kq9cckrnlogidldtdie2fkbl;7oykphzczagr975xsqt70s89h;Daniel Carvajal Ramos;Dani Carvajal;Dani Carvajal;2;Substitute;Defender;0;19;0;0;0;1;35;0;1;19;0;1;0;7;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
73;2526;2m4sef2l4im49rda90k3p41lg;rma-get;3kq9cckrnlogidldtdie2fkbl;d2hnxi1yi5rgqj1tvxh1813x0;Dean Donny Huijsen Wijsmuller;Dean Huijsen;Dean Huijsen;24;Substitute;Defender;0;34;0;0;0;0;35;0;2;39;0;2;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
73;2526;2m4sef2l4im49rda90k3p41lg;rma-get;3kq9cckrnlogidldtdie2fkbl;1fkntyd2z8e169yh98k0zst90;Franco Martín Mastantuono;Franco Mastantuono;F. Mastantuono;30;Substitute;Attacker;0;2;0;0;0;0;21;0;0;4;0;1;0;0;0;1;0;0;0;0;1;2;1;0;1;1;0;0;0;0;0
73;2526;2m4sef2l4im49rda90k3p41lg;rma-get;3kq9cckrnlogidldtdie2fkbl;broq8imimhtlejtffissquy5m;Rodrygo Silva de Goes;Rodrygo Silva de Goes;Rodrygo;11;Substitute;Attacker;0;11;0;0;0;0;35;0;1;11;0;0;1;0;2;1;0;0;0;1;3;2;1;1;1;0;0;0;0;0;0
73;2526;2m4sef2l4im49rda90k3p41lg;rma-get;1n1j0wsl763lq7ee1k0c11c02;vota9gwygxp3wc998tl7ldxx;David Soria Solís;David Soria;David Soria;13;Goalkeeper;Centre;1;14;1;11;0;3;90;7;3;29;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
73;2526;2m4sef2l4im49rda90k3p41lg;rma-get;1n1j0wsl763lq7ee1k0c11c02;buglwgk2hthoyqt1ocghya92i;Zaid Abner Romero;Zaid Romero;Z. Romero;24;Defender;Left/Centre;4;13;1;0;0;1;90;0;9;22;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
73;2526;2m4sef2l4im49rda90k3p41lg;rma-get;1n1j0wsl763lq7ee1k0c11c02;cue88fm1v1ysfuwhql68czydx;Domingos de Sousa Coutinho Meneses Duarte;Domingos de Sousa Coutinho Meneses Duarte;Domingos Duarte;22;Defender;Centre;5;14;1;0;0;1;90;0;6;17;5;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
73;2526;2m4sef2l4im49rda90k3p41lg;rma-get;1n1j0wsl763lq7ee1k0c11c02;4wkn0nrhl9gmaflvw2wdoup04;Juan Sebastián Boselli Graf;Sebastián Boselli;S. Boselli;15;Defender;Centre/Right;6;7;1;0;0;0;90;0;8;15;6;1;4;0;0;0;0;0;3;0;1;0;0;1;0;0;1;0;0;0;0
73;2526;2m4sef2l4im49rda90k3p41lg;rma-get;1n1j0wsl763lq7ee1k0c11c02;dkt9892ixwnz1bkmgileo71sl;Diego Rico Salguero;Diego Rico;Diego Rico;16;Wing Back;Left;3;6;1;0;0;0;90;0;3;14;3;2;0;8;3;2;1;0;0;1;2;0;0;1;0;0;1;0;0;0;0
73;2526;2m4sef2l4im49rda90k3p41lg;rma-get;1n1j0wsl763lq7ee1k0c11c02;5lzbyj5i0cotpry4gneap8c89;Juan Antonio Iglesias Sánchez;Juan Iglesias;Juan Iglesias;21;Wing Back;Right;2;11;1;0;0;3;90;0;6;17;2;3;7;10;1;0;0;0;4;1;1;0;0;0;0;0;1;0;0;0;0
73;2526;2m4sef2l4im49rda90k3p41lg;rma-get;1n1j0wsl763lq7ee1k0c11c02;c68syh6axbkqmcmvrpumqb8mi;Martín Adrián Satriano Costa;Martín Satriano;M. Satriano;10;Midfielder;Left;11;9;1;0;0;2;89;0;3;13;11;0;2;0;1;0;1;1;1;0;1;0;1;0;0;0;0;1;0;0;0
73;2526;2m4sef2l4im49rda90k3p41lg;rma-get;1n1j0wsl763lq7ee1k0c11c02;5gorfhj7uwpomrhlso1krxrkl;Mauro Wilney Arambarri Rosa;Mauro Arambarri;M. Arambarri;8;Midfielder;Left/Centre;10;10;1;0;0;0;90;0;2;15;10;3;2;0;1;0;1;0;1;0;3;0;2;1;0;0;1;0;1;0;0
73;2526;2m4sef2l4im49rda90k3p41lg;rma-get;1n1j0wsl763lq7ee1k0c11c02;ch1lxxbn01at4jmkafy4uevh1;Luis Milla Manzanares;Luis Milla;Luis Milla;5;Midfielder;Centre/Right;8;24;1;0;0;0;90;0;3;30;8;2;1;0;0;0;0;0;1;0;0;2;0;0;0;0;1;0;0;0;0
73;2526;2m4sef2l4im49rda90k3p41lg;rma-get;1n1j0wsl763lq7ee1k0c11c02;6wpnjdlg2p8f19y3gjpz1su6t;Francisco Femenía Far;Kiko Femenía;Kiko Femenía;17;Midfielder;Right;7;6;1;0;0;0;58;0;0;9;7;3;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0
73;2526;2m4sef2l4im49rda90k3p41lg;rma-get;1n1j0wsl763lq7ee1k0c11c02;cei4ujo2jqzc9f0tmi8xgll62;Luis Ismael Vázquez;Luis Vázquez;L. Vázquez;19;Striker;Centre;9;9;1;0;0;0;69;0;1;12;9;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2m4sef2l4im49rda90k3p41lg;rma-get;1n1j0wsl763lq7ee1k0c11c02;br4wylyaeqyxoss5of7r51boq;Abdelkabir Abqar;Abdel Abqar;A. Abqar;3;Substitute;Defender;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
73;2526;2m4sef2l4im49rda90k3p41lg;rma-get;1n1j0wsl763lq7ee1k0c11c02;alz5rwbxued4hgkts0panocus;Adrián Liso Lahoz;Adrián Liso;Adrián Liso;23;Substitute;Attacker;0;2;0;0;0;0;32;0;0;3;0;1;4;0;2;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;1
