league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;cleanSheet;gameStarted;goalKicks;minsPlayed;totalPass;wasFouled;formationPlace;fouls;lostCorners;totalClearance;totalSubOff;totalTackle;totalThrows;wonCorners;wonTackle;yellowCard;blockedScoringAtt;totalScoringAtt;cornerTaken;shotOffTarget;goals;ontargetScoringAtt;penaltyWon;totalSubOn;goalsConceded;penGoalsConceded;penaltyConceded;penaltyFaced;totalOffside
73;2526;2mieos6z7lqo2pb9bsl6j0xsk;val-osa;ba5e91hjacvma2sjvixn00pjo;5dfvefxvwj8kixbajluw25mtx;Stole Dimitrievski;Stole Dimitrievski;S. Dimitrievski;1;Goalkeeper;Centre;1;17;1;1;5;90;34;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2mieos6z7lqo2pb9bsl6j0xsk;val-osa;ba5e91hjacvma2sjvixn00pjo;5b1q9bpe23j98eoy4fwi7ld5h;José Luis Gayà Peña;José Gayà;José Gayà;14;Defender;Left;3;24;0;1;0;77;33;1;3;1;1;2;1;3;1;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2mieos6z7lqo2pb9bsl6j0xsk;val-osa;ba5e91hjacvma2sjvixn00pjo;5uig03vbbv71f0q31cp3vfbv9;Eray Ervin Cömert;Eray Cömert;E. Cömert;24;Defender;Left/Centre;6;36;1;1;3;90;39;2;6;1;0;3;0;2;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
73;2526;2mieos6z7lqo2pb9bsl6j0xsk;val-osa;ba5e91hjacvma2sjvixn00pjo;e8s9ssopq5nmp51zymvqp8jbp;Unai Núñez Gestoso;Unai Núñez;Unai Núñez;4;Defender;Centre/Right;5;43;1;1;0;90;46;0;5;0;1;7;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
73;2526;2mieos6z7lqo2pb9bsl6j0xsk;val-osa;ba5e91hjacvma2sjvixn00pjo;8vmrboswsfyb5bfoq07s6susp;Thierry Rendall Correia;Thierry Rendall Correia;Thierry Correia;12;Defender;Right;2;31;1;1;0;90;43;0;2;3;2;0;0;1;8;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2mieos6z7lqo2pb9bsl6j0xsk;val-osa;ba5e91hjacvma2sjvixn00pjo;6kc8ieszwg6u00e3sa554y7yt;Luis Jesús Rioja González;Luis Rioja;Luis Rioja;11;Midfielder;Left;11;7;0;1;0;56;8;1;11;0;0;0;1;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0
73;2526;2mieos6z7lqo2pb9bsl6j0xsk;val-osa;ba5e91hjacvma2sjvixn00pjo;73efpm314q2paeacsvp4e8q8l;Guido Rodríguez;Guido Rodríguez;G. Rodríguez;2;Midfielder;Left/Centre;8;44;1;1;0;90;52;1;8;3;0;3;0;5;1;0;3;0;0;2;0;2;0;0;0;0;0;0;0;0;0
73;2526;2mieos6z7lqo2pb9bsl6j0xsk;val-osa;ba5e91hjacvma2sjvixn00pjo;aqqd7tq7z6bj3wn3u3sz3uuqc;Javier Guerra Moreno;Javi Guerra;Javi Guerra;8;Midfielder;Centre/Right;4;44;1;1;0;90;51;1;4;3;0;0;0;1;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0
73;2526;2mieos6z7lqo2pb9bsl6j0xsk;val-osa;ba5e91hjacvma2sjvixn00pjo;blvf8qsi6iy6ejyer58okyxka;Largie Ramazani;Largie Ramazani;L. Ramazani;17;Midfielder;Right;7;14;0;1;0;89;23;0;7;2;0;0;1;1;0;1;1;0;2;4;0;1;1;1;0;0;0;0;0;0;0
73;2526;2mieos6z7lqo2pb9bsl6j0xsk;val-osa;ba5e91hjacvma2sjvixn00pjo;94md3wf5xab5mnj5niiwq33zd;Filip Ugrinic;Filip Ugrinic;F. Ugrinic;23;Striker;Left/Centre;9;16;0;1;0;77;20;2;9;0;0;1;1;1;1;0;1;0;0;2;1;2;0;0;0;0;0;0;0;0;0
73;2526;2mieos6z7lqo2pb9bsl6j0xsk;val-osa;ba5e91hjacvma2sjvixn00pjo;dtvmsnqlzn5672xb54zj8u7dh;Umar Sadiq Mesbah;Umar Sadiq;U. Sadiq;6;Striker;Centre/Right;10;11;0;1;0;89;11;4;10;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0
73;2526;2mieos6z7lqo2pb9bsl6j0xsk;val-osa;ba5e91hjacvma2sjvixn00pjo;4rktv6j9sioe0gmu7jt77fsh5;Arnaut Danjuma Adam Groeneveld;Arnaut Danjuma;A. Danjuma;7;Substitute;Attacker;0;3;0;0;0;34;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
73;2526;2mieos6z7lqo2pb9bsl6j0xsk;val-osa;ba5e91hjacvma2sjvixn00pjo;7yieh5r0uzk6d6x9o060c2bfu;Hugo Duro Perales;Hugo Duro;Hugo Duro;9;Substitute;Attacker;0;2;0;0;0;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
73;2526;2mieos6z7lqo2pb9bsl6j0xsk;val-osa;ba5e91hjacvma2sjvixn00pjo;4j3u6v01emo9nsel7uw00qsfe;Diego López Noguerol;Diego López;Diego López;16;Substitute;Attacker;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
