league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;minsPlayed;totalClearance;totalPass;totalTackle;formationPlace;fouls;lostCorners;totalThrows;wasFouled;wonTackle;goalAssist;shotOffTarget;totalOffside;totalScoringAtt;ontargetScoringAtt;totalSubOff;blockedScoringAtt;yellowCard;wonCorners;cornerTaken;goals;totalSubOn;saves
73;2526;2mxi4zs0db40fjabi1d36b9ck;bar-vil;agh9ifb2mw3ivjusgedj7c3fe;5f8kjgsaabn2li5r7bvpebbsa;Joan García Pons;Joan García;Joan García;13;Goalkeeper;Centre;1;22;1;4;1;90;2;23;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2mxi4zs0db40fjabi1d36b9ck;bar-vil;agh9ifb2mw3ivjusgedj7c3fe;bzgh5psb1janz9y3btpswngbu;Alejandro Balde Martínez;Alejandro Balde;Alejandro Balde;3;Defender;Left;3;70;1;0;1;90;3;74;1;3;1;1;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2mxi4zs0db40fjabi1d36b9ck;bar-vil;agh9ifb2mw3ivjusgedj7c3fe;4ggz7e009bq3yltc9o6mifbah;Eric García Martret;Eric García;Eric García;24;Defender;Left/Centre;6;98;1;0;1;90;1;103;2;6;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2mxi4zs0db40fjabi1d36b9ck;bar-vil;agh9ifb2mw3ivjusgedj7c3fe;bkwxem45cf48k14euwqe7rs44;Pau Cubarsí Paredes;Pau Cubarsí;Pau Cubarsí;5;Defender;Centre/Right;5;89;1;0;1;90;4;93;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2mxi4zs0db40fjabi1d36b9ck;bar-vil;agh9ifb2mw3ivjusgedj7c3fe;cscn06kwqfzo09h0dc5ybt1pl;Jules Olivier Koundé;Jules Koundé;J. Koundé;23;Defender;Right;2;101;1;0;1;90;0;110;2;2;0;1;10;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0
73;2526;2mxi4zs0db40fjabi1d36b9ck;bar-vil;agh9ifb2mw3ivjusgedj7c3fe;4gq1u1mqg0qzekh1u5djleeax;Daniel Olmo Carvajal;Dani Olmo;Dani Olmo;20;Midfielder;Left/Centre;8;43;1;0;1;59;2;50;1;8;2;0;0;1;1;0;2;0;3;1;1;0;0;0;0;0;0;0
73;2526;2mxi4zs0db40fjabi1d36b9ck;bar-vil;agh9ifb2mw3ivjusgedj7c3fe;4et6r42e7q2ojgaumwnua2kgk;Marc Bernal Casas;Marc Bernal;Marc Bernal;22;Midfielder;Centre;4;53;1;0;1;67;2;59;0;4;2;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0
73;2526;2mxi4zs0db40fjabi1d36b9ck;bar-vil;agh9ifb2mw3ivjusgedj7c3fe;cjll1xrw3xulnl23c9tlf6rys;Fermín López Marín;Fermín López;Fermín López;16;Midfielder;Centre/Right;7;54;1;0;1;90;0;60;5;7;1;0;0;1;1;2;2;1;3;0;0;1;0;1;0;0;0;0
73;2526;2mxi4zs0db40fjabi1d36b9ck;bar-vil;agh9ifb2mw3ivjusgedj7c3fe;2wl6h1rlrfnn2mr65vuo3t815;Raphael Dias Belloli;Raphael Dias Belloli;Raphinha;11;Striker;Left/Centre;11;26;1;0;1;73;0;33;1;11;1;0;2;1;1;0;0;0;1;1;1;0;1;1;0;0;0;0
73;2526;2mxi4zs0db40fjabi1d36b9ck;bar-vil;agh9ifb2mw3ivjusgedj7c3fe;2szgrzcosfeifh664tgt3mfvt;Ferran Torres García;Ferran Torres;Ferran Torres;7;Striker;Centre;9;7;1;0;1;67;0;10;0;9;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0
73;2526;2mxi4zs0db40fjabi1d36b9ck;bar-vil;agh9ifb2mw3ivjusgedj7c3fe;abr79wsl0folgkyvl821ggs2c;Lamine Yamal Nasraoui Ebana;Lamine Yamal Nasraoui Ebana;Lamine Yamal;10;Striker;Centre/Right;10;41;1;0;1;73;0;47;0;10;1;0;1;0;0;0;2;0;6;4;1;0;0;0;1;3;0;0
73;2526;2mxi4zs0db40fjabi1d36b9ck;bar-vil;agh9ifb2mw3ivjusgedj7c3fe;awsod0zmnrukk21d4882ji7e1;Ronald Federico Araujo da Silva;Ronald Araujo;R. Araujo;4;Substitute;Defender;0;22;0;0;0;23;0;22;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
