league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;minsPlayed;saves;totalPass;formationPlace;totalClearance;totalThrows;fouls;totalTackle;wonTackle;yellowCard;lostCorners;wasFouled;wonCorners;goals;ontargetScoringAtt;totalScoringAtt;totalSubOff;cornerTaken;blockedScoringAtt;goalAssist;shotOffTarget;totalSubOn;totalOffside
73;2526;2napzcxsfy1ju0ixutyi6z8yc;bet-sev;ah8dala7suqqkj04n2l8xz4zd;routhh0ialijcg3egagouig9;Álvaro Valles Rosa;Álvaro Valles;Álvaro Valles;1;Goalkeeper;Centre;1;19;1;5;2;90;3;23;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2napzcxsfy1ju0ixutyi6z8yc;bet-sev;ah8dala7suqqkj04n2l8xz4zd;9ak3zczupeken1itsmkherbh1;Ricardo Iván Rodríguez Araya;Ricardo Rodríguez;R. Rodríguez;12;Defender;Left;3;22;1;0;2;90;0;34;3;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2napzcxsfy1ju0ixutyi6z8yc;bet-sev;ah8dala7suqqkj04n2l8xz4zd;2r4450bqkmpcf1ogmcfhvczmy;Natan Bernardo de Souza;Natan Bernardo de Souza;Natan;4;Defender;Left/Centre;6;43;1;1;2;90;0;48;6;1;0;1;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2napzcxsfy1ju0ixutyi6z8yc;bet-sev;ah8dala7suqqkj04n2l8xz4zd;9ao7l82r1xd2rjnvv5u6plcr9;Diego Javier Llorente Ríos;Diego Llorente;Diego Llorente;3;Defender;Centre/Right;5;59;1;0;2;90;0;64;5;5;0;2;3;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0
73;2526;2napzcxsfy1ju0ixutyi6z8yc;bet-sev;ah8dala7suqqkj04n2l8xz4zd;9226xt1t1m3fy4ob9l2r16609;Aitor Ruibal García;Aitor Ruibal;Aitor Ruibal;24;Defender;Right;2;39;1;0;2;90;0;45;2;6;8;3;5;3;0;1;2;2;0;0;0;0;0;0;0;0;0;0
73;2526;2napzcxsfy1ju0ixutyi6z8yc;bet-sev;ah8dala7suqqkj04n2l8xz4zd;733ho2s9aqwwxzbqfiia3b7bp;Álvaro Fidalgo Fernández;Álvaro Fidalgo;Álvaro Fidalgo;15;Midfielder;Left/Centre;8;32;1;0;1;70;0;34;8;3;0;1;3;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0
73;2526;2napzcxsfy1ju0ixutyi6z8yc;bet-sev;ah8dala7suqqkj04n2l8xz4zd;4r6jcuotjs6rz8iwu20996z85;Marc Roca Junqué;Marc Roca;Marc Roca;21;Midfielder;Centre;4;37;1;0;2;90;0;41;4;4;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2napzcxsfy1ju0ixutyi6z8yc;bet-sev;ah8dala7suqqkj04n2l8xz4zd;6aix9yu384pv1caanqiol231l;Pablo Fornals Malla;Pablo Fornals;Pablo Fornals;8;Midfielder;Centre/Right;7;55;1;0;2;90;0;62;7;0;0;1;1;1;0;0;3;0;0;0;0;0;3;0;0;0;0;0
73;2526;2napzcxsfy1ju0ixutyi6z8yc;bet-sev;ah8dala7suqqkj04n2l8xz4zd;96cbv23es0gucmd2v0qvk3iwa;Abdessamad Ezzalzouli;Abde Ezzalzouli;A. Ezzalzouli;10;Striker;Left/Centre;11;11;1;0;2;90;0;13;11;0;0;1;1;1;0;0;3;1;0;0;5;0;0;3;1;2;0;0
73;2526;2napzcxsfy1ju0ixutyi6z8yc;bet-sev;ah8dala7suqqkj04n2l8xz4zd;8aao79b1g77c5jhp1n0w60xrd;Juan Camilo Hernández Suárez;Cucho Hernández;C. Hernández;19;Striker;Centre;9;12;1;0;1;70;0;13;9;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0
