league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;lostCorners;minsPlayed;saves;totalPass;formationPlace;fouls;totalClearance;totalSubOff;totalThrows;ontargetScoringAtt;totalScoringAtt;wasFouled;blockedScoringAtt;shotOffTarget;totalTackle;wonTackle;wonCorners;goals;cornerTaken;yellowCard;totalSubOn;totalOffside;penGoalsConceded;penaltyFaced;penaltyConceded;goalAssist;redCard;secondYellow
73;2526;2no6er6enaks2abnft8fknndg;elc-esp;4yg9ttzw0m51048doksv8uq5r;8rgy29sd9okehwq8bzyb3v0t1;Matías Ezequiel Dituro Curto;Matías Dituro;M. Dituro;1;Goalkeeper;Centre;1;44;1;4;2;1;90;2;47;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2no6er6enaks2abnft8fknndg;elc-esp;4yg9ttzw0m51048doksv8uq5r;33r4ae8aivh27ho0ix9mnkedx;Pedro Bigas Rigo;Pedro Bigas;Pedro Bigas;6;Defender;Left/Centre;4;45;1;0;1;0;45;0;52;4;1;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2no6er6enaks2abnft8fknndg;elc-esp;4yg9ttzw0m51048doksv8uq5r;7o7vwlqxknci1fymzkn9hug6i;David Affengruber;David Affengruber;D. Affengruber;22;Defender;Centre;5;95;1;0;2;0;90;0;101;5;1;7;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2no6er6enaks2abnft8fknndg;elc-esp;4yg9ttzw0m51048doksv8uq5r;dfss2zdkn61bbq312zhxlddyh;Léo Pétrot;Léo Pétrot;L. Pétrot;21;Defender;Centre/Right;6;67;1;0;2;0;90;0;73;6;1;4;0;6;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2no6er6enaks2abnft8fknndg;elc-esp;4yg9ttzw0m51048doksv8uq5r;5mgmcero3ui4a24v1w1upx3sa;Germán Valera Karabinaite;Germán Valera;Germán Valera;11;Midfielder;Left;3;20;1;0;2;0;76;0;24;3;2;5;1;5;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2no6er6enaks2abnft8fknndg;elc-esp;4yg9ttzw0m51048doksv8uq5r;90ga4jxu6ydpoliajft8w9y39;Aleix Febas Pérez;Aleix Febas;Aleix Febas;14;Midfielder;Left/Centre;8;57;1;0;2;0;90;0;66;8;1;0;0;0;0;1;5;1;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0
73;2526;2no6er6enaks2abnft8fknndg;elc-esp;4yg9ttzw0m51048doksv8uq5r;z0qe6u5fvgrjy0jzk1qhbgq2;Marc Aguado Pallarés;Marc Aguado;Marc Aguado;8;Midfielder;Centre;11;52;1;0;2;0;90;0;55;11;3;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
73;2526;2no6er6enaks2abnft8fknndg;elc-esp;4yg9ttzw0m51048doksv8uq5r;d87uduceapind7lgv6273xedw;Lucas Antonio Cepeda Barturen;Lucas Cepeda;L. Cepeda;24;Midfielder;Centre/Right;7;25;1;0;2;0;73;0;30;7;1;0;1;1;0;1;3;1;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0
73;2526;2no6er6enaks2abnft8fknndg;elc-esp;4yg9ttzw0m51048doksv8uq5r;1i9mqbswolg91evnmsrf5katx;José Antonio Morente Oliva;José Antonio Morente Oliva;Tete Morente;15;Midfielder;Right;2;27;1;0;2;0;66;0;34;2;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2no6er6enaks2abnft8fknndg;elc-esp;4yg9ttzw0m51048doksv8uq5r;dhhmffih4gl51nlu92hfctqs5;André Miguel Valente da Silva;André Miguel Valente da Silva;André Silva;9;Striker;Left/Centre;9;16;1;0;2;0;73;0;20;9;0;0;1;0;2;3;3;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
73;2526;2no6er6enaks2abnft8fknndg;elc-esp;4yg9ttzw0m51048doksv8uq5r;4sojot9t32l4a6fm3e39xkcfd;Rafael Mir Vicente;Rafa Mir;Rafa Mir;10;Striker;Centre/Right;10;5;1;0;2;0;90;0;11;10;2;0;0;2;4;5;2;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0
73;2526;2no6er6enaks2abnft8fknndg;elc-esp;4yg9ttzw0m51048doksv8uq5r;8nbnru9t2qxaotxw0hiaocdt5;Víctor Chust García;Victor Chust;Víctor Chust;23;Substitute;Defender;0;50;0;0;1;0;45;0;54;0;1;3;0;2;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0
73;2526;2no6er6enaks2abnft8fknndg;elc-esp;4yg9ttzw0m51048doksv8uq5r;dce6e4b9ckqkxj1zpsh8poz55;Grady George Diangana;Grady Diangana;G. Diangana;19;Substitute;Attacker;0;3;0;0;0;0;17;0;6;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
73;2526;2no6er6enaks2abnft8fknndg;elc-esp;4yg9ttzw0m51048doksv8uq5r;ac5f9msbvijksbq5s2ivwh979;José Antonio Ferrández Pomares;José Antonio Ferrández Pomares;Josan;17;Substitute;Midfielder;0;10;0;0;0;0;24;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
73;2526;2no6er6enaks2abnft8fknndg;elc-esp;4yg9ttzw0m51048doksv8uq5r;8rprxly1blrhq9cwhfqoheeax;Adrià Giner Pedrosa;Adrià Pedrosa;Adrià Pedrosa;3;Substitute;Defender;0;7;0;0;0;0;14;0;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
73;2526;2no6er6enaks2abnft8fknndg;elc-esp;4yg9ttzw0m51048doksv8uq5r;osme4gegtnhlldt4lsqf56ac;Álvaro Daniel Rodríguez Muñoz;Álvaro Rodríguez;Á. Rodríguez;20;Substitute;Attacker;0;1;0;0;0;0;17;0;2;0;0;0;0;0;0;2;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0
73;2526;2no6er6enaks2abnft8fknndg;elc-esp;c8llrezkm3b3op4afrou6b487;bahph7009sc73jl6s2bramn6d;Marko Dmitrović;Marko Dmitrovic;M. Dmitrović;13;Goalkeeper;Centre;1;14;1;10;2;1;90;6;34;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
73;2526;2no6er6enaks2abnft8fknndg;elc-esp;c8llrezkm3b3op4afrou6b487;5djkwcoflvxcv5oida6txfyp6;Carlos Romero Serrano;Carlos Romero;Carlos Romero;22;Defender;Left;3;14;1;0;2;0;90;0;20;3;2;4;0;5;1;3;1;2;0;2;0;0;1;0;0;0;0;1;0;1;0;0;0
73;2526;2no6er6enaks2abnft8fknndg;elc-esp;c8llrezkm3b3op4afrou6b487;6810qbng9pfg1bztczv11grmd;Leandro Daniel Cabrera Sasía;Leandro Cabrera;L. Cabrera;6;Defender;Left/Centre;6;17;1;0;2;1;90;0;24;6;1;16;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0
73;2526;2no6er6enaks2abnft8fknndg;elc-esp;c8llrezkm3b3op4afrou6b487;53bjqee7oomr7czgfmm1mcy96;Clemens Riedel;Clemens Riedel;C. Riedel;38;Defender;Centre/Right;5;18;1;0;2;0;90;0;23;5;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
73;2526;2no6er6enaks2abnft8fknndg;elc-esp;c8llrezkm3b3op4afrou6b487;7h0b81yjiiu356rycsakgd0yc;Omar El Hilali Khayat;Omar El Hilali;O. El Hilali;23;Defender;Right;2;16;1;0;2;1;90;0;23;2;1;4;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
73;2526;2no6er6enaks2abnft8fknndg;elc-esp;c8llrezkm3b3op4afrou6b487;1ore4ght7ls393tcpbmah9dcl;Pere Milla Peña;Pere Milla;Pere Milla;11;Midfielder;Left;11;7;1;0;1;0;58;0;12;11;0;0;1;0;1;1;3;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
73;2526;2no6er6enaks2abnft8fknndg;elc-esp;c8llrezkm3b3op4afrou6b487;74wjzeja92l4q8fpy1bkmcsfd;Pol Lozano Vizuete;Pol Lozano;Pol Lozano;10;Midfielder;Left/Centre;8;17;1;0;1;0;58;0;19;8;2;3;1;0;0;1;0;0;1;2;2;0;0;0;0;0;0;0;0;0;1;0;0
73;2526;2no6er6enaks2abnft8fknndg;elc-esp;c8llrezkm3b3op4afrou6b487;7y8ns61qioqu7kfsqzkvkwhuy;Urko González de Zárate Quirós;Urko González de Zárate Quirós;Urko González de Zárate;4;Midfielder;Centre/Right;4;21;1;0;2;0;90;0;26;4;4;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
73;2526;2no6er6enaks2abnft8fknndg;elc-esp;c8llrezkm3b3op4afrou6b487;bce703taa20nxg814t2giuei;Tyrhys Dolan;Tyrhys Dolan;T. Dolan;24;Midfielder;Right;7;12;1;0;2;0;89;0;13;7;2;0;1;0;0;0;2;0;0;2;1;0;0;0;1;0;0;1;0;0;0;0;0
73;2526;2no6er6enaks2abnft8fknndg;elc-esp;c8llrezkm3b3op4afrou6b487;8qvqdjw1d58mw7420lpmk7bah;Eduardo Expósito Jaén;Edu Expósito;Edu Expósito;8;Attacking Midfielder;Centre;10;10;1;0;1;0;76;0;17;10;1;1;1;0;0;1;2;0;1;1;1;0;0;1;1;0;0;0;0;0;1;0;0
