league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;lostCorners;minsPlayed;saves;totalPass;formationPlace;blockedScoringAtt;totalClearance;totalScoringAtt;totalThrows;wasFouled;wonCorners;fouls;shotOffTarget;totalTackle;wonTackle;totalSubOff;cornerTaken;ontargetScoringAtt;totalOffside;totalSubOn;cleanSheet;yellowCard;goals
73;2526;2o1qezfdq50juhi4b82nyesk4;mll-rso;50x1m4u58lffhq6v6ga1hbxmy;5qh2kdatvb03o8oiqvkaaxje2;Leonardo Román Riquelme;Leo Román;Leo Román;1;Goalkeeper;Centre;1;29;1;9;1;1;90;1;42;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2o1qezfdq50juhi4b82nyesk4;mll-rso;50x1m4u58lffhq6v6ga1hbxmy;dfjph36vcwfj5cevut4x3vf11;Johan Andrés Mojica Palacio;Johan Mojica;J. Mojica;22;Defender;Left;3;48;1;0;1;2;90;0;55;3;1;3;1;5;2;1;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2o1qezfdq50juhi4b82nyesk4;mll-rso;50x1m4u58lffhq6v6ga1hbxmy;9dewnn65ylruq567thg7ebqhh;Antonio José Raíllo Arenas;Antonio Raíllo;Antonio Raíllo;21;Defender;Left/Centre;6;60;1;1;1;1;90;0;64;6;0;7;1;0;1;0;2;1;1;1;0;0;0;0;0;0;0;0
73;2526;2o1qezfdq50juhi4b82nyesk4;mll-rso;50x1m4u58lffhq6v6ga1hbxmy;9t88fceutc2x108ga0qkzkafp;Martin Valjent;Martin Valjent;M. Valjent;24;Defender;Centre/Right;5;48;1;0;1;1;90;0;56;5;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2o1qezfdq50juhi4b82nyesk4;mll-rso;50x1m4u58lffhq6v6ga1hbxmy;22dchchxwrsty67ultrs61qz9;Pablo Carmine Maffeo Becerra;Pablo Maffeo;Pablo Maffeo;23;Defender;Right;2;22;1;0;1;1;79;0;29;2;0;0;0;7;1;0;0;0;1;0;1;0;0;0;0;0;0;0
73;2526;2o1qezfdq50juhi4b82nyesk4;mll-rso;50x1m4u58lffhq6v6ga1hbxmy;1km9nvqz03yoj9cxpv127id7u;Samuel de Almeida Costa;Samuel de Almeida Costa;Samú Costa;12;Midfielder;Left/Centre;8;33;1;0;1;0;84;0;36;8;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
73;2526;2o1qezfdq50juhi4b82nyesk4;mll-rso;50x1m4u58lffhq6v6ga1hbxmy;bkvvapojagxvj17nzk3oy8ct1;Omar Mascarell González;Omar Mascarell;Omar Mascarell;5;Midfielder;Centre;4;24;1;0;1;1;79;0;27;4;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
73;2526;2o1qezfdq50juhi4b82nyesk4;mll-rso;50x1m4u58lffhq6v6ga1hbxmy;7xmaybxu4zd5k338bi3drkxcl;Sergi Darder Moll;Sergi Darder;Sergi Darder;10;Midfielder;Centre/Right;7;27;1;0;1;0;90;0;34;7;0;0;0;0;1;1;0;0;1;1;0;3;0;0;0;0;0;0
73;2526;2o1qezfdq50juhi4b82nyesk4;mll-rso;50x1m4u58lffhq6v6ga1hbxmy;4cuha2o4qsp1tb8yhqu3ntij8;Jan Virgili Tenas;Jan Virgili;Jan Virgili;17;Striker;Left/Centre;11;16;1;0;1;0;84;0;19;11;0;0;1;1;3;0;1;0;1;1;1;0;1;0;0;0;0;0
73;2526;2o1qezfdq50juhi4b82nyesk4;mll-rso;50x1m4u58lffhq6v6ga1hbxmy;3pwr7lqvo4o08c4nvzqpuue39;Vedat Muriqi;Vedat Muriqi;V. Muriqi;7;Striker;Centre;9;9;1;0;1;0;90;0;18;9;0;2;2;0;7;0;1;2;0;0;0;0;0;0;0;0;0;0
73;2526;2o1qezfdq50juhi4b82nyesk4;mll-rso;50x1m4u58lffhq6v6ga1hbxmy;9d4cokmqyy9vabji5g0ascavo;Mateo Joseph Fernández-Regatillo;Mateo Joseph;Mateo Joseph;18;Striker;Centre/Right;10;12;1;0;1;0;69;0;13;10;0;2;0;0;3;0;1;0;0;0;1;0;0;1;0;0;0;0
73;2526;2o1qezfdq50juhi4b82nyesk4;mll-rso;50x1m4u58lffhq6v6ga1hbxmy;4rcsvuxnotyjoo72f8okudh5g;Javier Llabrés Exposito;Javi Llabrés;Javi Llabrés;19;Substitute;Attacker;0;3;0;0;0;0;6;0;6;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
73;2526;2o1qezfdq50juhi4b82nyesk4;mll-rso;50x1m4u58lffhq6v6ga1hbxmy;5tsp2m5z3xie07ax0wq1qqsix;Mateu Jaume Morey Bauzà;Mateu Morey;Mateu Morey;2;Substitute;Defender;0;5;0;0;0;0;11;0;8;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0
73;2526;2o1qezfdq50juhi4b82nyesk4;mll-rso;50x1m4u58lffhq6v6ga1hbxmy;12qc3dkodeb8ykg6pc0kqf2l1;Manuel Morlanes Ariño;Manu Morlanes;Manu Morlanes;8;Substitute;Midfielder;0;14;0;0;0;0;11;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
73;2526;2o1qezfdq50juhi4b82nyesk4;mll-rso;50x1m4u58lffhq6v6ga1hbxmy;2wdjbfzaiokiawrbn5wzsx61h;Abdón Roger Prats Bastidas;Abdón Prats;Abdón Prats;9;Substitute;Attacker;0;1;0;0;0;0;6;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
73;2526;2o1qezfdq50juhi4b82nyesk4;mll-rso;50x1m4u58lffhq6v6ga1hbxmy;e0gv5rugqtsipy89z4rk7hsoa;Zito André Sebastião Luvumbo;Zito André Sebastião Luvumbo;Zito Luvumbo;15;Substitute;Attacker;0;1;0;0;0;0;21;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0
73;2526;2o1qezfdq50juhi4b82nyesk4;mll-rso;63f5h8t5e9qm1fqmvfkb23ghh;w503zyr8ipyobglth281uklx;Alejandro Remiro Gargallo;Álex Remiro;Álex Remiro;1;Goalkeeper;Centre;1;35;1;7;0;0;90;1;44;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
73;2526;2o1qezfdq50juhi4b82nyesk4;mll-rso;63f5h8t5e9qm1fqmvfkb23ghh;d4tdx2ctadv6kc3tbq4as8bmx;Sergio Gómez Martín;Sergio Gómez;Sergio Gómez;17;Defender;Left;3;58;1;0;0;0;90;0;66;3;0;3;0;5;1;0;1;0;0;0;0;2;0;0;0;1;0;0
73;2526;2o1qezfdq50juhi4b82nyesk4;mll-rso;63f5h8t5e9qm1fqmvfkb23ghh;6gymgqxnu2zavuxgp6amm3zkl;Duje Ćaleta-Car;Duje Caleta-Car;D. Ćaleta-Car;16;Defender;Left/Centre;6;61;1;3;0;2;90;0;65;6;1;6;1;0;0;1;4;0;1;1;0;0;0;0;0;1;0;0
