league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;cleanSheet;gameStarted;goalKicks;lostCorners;minsPlayed;saves;totalPass;totalTackle;formationPlace;fouls;shotOffTarget;totalClearance;totalScoringAtt;totalThrows;wasFouled;wonTackle;blockedScoringAtt;wonCorners;totalSubOff;cornerTaken;yellowCard;ontargetScoringAtt;totalOffside;goals;totalSubOn;goalAssist;goalsConceded;redCard;secondYellow
73;2526;2of0ec1j3qlwnm140nciptixg;lev-ala;4grc9qgcvusllap8h5j6gc5h5;7udphhcokm6vralyz5gkovxsl;Mathew David Ryan;Mathew Ryan;M. Ryan;13;Goalkeeper;Centre;1;25;1;1;4;1;90;5;30;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2of0ec1j3qlwnm140nciptixg;lev-ala;4grc9qgcvusllap8h5j6gc5h5;d34tmogp5h4rwuo3pcxtwp0fe;Manuel Sánchez de la Peña;Manu Sánchez;Manu Sánchez;23;Defender;Left;3;31;1;1;0;2;90;0;34;2;3;2;1;1;1;5;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2of0ec1j3qlwnm140nciptixg;lev-ala;4grc9qgcvusllap8h5j6gc5h5;4v3mcgy4w1n4g3vkq0fe7iwwk;Matías Agustín Moreno;Matías Moreno;M. Moreno;2;Defender;Left/Centre;6;43;1;1;3;1;90;0;51;0;6;0;1;5;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2of0ec1j3qlwnm140nciptixg;lev-ala;4grc9qgcvusllap8h5j6gc5h5;49230s4p4daocrftccqqbeqjt;Adrián de la Fuente Barquilla;Adrián de la Fuente;Adrián de la Fuente;4;Defender;Centre/Right;5;51;1;1;0;0;90;0;58;2;5;0;1;8;4;1;3;2;3;3;0;0;0;0;0;0;0;0;0;0;0
73;2526;2of0ec1j3qlwnm140nciptixg;lev-ala;4grc9qgcvusllap8h5j6gc5h5;5oge5fhmna0oduqvjisoa1djp;Jeremy Isaiah Richard Toljan;Jeremy Toljan;J. Toljan;22;Defender;Right;2;24;1;1;0;1;90;0;30;2;2;1;0;2;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2of0ec1j3qlwnm140nciptixg;lev-ala;4grc9qgcvusllap8h5j6gc5h5;dlxi9jrz36ge900qdsd9c0mlm;Ugo Raghouber;Ugo Raghouber;U. Raghouber;14;Defensive Midfielder;Centre;4;20;0;1;0;0;58;0;26;2;4;1;0;0;0;0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0
73;2526;2of0ec1j3qlwnm140nciptixg;lev-ala;4grc9qgcvusllap8h5j6gc5h5;6w641bd5laym8cnxg6mecsmqc;Francisco Cortés Gracia;Paco Cortés;Paco Cortés;27;Midfielder;Left;11;14;0;1;0;0;69;0;18;0;11;0;0;0;3;0;0;0;3;1;1;2;1;0;0;0;0;0;0;0;0
73;2526;2of0ec1j3qlwnm140nciptixg;lev-ala;4grc9qgcvusllap8h5j6gc5h5;6gtfe9aysdrcht4v2rluu0ley;Carlos Álvarez Rivera;Carlos Álvarez;Carlos Álvarez;24;Midfielder;Left/Centre;10;21;0;1;0;0;57;0;22;1;10;1;2;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
73;2526;2of0ec1j3qlwnm140nciptixg;lev-ala;4grc9qgcvusllap8h5j6gc5h5;6lnttemmflhxp700fr069ty0a;Jon Ander Olasagasti Imizcoz;Jon Olasagasti;Jon Olasagasti;8;Midfielder;Centre/Right;8;24;1;1;0;0;90;0;36;0;8;1;0;1;1;0;1;0;0;2;0;8;0;1;0;0;0;0;0;0;0
73;2526;2of0ec1j3qlwnm140nciptixg;lev-ala;4grc9qgcvusllap8h5j6gc5h5;20s72mrpp0gl3hd333zaows2c;Kareem Tunde Ruiz;Kareem Tunde;Kareem Tunde;26;Midfielder;Right;7;16;0;1;0;0;79;0;17;1;7;0;1;0;1;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0
73;2526;2of0ec1j3qlwnm140nciptixg;lev-ala;4grc9qgcvusllap8h5j6gc5h5;8kj8kbwbfiqloxiilj0i00ep6;Iván Romero de Ávila Araque;Iván Romero;Iván Romero;9;Striker;Centre;9;7;0;1;0;0;79;0;7;0;9;2;0;0;2;2;1;0;1;3;1;0;0;1;1;0;0;0;0;0;0
73;2526;2of0ec1j3qlwnm140nciptixg;lev-ala;4grc9qgcvusllap8h5j6gc5h5;cbh5v5yi380uvbt5z2xbxemfo;Carlos Espí Escrihuela;Carlos Espí;Carlos Espí;19;Substitute;Attacker;0;3;0;0;0;0;33;0;4;1;0;3;2;0;5;0;1;1;0;1;0;0;0;3;0;2;1;0;0;0;0
73;2526;2of0ec1j3qlwnm140nciptixg;lev-ala;4grc9qgcvusllap8h5j6gc5h5;bl3o0pt262qax5cwv4jeu82s4;Karl Edouard Blaise Etta Eyong;Karl Etta Eyong;K. Etta Eyong;21;Substitute;Attacker;0;2;0;0;0;0;11;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
73;2526;2of0ec1j3qlwnm140nciptixg;lev-ala;4grc9qgcvusllap8h5j6gc5h5;38igxi5sn8v00xtciwhqb44fe;Iker Losada Aragunde;Iker Losada;Iker Losada;18;Substitute;Attacker;0;4;0;0;0;0;11;0;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
73;2526;2of0ec1j3qlwnm140nciptixg;lev-ala;4grc9qgcvusllap8h5j6gc5h5;9y7202khwzb48ea7im646m11x;José Luis Morales Nogales;José Luis Morales;José Luis Morales;11;Substitute;Attacker;0;4;0;0;0;1;21;0;4;2;0;1;0;1;1;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0
73;2526;2of0ec1j3qlwnm140nciptixg;lev-ala;4grc9qgcvusllap8h5j6gc5h5;a91clevckra05nq55e1ztezmd;Oriol Rey Erenas;Oriol Rey;Oriol Rey;20;Substitute;Midfielder;0;14;0;0;0;0;32;0;17;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
73;2526;2of0ec1j3qlwnm140nciptixg;lev-ala;4dtdjgnpdq9uw4sdutti0vaar;c7i0lduij4vsnluxisdnaxsk5;Antonio Sivera Salvá;Antonio Sivera;Antonio Sivera;1;Goalkeeper;Centre;1;13;0;1;9;3;90;3;30;0;1;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0
73;2526;2of0ec1j3qlwnm140nciptixg;lev-ala;4dtdjgnpdq9uw4sdutti0vaar;6azcxbumsgd8es7mcd9b3t94a;Víctor Parada González;Victor Parada;Víctor Parada;24;Defender;Left;3;18;0;1;0;1;61;0;21;1;3;2;1;1;1;5;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
73;2526;2of0ec1j3qlwnm140nciptixg;lev-ala;4dtdjgnpdq9uw4sdutti0vaar;7bs0ph4yksf6lvkg91u9nqzqi;Jon Pacheco Dozagarat;Jon Pacheco;Jon Pacheco;5;Defender;Left/Centre;6;50;0;1;0;0;90;0;57;1;6;0;0;4;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0
73;2526;2of0ec1j3qlwnm140nciptixg;lev-ala;4dtdjgnpdq9uw4sdutti0vaar;9tw6rz3lfmn06fzsabtx9ei95;Facundo Nahuel Tenaglia;Nahuel Tenaglia;N. Tenaglia;14;Defender;Centre/Right;5;42;0;1;0;3;90;0;49;2;5;1;0;8;0;2;1;2;0;1;0;0;0;0;0;0;0;0;2;0;0
73;2526;2of0ec1j3qlwnm140nciptixg;lev-ala;4dtdjgnpdq9uw4sdutti0vaar;7wzwqegxhekjwq361dd2nidp1;Jonathan Castro Otto;Jonathan Castro Otto;Jonny;17;Defender;Right;2;45;0;1;0;0;90;0;52;2;2;0;0;5;0;4;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0
73;2526;2of0ec1j3qlwnm140nciptixg;lev-ala;4dtdjgnpdq9uw4sdutti0vaar;eiqt71z69beq7akuhot0foset;Carles Aleña Castillo;Carles Aleñá;Carles Aleñá;10;Midfielder;Left;11;13;0;1;0;0;72;0;15;3;11;3;0;0;1;0;0;2;0;1;1;5;1;1;0;0;0;0;0;0;0
73;2526;2of0ec1j3qlwnm140nciptixg;lev-ala;4dtdjgnpdq9uw4sdutti0vaar;4zve4017u2i3zvxlnjruv25t5;Antonio Blanco Conde;Antonio Blanco;Antonio Blanco;8;Midfielder;Left/Centre;8;38;0;1;0;1;89;0;41;3;8;2;3;1;5;0;2;1;1;1;1;0;0;1;0;0;0;0;1;0;0
