league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;gameStarted;goalKicks;goalsConceded;minsPlayed;saves;totalPass;formationPlace;ontargetScoringAtt;totalClearance;totalScoringAtt;totalTackle;totalThrows;wasFouled;wonCorners;wonTackle;lostCorners;totalSubOff;fouls;shotOffTarget;totalOffside;cornerTaken;yellowCard;blockedScoringAtt;goals;totalSubOn;goalAssist
73;2526;2osbe65qugeqj4btj6y4t4pas;ray-ath;3budh3j9xivsid3ptm8ptpy4k;9h6xf4ac4rpsjpummcdx26z9;Augusto Martín Batalla Barga;Augusto Batalla;A. Batalla;13;Goalkeeper;Centre;1;15;1;5;1;90;1;40;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2osbe65qugeqj4btj6y4t4pas;ray-ath;3budh3j9xivsid3ptm8ptpy4k;2qauzcv74cd8uqfv2ibl52ymt;Luis Alfonso Espino García;Luis Alfonso Espino García;P. Espino;22;Defender;Left;3;13;1;0;1;90;0;27;3;1;6;1;7;11;2;2;3;0;0;0;0;0;0;0;0;0;0;0
73;2526;2osbe65qugeqj4btj6y4t4pas;ray-ath;3budh3j9xivsid3ptm8ptpy4k;cdsidpd0i3ub2tvw47qt813x0;Nobel Mendy;Nobel Mendy;N. Mendy;32;Defender;Left/Centre;6;22;1;3;1;61;0;31;6;0;13;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
73;2526;2osbe65qugeqj4btj6y4t4pas;ray-ath;3budh3j9xivsid3ptm8ptpy4k;533095rnz0k8mxqe6gzn0mfo5;Florian Grégoire Claude Lejeune;Florian Lejeune;F. Lejeune;24;Defender;Centre/Right;5;28;1;0;1;90;0;40;5;1;12;2;1;0;1;0;1;1;0;1;1;0;0;0;0;0;0;0
73;2526;2osbe65qugeqj4btj6y4t4pas;ray-ath;3budh3j9xivsid3ptm8ptpy4k;38dhmhce7deuqgqmc3p7nhai2;Andrei Florin Rațiu;Andrei Ratiu;A. Rațiu;2;Defender;Right;2;24;1;0;1;90;0;38;2;0;2;1;1;7;1;1;1;1;0;0;1;0;0;0;0;0;0;0
73;2526;2osbe65qugeqj4btj6y4t4pas;ray-ath;3budh3j9xivsid3ptm8ptpy4k;f0a2qk3jzxercn67bben5eled;Gerard Gumbau Garriga;Gerard Gumbau;Gerard Gumbau;15;Defensive Midfielder;Left/Centre;4;16;1;0;1;61;0;21;4;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0
73;2526;2osbe65qugeqj4btj6y4t4pas;ray-ath;3budh3j9xivsid3ptm8ptpy4k;1ho7koiegfhsuevuum2meibu2;Pathé Ismaël Ciss;Pathé Ciss;P. Ciss;6;Defensive Midfielder;Centre/Right;8;16;1;0;1;90;0;20;8;0;8;1;3;0;0;0;1;1;0;1;1;1;0;0;0;0;0;0
73;2526;2osbe65qugeqj4btj6y4t4pas;ray-ath;3budh3j9xivsid3ptm8ptpy4k;8eh38t4oyyt728co362f6uqqd;Álvaro García Rivera;Álvaro García;Álvaro García;18;Attacking Midfielder;Left;11;8;1;0;1;61;0;13;11;1;0;2;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
73;2526;2osbe65qugeqj4btj6y4t4pas;ray-ath;3budh3j9xivsid3ptm8ptpy4k;3ca7tqrdasmeop6ud9zot0wdl;Isaac Palazón Camacho;Isi Palazón;Isi Palazón;7;Attacking Midfielder;Centre;10;15;1;0;1;69;0;18;10;0;1;1;3;1;3;0;2;0;1;1;1;1;4;1;0;0;0;0
73;2526;2osbe65qugeqj4btj6y4t4pas;ray-ath;3budh3j9xivsid3ptm8ptpy4k;73jvx4opw9wvawwpg0bnt8ay2;Ilias Akhomach Chakkour;Ilias Akhomach;I. Akhomach;12;Attacking Midfielder;Right;7;14;1;0;1;86;0;19;7;1;0;2;2;0;2;0;2;0;1;1;1;0;0;1;0;0;0;0
73;2526;2osbe65qugeqj4btj6y4t4pas;ray-ath;3budh3j9xivsid3ptm8ptpy4k;c157xhi78x9cykn7xz816bjd;Jorge de Frutos Sebastián;Jorge de Frutos;Jorge de Frutos;19;Striker;Centre;9;6;1;0;1;90;0;6;9;1;2;3;2;0;3;2;0;0;0;2;0;1;0;0;2;1;0;0
73;2526;2osbe65qugeqj4btj6y4t4pas;ray-ath;3budh3j9xivsid3ptm8ptpy4k;7vb4xrwk7sbgpxzgiwwbt4s89;Pedro Díaz Fanjul;Pedro Díaz;Pedro Díaz;4;Substitute;Midfielder;0;4;0;0;0;21;0;5;0;1;0;1;2;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0
73;2526;2osbe65qugeqj4btj6y4t4pas;ray-ath;3budh3j9xivsid3ptm8ptpy4k;u04ao1ldrjjesgqq52o7ghqt;Unai López Cabrera;Unai López;Unai López;17;Substitute;Midfielder;0;11;0;0;0;29;0;15;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;0
73;2526;2osbe65qugeqj4btj6y4t4pas;ray-ath;3budh3j9xivsid3ptm8ptpy4k;66fshzi5f86wt1lwa4kdhiooa;Francisco Pérez Martínez;Fran Pérez;Fran Pérez;21;Substitute;Midfielder;0;5;0;0;0;29;0;6;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
73;2526;2osbe65qugeqj4btj6y4t4pas;ray-ath;3budh3j9xivsid3ptm8ptpy4k;8onruhr4es313aq52xsl7nxlh;Óscar Valentín Martín Luengo;Óscar Valentín;Óscar Valentín;23;Substitute;Midfielder;0;4;0;0;0;29;0;7;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
73;2526;2osbe65qugeqj4btj6y4t4pas;ray-ath;3budh3j9xivsid3ptm8ptpy4k;7ppmuz6ays7s0v3gk2x4ecb1l;Alexandre Zurawski;Alexandre Zurawski;Alemão;9;Substitute;Attacker;0;3;0;0;0;4;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
73;2526;2osbe65qugeqj4btj6y4t4pas;ray-ath;3czravw89omgc9o4s0w3l1bg5;4vlurpsi44g09g159t61u83bp;Unai Simón Mendibil;Unai Simón;Unai Simón;1;Goalkeeper;Centre;1;19;1;7;1;90;6;41;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
73;2526;2osbe65qugeqj4btj6y4t4pas;ray-ath;3czravw89omgc9o4s0w3l1bg5;8hm6d6395johhjsoe8jz6dcyd;Yuri Berchiche Izeta;Yuri Berchiche;Yuri;17;Defender;Left;3;29;1;0;1;90;0;32;3;0;2;0;2;8;1;0;1;0;0;0;0;0;0;0;0;0;0;0
73;2526;2osbe65qugeqj4btj6y4t4pas;ray-ath;3czravw89omgc9o4s0w3l1bg5;7fmpgkx58o9pivo2bbnxxkt05;Aymeric Jean Louis Gérard Alphonse Laporte;Aymeric Laporte;Aymeric Laporte;14;Defender;Left/Centre;6;23;1;0;1;90;0;32;6;0;6;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
73;2526;2osbe65qugeqj4btj6y4t4pas;ray-ath;3czravw89omgc9o4s0w3l1bg5;9d5h5wxf44qu4fw3jk2pgis16;Daniel Vivian Moreno;Dani Vivian;Dani Vivian;3;Defender;Centre/Right;5;21;1;0;1;90;0;32;5;0;6;1;3;0;1;0;1;0;0;4;0;0;0;1;1;0;0;0
73;2526;2osbe65qugeqj4btj6y4t4pas;ray-ath;3czravw89omgc9o4s0w3l1bg5;7r7wgbcu7vmlj19m9jpjhu1yi;Jesús Areso Blanco;Jesús Areso;Jesús Areso;12;Defender;Right;2;20;1;0;1;73;0;24;2;0;3;0;1;11;0;0;1;2;1;2;0;0;0;0;0;0;0;0
73;2526;2osbe65qugeqj4btj6y4t4pas;ray-ath;3czravw89omgc9o4s0w3l1bg5;7ubtan6a51o79w469zawrqqqd;Íñigo Ruíz de Galarreta Etxeberria;Íñigo Ruíz de Galarreta;Íñigo Ruíz de Galarreta;16;Defensive Midfielder;Left/Centre;4;17;1;0;1;59;0;21;4;0;1;0;2;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0
