id;country;tournament;priority;sofascore;fbref;fotmob;provided;scoresway2425;scoresway2526;time_scr;time_cln;time_uni
73;SPA;La Liga;3;8;https://fbref.com/en/comps/12/history/La-Liga-Seasons;87;Spain_Primera_Division;4x7uzww3jur4re7sgt3mslyj8;80zg2v1cuqcfhphn56u4qpyqc;;;
82;ENG;Premier League;3;17;https://fbref.com/en/comps/9/history/Premier-League-Seasons;47;England_Premier_League;9n12waklv005j8r32sfjj2eqc;51r6ph2woavlbbpk8f29nynf8;;;
75;GER;Bundesliga;3;35;https://fbref.com/en/comps/20/history/Bundesliga-Seasons;54;Germany_Bundesliga;73zebisnu1109jix9yoc09yc4;2bchmrj23l9u42d68ntcekob8;;;
41;ITA;Serie A;3;23;https://fbref.com/en/comps/11/history/Serie-A-Seasons;55;Italy_Serie_A;b25u56idqlgo8s1rahhltqd5g;emdmtfr1v8rey2qru3xzfwges;;;
46;FRA;Ligue 1;3;34;https://fbref.com/en/comps/13/history/Ligue-1-Seasons;53;France_Ligue_1;a7htj8rtzib7a2xx7b3xs04d0;dbxs75cag7zyip5re0ppsanmc;;;
14;INT;Champions League;3;7;https://fbref.com/en/comps/8/history/Champions-League-Seasons;42;UEFA_UEFA_Champions_League;bam3j6qs1v79osuz7nwgy4rh0;2mr0u0l78k2gdsm79q56tb2fo;;;
72;INT;Europa League;3;679;https://fbref.com/en/comps/19/history/Europa-League-Seasons;73;UEFA_UEFA_Europa_League;ejcp3vqc3ac7q66lowlv41ixg;7ttpe5jzya3vjhjadiemjy7mc;;;
11;SPA;Copa del Rey;2;329;https://fbref.com/en/comps/569/Copa-del-Rey-Stats;138;Spain_Copa_del_Rey;8xdpm013ubhszzhxydmpq3wno;3lmujqli8r9m12i28wgjxnnys;;;
97;SPA;La Liga Hypermotion;2;54;https://fbref.com/en/comps/17/history/Segunda-Division-Seasons;140;Spain_Segunda_Division;9991qneanhxxxo8ioi14pw7bo;dko0hzifl1xv9c51s3ai017v8;;;
56;ENG;Championship;2;18;https://fbref.com/en/comps/10/history/Championship-Seasons;48;England_Championship;d5obohxqafuwcthuh43ksmpec;bmmk637l2a33h90zlu36kx8no;;;
65;NED;Eredivise;2;37;https://fbref.com/en/comps/23/history/Eredivisie-Seasons;57;Netherlands_Eredivise;a5vwgkycmfxord0dj13qhwahg;aouykkl1rt7zo06sg0kbzkbh0;;;
64;POR;Liga Portugal;2;238;https://fbref.com/en/comps/32/history/Primeira-Liga-Seasons;61;Portugal_Primeira_Liga;5fhu9jbajfxnsuu1x77033sic;7l4z25o4hc0fmj9rdspcisdn8;;;
98;INT;Conference League;2;17015;https://fbref.com/en/comps/882/history/Conference-League-Seasons;10216;UEFA_UEFA_Conference_League;cc4kfcd13e029cj3nawmm0hec;7x2zp2hm4p6wuijwdw3h7a8t0;;;
54;INT;Copa Libertadores;2;16940;https://fbref.com/en/comps/14/history/Copa-Libertadores-Seasons;45;;168tc8nsaknvru654r6qwupsk;dk8bg66qizwked9etonwaaln8;;;
13;MEX;Liga MX;1;11620;https://fbref.com/en/comps/31/history/Liga-MX-Seasons;230;;dlxyh3nrdtg02p9ohd5gn6bdg;aegyls91smdw9kipjgbsu8tn8;;;
66;BRA;Serie A Brazil;1;325;https://fbref.com/en/comps/24/history/Serie-A-Seasons;268;;9pqtmpr3w8jm73y0eb8hmum8k;752zalnunu0zkdfbbm915kys4;;;
36;ARG;Liga Profesional;1;155;https://fbref.com/en/comps/21/history/Liga-Profesional-Argentina-Seasons;112;;3l4bzc8syz1ea2dnv453kp89g;8v84l9nq3d5t0j4gb781i3llg;;;
45;BEL;First Division A;1;38;https://fbref.com/en/comps/37/history/Belgian-Pro-League-Seasons;40;Belgium_First_Division_A;809rv2nlzkn8gmn27a2ckuql0;16lkdpoccbh056r0v0bordo2c;;;
43;USA;Major League Soccer;1;242;https://fbref.com/en/comps/22/history/Major-League-Soccer-Seasons;130;;2p9ipxt6ftkdphe5afitgd0;6i6n0jkbh9zzij6s8htfjh2j8;;;
23;KSA;Saudi Pro League;1;955;https://fbref.com/en/comps/70/history/Saudi-Pro-League-Seasons;536;;cft78hoktv5hddrnbl5z4d0yc;6ru2ri6bqeg9l7av4ppdpdx5g;;;
24;TUR;Super Lig;1;52;https://fbref.com/en/comps/26/history/Super-Lig-Seasons;71;Türkiye_Süper_Lig;1c0t9lv2rftjjx8dxn5s9csus;97zghcaoec1isvvdkh9ud50d0;;;
10;DEN;Superligaen;1;39;https://fbref.com/en/comps/50/history/Danish-Superliga-Seasons;46;Denmark_Superliga;1zqurbs9rmwtk30us5y1v1rtg;3o8l1yf2irp018eaa2far455g;;;
19;SUI;Swiss Super League;1;215;https://fbref.com/en/comps/57/history/Swiss-Super-League-Seasons;69;Switzerland_Super_League;di2qqbngtlz7uub98l52shb10;d5ju52a9misru35821zuqysd0;;;
44;SWE;Allvenskan;1;40;https://fbref.com/en/comps/29/history/Allsvenskan-Seasons;67;Sweden_Allsvenskan;7nzwafv5w7z5tjzy2dsfkc26s;b99u9gpztyjs5u1i88z6qvg9g;;;
12;NOR;Eliteserien;1;20;https://fbref.com/en/comps/28/history/Eliteserien-Seasons;59;Norway_Eliteserien;59ghbl9ewb73y9y90c1d8hclw;beev3xu6oz7vc6l4rcxygw4d0;;;
42;INT;CONMEBOL Sudamericana;1;480;https://fbref.com/en/comps/205/history/Copa-Sudamericana-Seasons;299;;bfz5665mze2yubs4s5t21f66s;cup6pcsd1c7669pbvoptcmlg4;;;
